evaluation_id,previous_evaluation_id,llm_name,method_name,case_number,case_name,human_package_path,source_path
case_33_farm_management_system__diagram_A,diagram_029,Qwen 2.5 7B Instruct,Syntax-Grounded Repair,33,case_33_farm_management_system,human_evaluation_missing_syntax_grounded/case_33_farm_management_system/diagram_A.png,valid_diagrams/Qwen_2.5_7B/syntax_grounded_repair/case_33_farm_management_system/diagram.puml
case_33_farm_management_system__diagram_B,diagram_030,Llama 3.1 8B Instruct,Syntax-Grounded Repair,33,case_33_farm_management_system,human_evaluation_missing_syntax_grounded/case_33_farm_management_system/diagram_B.png,valid_diagrams/Llama_3.1_8B/syntax_grounded_repair/case_33_farm_management_system/diagram.puml
case_34_green_rides__diagram_A,diagram_009,Qwen 2.5 7B Instruct,Syntax-Grounded Repair,34,case_34_green_rides,human_evaluation_missing_syntax_grounded/case_34_green_rides/diagram_A.png,valid_diagrams/Qwen_2.5_7B/syntax_grounded_repair/case_34_green_rides/diagram.puml
case_34_green_rides__diagram_B,diagram_036,DeepSeek R1 14B,Syntax-Grounded Repair,34,case_34_green_rides,human_evaluation_missing_syntax_grounded/case_34_green_rides/diagram_B.png,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_34_green_rides/diagram.puml
case_37_online_quiz_system__diagram_A,diagram_021,DeepSeek R1 14B,Syntax-Grounded Repair,37,case_37_online_quiz_system,human_evaluation_missing_syntax_grounded/case_37_online_quiz_system/diagram_A.png,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_37_online_quiz_system/diagram.puml
case_39_website_development__diagram_A,diagram_006,Mistral,Syntax-Grounded Repair,39,case_39_website_development,human_evaluation_missing_syntax_grounded/case_39_website_development/diagram_A.png,valid_diagrams/Mistral/syntax_grounded_repair/case_39_website_development/diagram.puml
case_39_website_development__diagram_B,diagram_018,Qwen 2.5 7B Instruct,Syntax-Grounded Repair,39,case_39_website_development,human_evaluation_missing_syntax_grounded/case_39_website_development/diagram_B.png,valid_diagrams/Qwen_2.5_7B/syntax_grounded_repair/case_39_website_development/diagram.puml
case_39_website_development__diagram_C,diagram_028,DeepSeek R1 14B,Syntax-Grounded Repair,39,case_39_website_development,human_evaluation_missing_syntax_grounded/case_39_website_development/diagram_C.png,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_39_website_development/diagram.puml
case_41_video_suggestion_system__diagram_A,diagram_017,Llama 3.1 8B Instruct,Syntax-Grounded Repair,41,case_41_video_suggestion_system,human_evaluation_missing_syntax_grounded/case_41_video_suggestion_system/diagram_A.png,valid_diagrams/Llama_3.1_8B/syntax_grounded_repair/case_41_video_suggestion_system/diagram.puml
case_45_alarm_clock__diagram_A,diagram_019,Llama 3.1 8B Instruct,Syntax-Grounded Repair,45,case_45_alarm_clock,human_evaluation_missing_syntax_grounded/case_45_alarm_clock/diagram_A.png,valid_diagrams/Llama_3.1_8B/syntax_grounded_repair/case_45_alarm_clock/diagram.puml
case_46_digital_watch__diagram_A,diagram_023,DeepSeek R1 14B,Syntax-Grounded Repair,46,case_46_digital_watch,human_evaluation_missing_syntax_grounded/case_46_digital_watch/diagram_A.png,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_46_digital_watch/diagram.puml
case_47_safehome_security_function__diagram_A,diagram_001,Qwen 2.5 7B Instruct,Syntax-Grounded Repair,47,case_47_safehome_security_function,human_evaluation_missing_syntax_grounded/case_47_safehome_security_function/diagram_A.png,valid_diagrams/Qwen_2.5_7B/syntax_grounded_repair/case_47_safehome_security_function/diagram.puml
case_47_safehome_security_function__diagram_B,diagram_004,DeepSeek R1 14B,Syntax-Grounded Repair,47,case_47_safehome_security_function,human_evaluation_missing_syntax_grounded/case_47_safehome_security_function/diagram_B.png,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_47_safehome_security_function/diagram.puml
case_51_process_sale__diagram_A,diagram_008,Llama 3.1 8B Instruct,Syntax-Grounded Repair,51,case_51_process_sale,human_evaluation_missing_syntax_grounded/case_51_process_sale/diagram_A.png,valid_diagrams/Llama_3.1_8B/syntax_grounded_repair/case_51_process_sale/diagram.puml
case_52_microwave_oven__diagram_A,diagram_014,DeepSeek R1 14B,Syntax-Grounded Repair,52,case_52_microwave_oven,human_evaluation_missing_syntax_grounded/case_52_microwave_oven/diagram_A.png,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_52_microwave_oven/diagram.puml
case_54_weather_station_system__diagram_A,diagram_025,Llama 3.1 8B Instruct,Syntax-Grounded Repair,54,case_54_weather_station_system,human_evaluation_missing_syntax_grounded/case_54_weather_station_system/diagram_A.png,valid_diagrams/Llama_3.1_8B/syntax_grounded_repair/case_54_weather_station_system/diagram.puml
case_54_weather_station_system__diagram_B,diagram_032,DeepSeek R1 14B,Syntax-Grounded Repair,54,case_54_weather_station_system,human_evaluation_missing_syntax_grounded/case_54_weather_station_system/diagram_B.png,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_54_weather_station_system/diagram.puml
case_59_atm_1__diagram_A,diagram_007,DeepSeek R1 14B,Syntax-Grounded Repair,59,case_59_atm_1,human_evaluation_missing_syntax_grounded/case_59_atm_1/diagram_A.png,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_59_atm_1/diagram.puml
case_59_atm_1__diagram_B,diagram_020,Llama 3.1 8B Instruct,Syntax-Grounded Repair,59,case_59_atm_1,human_evaluation_missing_syntax_grounded/case_59_atm_1/diagram_B.png,valid_diagrams/Llama_3.1_8B/syntax_grounded_repair/case_59_atm_1/diagram.puml
case_59_atm_1__diagram_C,diagram_039,Qwen 2.5 7B Instruct,Syntax-Grounded Repair,59,case_59_atm_1,human_evaluation_missing_syntax_grounded/case_59_atm_1/diagram_C.png,valid_diagrams/Qwen_2.5_7B/syntax_grounded_repair/case_59_atm_1/diagram.puml
case_65_plane__diagram_A,diagram_024,Mistral,Syntax-Grounded Repair,65,case_65_plane,human_evaluation_missing_syntax_grounded/case_65_plane/diagram_A.png,valid_diagrams/Mistral/syntax_grounded_repair/case_65_plane/diagram.puml
case_67_atm_many_scenarios_1__diagram_A,diagram_034,Qwen 2.5 7B Instruct,Syntax-Grounded Repair,67,case_67_atm_many_scenarios_1,human_evaluation_missing_syntax_grounded/case_67_atm_many_scenarios_1/diagram_A.png,valid_diagrams/Qwen_2.5_7B/syntax_grounded_repair/case_67_atm_many_scenarios_1/diagram.puml
case_70_atm_many_scenarios_7__diagram_A,diagram_031,DeepSeek R1 14B,Syntax-Grounded Repair,70,case_70_atm_many_scenarios_7,human_evaluation_missing_syntax_grounded/case_70_atm_many_scenarios_7/diagram_A.png,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_70_atm_many_scenarios_7/diagram.puml
case_78_class_campaign_version_2__diagram_A,diagram_012,Mistral,Syntax-Grounded Repair,78,case_78_class_campaign_version_2,human_evaluation_missing_syntax_grounded/case_78_class_campaign_version_2/diagram_A.png,valid_diagrams/Mistral/syntax_grounded_repair/case_78_class_campaign_version_2/diagram.puml
case_80_staff_member_class__diagram_A,diagram_003,Mistral,Syntax-Grounded Repair,80,case_80_staff_member_class,human_evaluation_missing_syntax_grounded/case_80_staff_member_class/diagram_A.png,valid_diagrams/Mistral/syntax_grounded_repair/case_80_staff_member_class/diagram.puml
case_80_staff_member_class__diagram_B,diagram_035,DeepSeek R1 14B,Syntax-Grounded Repair,80,case_80_staff_member_class,human_evaluation_missing_syntax_grounded/case_80_staff_member_class/diagram_B.png,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_80_staff_member_class/diagram.puml
