evaluation_id,llm_name,method_name,case_number,case_name,source_path
diagram_017,Llama 3.1 8B Instruct,Syntax-Grounded Repair,41,case_41_video_suggestion_system,valid_diagrams/Llama_3.1_8B/syntax_grounded_repair/case_41_video_suggestion_system/diagram.puml
diagram_018,Qwen 2.5 7B Instruct,Syntax-Grounded Repair,39,case_39_website_development,valid_diagrams/Qwen_2.5_7B/syntax_grounded_repair/case_39_website_development/diagram.puml
diagram_019,Llama 3.1 8B Instruct,Syntax-Grounded Repair,45,case_45_alarm_clock,valid_diagrams/Llama_3.1_8B/syntax_grounded_repair/case_45_alarm_clock/diagram.puml
diagram_020,Llama 3.1 8B Instruct,Syntax-Grounded Repair,59,case_59_atm_1,valid_diagrams/Llama_3.1_8B/syntax_grounded_repair/case_59_atm_1/diagram.puml
diagram_021,DeepSeek R1 14B,Syntax-Grounded Repair,37,case_37_online_quiz_system,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_37_online_quiz_system/diagram.puml
diagram_022,DeepSeek R1 14B,Syntax-Grounded Repair,12,case_12_business_process_outsourcing_bpo_management_system_2,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_12_business_process_outsourcing_bpo_management_system_2/diagram.puml
diagram_023,DeepSeek R1 14B,Syntax-Grounded Repair,46,case_46_digital_watch,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_46_digital_watch/diagram.puml
diagram_024,Mistral,Syntax-Grounded Repair,65,case_65_plane,valid_diagrams/Mistral/syntax_grounded_repair/case_65_plane/diagram.puml
diagram_025,Llama 3.1 8B Instruct,Syntax-Grounded Repair,54,case_54_weather_station_system,valid_diagrams/Llama_3.1_8B/syntax_grounded_repair/case_54_weather_station_system/diagram.puml
diagram_026,DeepSeek R1 14B,Syntax-Grounded Repair,2,case_02_inventory,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_02_inventory/diagram.puml
diagram_027,Qwen 2.5 7B Instruct,Syntax-Grounded Repair,28,case_28_ott_based_system_mini_reel,valid_diagrams/Qwen_2.5_7B/syntax_grounded_repair/case_28_ott_based_system_mini_reel/diagram.puml
diagram_028,DeepSeek R1 14B,Syntax-Grounded Repair,39,case_39_website_development,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_39_website_development/diagram.puml
diagram_029,Qwen 2.5 7B Instruct,Syntax-Grounded Repair,33,case_33_farm_management_system,valid_diagrams/Qwen_2.5_7B/syntax_grounded_repair/case_33_farm_management_system/diagram.puml
diagram_030,Llama 3.1 8B Instruct,Syntax-Grounded Repair,33,case_33_farm_management_system,valid_diagrams/Llama_3.1_8B/syntax_grounded_repair/case_33_farm_management_system/diagram.puml
diagram_031,DeepSeek R1 14B,Syntax-Grounded Repair,70,case_70_atm_many_scenarios_7,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_70_atm_many_scenarios_7/diagram.puml
diagram_032,DeepSeek R1 14B,Syntax-Grounded Repair,54,case_54_weather_station_system,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_54_weather_station_system/diagram.puml
diagram_033,Mistral,Syntax-Grounded Repair,16,case_16_weather_monitoring_system,valid_diagrams/Mistral/syntax_grounded_repair/case_16_weather_monitoring_system/diagram.puml
diagram_034,Qwen 2.5 7B Instruct,Syntax-Grounded Repair,67,case_67_atm_many_scenarios_1,valid_diagrams/Qwen_2.5_7B/syntax_grounded_repair/case_67_atm_many_scenarios_1/diagram.puml
diagram_035,DeepSeek R1 14B,Syntax-Grounded Repair,80,case_80_staff_member_class,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_80_staff_member_class/diagram.puml
diagram_036,DeepSeek R1 14B,Syntax-Grounded Repair,34,case_34_green_rides,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_34_green_rides/diagram.puml
diagram_037,DeepSeek R1 14B,Syntax-Grounded Repair,15,case_15_e_ticketing_for_bus,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_15_e_ticketing_for_bus/diagram.puml
diagram_038,Qwen 2.5 7B Instruct,Syntax-Grounded Repair,16,case_16_weather_monitoring_system,valid_diagrams/Qwen_2.5_7B/syntax_grounded_repair/case_16_weather_monitoring_system/diagram.puml
diagram_039,Qwen 2.5 7B Instruct,Syntax-Grounded Repair,59,case_59_atm_1,valid_diagrams/Qwen_2.5_7B/syntax_grounded_repair/case_59_atm_1/diagram.puml
