diagram_id,case_id,generation_model,generation_method,source_run_id,removed_because,raw_methods_present
diagram_53c7da5bc4c5,case_51_process_sale,Mistral,syntax_grounded_repair,open_source__mistral__rag_validation_generator_critic_repair__syntax_grounded,raw_diagram_for_same_model_and_case_already_exists,rag
diagram_584115cefc97,case_45_alarm_clock,Llama_3.1_8B,syntax_grounded_repair,open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair__syntax_grounded,raw_diagram_for_same_model_and_case_already_exists,rag
diagram_5ab4518d7115,case_80_staff_member_class,Mistral,syntax_grounded_repair,open_source__mistral__rag_validation_generator_critic_repair__syntax_grounded,raw_diagram_for_same_model_and_case_already_exists,few_shot
diagram_5cdb884d9bae,case_80_staff_member_class,Mistral,baseline_repair,open_source__mistral__rag_validation_generator_critic_repair,raw_diagram_for_same_model_and_case_already_exists,few_shot
diagram_68c660d1d3e2,case_41_video_suggestion_system,Qwen_2.5_7B,syntax_grounded_repair,open_source__qwen25_7b_instruct__rag_validation_generator_critic_repair__syntax_grounded_original_rag,raw_diagram_for_same_model_and_case_already_exists,rag
diagram_6af9f17ac497,case_39_website_development,Llama_3.1_8B,baseline_repair,open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair,raw_diagram_for_same_model_and_case_already_exists,few_shot
diagram_6d7f016b6d89,case_60_atm_2,DeepSeek_R1_14B,baseline_repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair,raw_diagram_for_same_model_and_case_already_exists,few_shot|rag
diagram_70a185546912,case_75_graderate,Mistral,baseline_repair,open_source__mistral__rag_validation_generator_critic_repair,raw_diagram_for_same_model_and_case_already_exists,rag
diagram_7243c579da39,case_34_green_rides,Llama_3.1_8B,syntax_grounded_repair,open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair__syntax_grounded,raw_diagram_for_same_model_and_case_already_exists,few_shot
diagram_83c1ee12d5d2,case_75_graderate,Llama_3.1_8B,baseline_repair,open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair,raw_diagram_for_same_model_and_case_already_exists,few_shot
diagram_847b6f70f84d,case_39_website_development,DeepSeek_R1_14B,syntax_grounded_repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair__syntax_grounded_no_rules,raw_diagram_for_same_model_and_case_already_exists,rag
diagram_84ca3a5b997b,case_33_farm_management_system,DeepSeek_R1_14B,syntax_grounded_repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair__syntax_grounded_no_rules,raw_diagram_for_same_model_and_case_already_exists,few_shot
diagram_85a0568cb2f0,case_60_atm_2,Mistral,baseline_repair,open_source__mistral__rag_validation_generator_critic_repair,raw_diagram_for_same_model_and_case_already_exists,rag
diagram_86810ca60920,case_78_class_campaign_version_2,DeepSeek_R1_14B,baseline_repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair,raw_diagram_for_same_model_and_case_already_exists,few_shot
diagram_875d21b1c23f,case_39_website_development,Llama_3.1_8B,syntax_grounded_repair,open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair__syntax_grounded,raw_diagram_for_same_model_and_case_already_exists,few_shot
diagram_93cd634e0b2e,case_18_digidoclocker,DeepSeek_R1_14B,baseline_repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair,raw_diagram_for_same_model_and_case_already_exists,few_shot|rag
diagram_953053f42248,case_67_atm_many_scenarios_1,Llama_3.1_8B,baseline_repair,open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair,raw_diagram_for_same_model_and_case_already_exists,few_shot
diagram_9b0c5621be56,case_41_video_suggestion_system,Llama_3.1_8B,syntax_grounded_repair,open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair__syntax_grounded,raw_diagram_for_same_model_and_case_already_exists,rag
diagram_9ee8e9cf736d,case_60_atm_2,DeepSeek_R1_14B,syntax_grounded_repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair__syntax_grounded_no_rules,raw_diagram_for_same_model_and_case_already_exists,few_shot|rag
diagram_9f37aa78ef1d,case_75_graderate,Mistral,syntax_grounded_repair,open_source__mistral__rag_validation_generator_critic_repair__syntax_grounded,raw_diagram_for_same_model_and_case_already_exists,rag
diagram_a70b89477392,case_67_atm_many_scenarios_1,Llama_3.1_8B,syntax_grounded_repair,open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair__syntax_grounded,raw_diagram_for_same_model_and_case_already_exists,few_shot
diagram_b1be881e3bee,case_18_digidoclocker,DeepSeek_R1_14B,syntax_grounded_repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair__syntax_grounded_no_rules,raw_diagram_for_same_model_and_case_already_exists,few_shot|rag
diagram_b36305664fdd,case_01_healthcare_portal,Llama_3.1_8B,syntax_grounded_repair,open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair__syntax_grounded,raw_diagram_for_same_model_and_case_already_exists,few_shot
diagram_bdefd70f4976,case_75_graderate,DeepSeek_R1_14B,syntax_grounded_repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair__syntax_grounded_no_rules,raw_diagram_for_same_model_and_case_already_exists,few_shot
diagram_cbd3f5f4f1c5,case_01_healthcare_portal,Llama_3.1_8B,baseline_repair,open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair,raw_diagram_for_same_model_and_case_already_exists,few_shot
diagram_ce15aff5a8c7,case_34_green_rides,Qwen_2.5_7B,syntax_grounded_repair,open_source__qwen25_7b_instruct__rag_validation_generator_critic_repair__syntax_grounded_original_rag,raw_diagram_for_same_model_and_case_already_exists,few_shot
diagram_d27096e85ba0,case_60_atm_2,Llama_3.1_8B,baseline_repair,open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair,raw_diagram_for_same_model_and_case_already_exists,few_shot
diagram_d3293759ca03,case_75_graderate,Qwen_2.5_7B,baseline_repair,open_source__qwen25_7b_instruct__rag_validation_generator_critic_repair,raw_diagram_for_same_model_and_case_already_exists,rag
diagram_dad1964a07f3,case_51_process_sale,DeepSeek_R1_14B,syntax_grounded_repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair__syntax_grounded_no_rules,raw_diagram_for_same_model_and_case_already_exists,few_shot
diagram_dd50fe50bbfa,case_51_process_sale,DeepSeek_R1_14B,baseline_repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair,raw_diagram_for_same_model_and_case_already_exists,few_shot
diagram_ddca4518569a,case_34_green_rides,Llama_3.1_8B,baseline_repair,open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair,raw_diagram_for_same_model_and_case_already_exists,few_shot
diagram_e47058a4f520,case_41_video_suggestion_system,Mistral,baseline_repair,open_source__mistral__rag_validation_generator_critic_repair,raw_diagram_for_same_model_and_case_already_exists,rag
diagram_ec88e452388e,case_78_class_campaign_version_2,Qwen_2.5_7B,syntax_grounded_repair,open_source__qwen25_7b_instruct__rag_validation_generator_critic_repair__syntax_grounded_original_rag,raw_diagram_for_same_model_and_case_already_exists,few_shot|rag
diagram_f4698a240aba,case_45_alarm_clock,Llama_3.1_8B,baseline_repair,open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair,raw_diagram_for_same_model_and_case_already_exists,rag
diagram_f54dda68d13a,case_78_class_campaign_version_2,DeepSeek_R1_14B,syntax_grounded_repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair__syntax_grounded_no_rules,raw_diagram_for_same_model_and_case_already_exists,few_shot
diagram_f678d77675e8,case_12_business_process_outsourcing_bpo_management_system_2,Llama_3.1_8B,syntax_grounded_repair,open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair__syntax_grounded,raw_diagram_for_same_model_and_case_already_exists,few_shot
diagram_fa15caad7dc6,case_60_atm_2,Mistral,syntax_grounded_repair,open_source__mistral__rag_validation_generator_critic_repair__syntax_grounded,raw_diagram_for_same_model_and_case_already_exists,rag
