table,evaluation_group,metric,method,model,value,n,total,raw
Repair Iterations,Human (Likert scale 1-5),Correctness,Repair at two iterations,mistral,4.0,2,,4 (n=2)
Repair Iterations,Human (Likert scale 1-5),Correctness,Repair at two iterations,deepseek,5.0,7,,5 (n=7)
Repair Iterations,Human (Likert scale 1-5),Correctness,Repair at two iterations,qwen,4.0,7,,4 (n=7)
Repair Iterations,Human (Likert scale 1-5),Correctness,Repair at three iterations,llama,3.0,2,,3 (n=2)
Repair Iterations,Human (Likert scale 1-5),Correctness,Repair at three iterations,mistral,,,,
Repair Iterations,Human (Likert scale 1-5),Correctness,Repair at three iterations,deepseek,3.5,4,,3.5 (n=4)
Repair Iterations,Human (Likert scale 1-5),Correctness,Repair at three iterations,qwen,,,,
Repair Iterations,Human (Likert scale 1-5),Correctness,Repair at four iterations,llama,,,,
Repair Iterations,Human (Likert scale 1-5),Correctness,Repair at four iterations,mistral,,,,
Repair Iterations,Human (Likert scale 1-5),Correctness,Repair at four iterations,deepseek,3.0,5,,3 (n=5)
Repair Iterations,Human (Likert scale 1-5),Correctness,Repair at four iterations,qwen,,,,
Repair Iterations,Human (Likert scale 1-5),Correctness,Repair at five iterations,llama,,,,
Repair Iterations,Human (Likert scale 1-5),Correctness,Repair at five iterations,mistral,,,,
Repair Iterations,Human (Likert scale 1-5),Correctness,Repair at five iterations,deepseek,,,,
Repair Iterations,Human (Likert scale 1-5),Correctness,Repair at five iterations,qwen,,,,
Repair Iterations,Human (Likert scale 1-5),Understandability,Repair at zero iterations,llama,,,,
Repair Iterations,Human (Likert scale 1-5),Understandability,Repair at zero iterations,mistral,,,,
Repair Iterations,Human (Likert scale 1-5),Understandability,Repair at zero iterations,deepseek,,,,
Repair Iterations,Human (Likert scale 1-5),Understandability,Repair at zero iterations,qwen,,,,
Repair Iterations,Human (Likert scale 1-5),Understandability,Repair at once,llama,5.0,13,,5 (n=13)
Repair Iterations,Human (Likert scale 1-5),Understandability,Repair at once,mistral,5.0,7,,5 (n=7)
Repair Iterations,Human (Likert scale 1-5),Understandability,Repair at once,deepseek,5.0,23,,5 (n=23)
Repair Iterations,Human (Likert scale 1-5),Understandability,Repair at once,qwen,3.0,9,,3 (n=9)
Repair Iterations,Human (Likert scale 1-5),Understandability,Repair at two iterations,llama,,,,
Repair Iterations,Human (Likert scale 1-5),Understandability,Repair at two iterations,mistral,4.0,2,,4 (n=2)
Repair Iterations,Human (Likert scale 1-5),Understandability,Repair at two iterations,deepseek,5.0,7,,5 (n=7)
Repair Iterations,Human (Likert scale 1-5),Understandability,Repair at two iterations,qwen,3.0,7,,3 (n=7)
Repair Iterations,Human (Likert scale 1-5),Understandability,Repair at three iterations,llama,4.5,2,,4.5 (n=2)
Repair Iterations,Human (Likert scale 1-5),Understandability,Repair at three iterations,mistral,,,,
Repair Iterations,Human (Likert scale 1-5),Understandability,Repair at three iterations,deepseek,5.0,4,,5 (n=4)
Repair Iterations,Human (Likert scale 1-5),Understandability,Repair at three iterations,qwen,,,,
Repair Iterations,Human (Likert scale 1-5),Understandability,Repair at four iterations,llama,,,,
Repair Iterations,Human (Likert scale 1-5),Understandability,Repair at four iterations,mistral,,,,
Repair Iterations,Human (Likert scale 1-5),Understandability,Repair at four iterations,deepseek,2.0,5,,2 (n=5)
Repair Iterations,Human (Likert scale 1-5),Understandability,Repair at four iterations,qwen,,,,
Repair Iterations,Human (Likert scale 1-5),Understandability,Repair at five iterations,llama,,,,
Repair Iterations,Human (Likert scale 1-5),Understandability,Repair at five iterations,mistral,,,,
Repair Iterations,Human (Likert scale 1-5),Understandability,Repair at five iterations,deepseek,,,,
Repair Iterations,Human (Likert scale 1-5),Understandability,Repair at five iterations,qwen,,,,
Repair Iterations,Human (Likert scale 1-5),Terminology alignment,Repair at zero iterations,llama,,,,
Repair Iterations,Human (Likert scale 1-5),Terminology alignment,Repair at zero iterations,mistral,,,,
Repair Iterations,Human (Likert scale 1-5),Terminology alignment,Repair at zero iterations,deepseek,,,,
Repair Iterations,Human (Likert scale 1-5),Terminology alignment,Repair at zero iterations,qwen,,,,
Repair Iterations,Human (Likert scale 1-5),Terminology alignment,Repair at once,llama,4.0,13,,4 (n=13)
Repair Iterations,Human (Likert scale 1-5),Terminology alignment,Repair at once,mistral,5.0,7,,5 (n=7)
Repair Iterations,Human (Likert scale 1-5),Terminology alignment,Repair at once,deepseek,5.0,23,,5 (n=23)
Repair Iterations,Human (Likert scale 1-5),Terminology alignment,Repair at once,qwen,4.0,9,,4 (n=9)
Repair Iterations,Human (Likert scale 1-5),Terminology alignment,Repair at two iterations,llama,,,,
Repair Iterations,Human (Likert scale 1-5),Terminology alignment,Repair at two iterations,mistral,4.0,2,,4 (n=2)
Repair Iterations,Human (Likert scale 1-5),Terminology alignment,Repair at two iterations,deepseek,5.0,7,,5 (n=7)
Repair Iterations,Human (Likert scale 1-5),Terminology alignment,Repair at two iterations,qwen,4.0,7,,4 (n=7)
Repair Iterations,Human (Likert scale 1-5),Terminology alignment,Repair at three iterations,llama,4.0,2,,4 (n=2)
Repair Iterations,Human (Likert scale 1-5),Terminology alignment,Repair at three iterations,mistral,,,,
Repair Iterations,Human (Likert scale 1-5),Terminology alignment,Repair at three iterations,deepseek,4.0,4,,4 (n=4)
Repair Iterations,Human (Likert scale 1-5),Terminology alignment,Repair at three iterations,qwen,,,,
Repair Iterations,Human (Likert scale 1-5),Terminology alignment,Repair at four iterations,llama,,,,
Repair Iterations,Human (Likert scale 1-5),Terminology alignment,Repair at four iterations,mistral,,,,
Repair Iterations,Human (Likert scale 1-5),Terminology alignment,Repair at four iterations,deepseek,3.0,5,,3 (n=5)
Repair Iterations,Human (Likert scale 1-5),Terminology alignment,Repair at four iterations,qwen,,,,
Repair Iterations,Human (Likert scale 1-5),Terminology alignment,Repair at five iterations,llama,,,,
Repair Iterations,Human (Likert scale 1-5),Terminology alignment,Repair at five iterations,mistral,,,,
Repair Iterations,Human (Likert scale 1-5),Terminology alignment,Repair at five iterations,deepseek,,,,
Repair Iterations,Human (Likert scale 1-5),Terminology alignment,Repair at five iterations,qwen,,,,
