table,evaluation_group,metric,method,model,value,n,total,raw
Prompting Strategy,Human (Likert scale 1-5),Terminology alignment,Zero-shot,llama,,,,
Prompting Strategy,Human (Likert scale 1-5),Terminology alignment,Zero-shot,mistral,,,,
Prompting Strategy,Human (Likert scale 1-5),Terminology alignment,Zero-shot,deepseek,,,,
Prompting Strategy,Human (Likert scale 1-5),Terminology alignment,Zero-shot,qwen,,,,
Prompting Strategy,Human (Likert scale 1-5),Terminology alignment,One-shot,llama,5.0,10,,5 (n=10)
Prompting Strategy,Human (Likert scale 1-5),Terminology alignment,One-shot,mistral,3.5,2,,3.5 (n=2)
Prompting Strategy,Human (Likert scale 1-5),Terminology alignment,One-shot,deepseek,4.0,6,,4 (n=6)
Prompting Strategy,Human (Likert scale 1-5),Terminology alignment,One-shot,qwen,3.0,2,,3 (n=2)
Prompting Strategy,Human (Likert scale 1-5),Terminology alignment,Few-shot,llama,5.0,19,,5 (n=19)
Prompting Strategy,Human (Likert scale 1-5),Terminology alignment,Few-shot,mistral,4.5,4,,4.5 (n=4)
Prompting Strategy,Human (Likert scale 1-5),Terminology alignment,Few-shot,deepseek,5.0,12,,5 (n=12)
Prompting Strategy,Human (Likert scale 1-5),Terminology alignment,Few-shot,qwen,5.0,6,,5 (n=6)
Prompting Strategy,Human (Likert scale 1-5),Terminology alignment,RAG,llama,4.5,12,,4.5 (n=12)
Prompting Strategy,Human (Likert scale 1-5),Terminology alignment,RAG,mistral,4.0,8,,4 (n=8)
Prompting Strategy,Human (Likert scale 1-5),Terminology alignment,RAG,deepseek,5.0,8,,5 (n=8)
Prompting Strategy,Human (Likert scale 1-5),Terminology alignment,RAG,qwen,3.5,8,,3.5 (n=8)
