table,evaluation_group,metric,method,model,value,n,total,raw
RAG Ablation,Human (Likert scale 1-5),Understandability,Rag (only example),deepseek,4.5,2,,4.5 (n=2)
RAG Ablation,Human (Likert scale 1-5),Understandability,Rag (only example),qwen,5.0,3,,5 (n=3)
RAG Ablation,Human (Likert scale 1-5),Understandability,Rag (only theory),llama,5.0,1,,5 (n=1)
RAG Ablation,Human (Likert scale 1-5),Understandability,Rag (only theory),mistral,,,,
RAG Ablation,Human (Likert scale 1-5),Understandability,Rag (only theory),deepseek,,,,
RAG Ablation,Human (Likert scale 1-5),Understandability,Rag (only theory),qwen,5.0,1,,5 (n=1)
RAG Ablation,Human (Likert scale 1-5),Terminology alignment,Rag (fully),llama,4.5,10,,4.5 (n=10)
RAG Ablation,Human (Likert scale 1-5),Terminology alignment,Rag (fully),mistral,4.0,8,,4 (n=8)
RAG Ablation,Human (Likert scale 1-5),Terminology alignment,Rag (fully),deepseek,5.0,8,,5 (n=8)
RAG Ablation,Human (Likert scale 1-5),Terminology alignment,Rag (fully),qwen,2.5,6,,2.5 (n=6)
RAG Ablation,Human (Likert scale 1-5),Terminology alignment,Rag (only rules),llama,5.0,9,,5 (n=9)
RAG Ablation,Human (Likert scale 1-5),Terminology alignment,Rag (only rules),mistral,4.0,1,,4 (n=1)
RAG Ablation,Human (Likert scale 1-5),Terminology alignment,Rag (only rules),deepseek,5.0,4,,5 (n=4)
RAG Ablation,Human (Likert scale 1-5),Terminology alignment,Rag (only rules),qwen,5.0,11,,5 (n=11)
RAG Ablation,Human (Likert scale 1-5),Terminology alignment,Rag (only example),llama,5.0,4,,5 (n=4)
RAG Ablation,Human (Likert scale 1-5),Terminology alignment,Rag (only example),mistral,5.0,1,,5 (n=1)
RAG Ablation,Human (Likert scale 1-5),Terminology alignment,Rag (only example),deepseek,5.0,2,,5 (n=2)
RAG Ablation,Human (Likert scale 1-5),Terminology alignment,Rag (only example),qwen,5.0,3,,5 (n=3)
RAG Ablation,Human (Likert scale 1-5),Terminology alignment,Rag (only theory),llama,5.0,1,,5 (n=1)
RAG Ablation,Human (Likert scale 1-5),Terminology alignment,Rag (only theory),mistral,,,,
RAG Ablation,Human (Likert scale 1-5),Terminology alignment,Rag (only theory),deepseek,,,,
RAG Ablation,Human (Likert scale 1-5),Terminology alignment,Rag (only theory),qwen,5.0,1,,5 (n=1)
