llm_name,method_name,case_id,candidate_path,ground_truth_path,embedding_model,similarity_threshold,ground_truth_states,candidate_states,matched_state_pairs,missing_ground_truth_states,extra_candidate_states,ground_truth_state_count,candidate_state_count,matched_state_count,missing_state_count,extra_state_count,semantic_state_precision,semantic_state_recall,semantic_state_f1
DeepSeek_R1_14B,baseline_repair,case_12_business_process_outsourcing_bpo_management_system_2,valid_diagrams/DeepSeek_R1_14B/baseline_repair/case_12_business_process_outsourcing_bpo_management_system_2/diagram.puml,dataset/case_12_business_process_outsourcing_bpo_management_system_2/diagram.puml,sentence-transformers/all-MiniLM-L6-v2,0.800000,"[""Choose category"",""Choose rate range"",""search and display"",""Search users""]","[""ResultsDisplayed"",""SearchCriteriaEntered"",""Start""]",[],"[""Choose category"",""Choose rate range"",""search and display"",""Search users""]","[""ResultsDisplayed"",""SearchCriteriaEntered"",""Start""]",4,3,0,4,3,0.0,0.0,0.0
DeepSeek_R1_14B,syntax_grounded_repair,case_12_business_process_outsourcing_bpo_management_system_2,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_12_business_process_outsourcing_bpo_management_system_2/diagram.puml,dataset/case_12_business_process_outsourcing_bpo_management_system_2/diagram.puml,sentence-transformers/all-MiniLM-L6-v2,0.800000,"[""Choose category"",""Choose rate range"",""search and display"",""Search users""]","[""End"",""Searching"",""Start""]",[],"[""Choose category"",""Choose rate range"",""search and display"",""Search users""]","[""End"",""Searching"",""Start""]",4,3,0,4,3,0.0,0.0,0.0
Llama_3.1_8B,baseline_repair,case_12_business_process_outsourcing_bpo_management_system_2,valid_diagrams/Llama_3.1_8B/baseline_repair/case_12_business_process_outsourcing_bpo_management_system_2/diagram.puml,dataset/case_12_business_process_outsourcing_bpo_management_system_2/diagram.puml,sentence-transformers/all-MiniLM-L6-v2,0.800000,"[""Choose category"",""Choose rate range"",""search and display"",""Search users""]","[""DisplayResults"",""Search"",""SelectPriceRange""]",[],"[""Choose category"",""Choose rate range"",""search and display"",""Search users""]","[""DisplayResults"",""Search"",""SelectPriceRange""]",4,3,0,4,3,0.0,0.0,0.0
Llama_3.1_8B,few_shot,case_12_business_process_outsourcing_bpo_management_system_2,valid_diagrams/Llama_3.1_8B/few_shot/case_12_business_process_outsourcing_bpo_management_system_2/diagram.puml,dataset/case_12_business_process_outsourcing_bpo_management_system_2/diagram.puml,sentence-transformers/all-MiniLM-L6-v2,0.800000,"[""Choose category"",""Choose rate range"",""search and display"",""Search users""]","[""DisplayResults"",""Search"",""SelectPriceRange""]",[],"[""Choose category"",""Choose rate range"",""search and display"",""Search users""]","[""DisplayResults"",""Search"",""SelectPriceRange""]",4,3,0,4,3,0.0,0.0,0.0
Llama_3.1_8B,syntax_grounded_repair,case_12_business_process_outsourcing_bpo_management_system_2,valid_diagrams/Llama_3.1_8B/syntax_grounded_repair/case_12_business_process_outsourcing_bpo_management_system_2/diagram.puml,dataset/case_12_business_process_outsourcing_bpo_management_system_2/diagram.puml,sentence-transformers/all-MiniLM-L6-v2,0.800000,"[""Choose category"",""Choose rate range"",""search and display"",""Search users""]","[""DisplayResults"",""Search"",""SelectPriceRange""]",[],"[""Choose category"",""Choose rate range"",""search and display"",""Search users""]","[""DisplayResults"",""Search"",""SelectPriceRange""]",4,3,0,4,3,0.0,0.0,0.0
Qwen_2.5_7B,syntax_grounded_repair,case_12_business_process_outsourcing_bpo_management_system_2,valid_diagrams/Qwen_2.5_7B/syntax_grounded_repair/case_12_business_process_outsourcing_bpo_management_system_2/diagram.puml,dataset/case_12_business_process_outsourcing_bpo_management_system_2/diagram.puml,sentence-transformers/all-MiniLM-L6-v2,0.800000,"[""Choose category"",""Choose rate range"",""search and display"",""Search users""]","[""DisplayResults"",""FilterCategory"",""PriceRange"",""SearchCriteria""]",[],"[""Choose category"",""Choose rate range"",""search and display"",""Search users""]","[""DisplayResults"",""FilterCategory"",""PriceRange"",""SearchCriteria""]",4,4,0,4,4,0.0,0.0,0.0
DeepSeek_R1_14B,baseline_repair,case_15_e_ticketing_for_bus,valid_diagrams/DeepSeek_R1_14B/baseline_repair/case_15_e_ticketing_for_bus/diagram.puml,dataset/case_15_e_ticketing_for_bus/diagram.puml,sentence-transformers/all-MiniLM-L6-v2,0.800000,"[""CheckStatus"",""Confirmation"",""Login"",""LoginStart"",""Logout"",""ManageAccount"",""Payment"",""Register"",""Reservation""]","[""BookTicket"",""CheckTicketStatus"",""ConfirmPayment"",""CreateUser"",""End"",""Login"",""Logout"",""MainMenu"",""ManageAccount"",""Start"",""ValidateRegistration""]","[{""ground_truth_state"":""Login"",""candidate_state"":""Login"",""ground_truth_normalized"":""login"",""candidate_normalized"":""login"",""similarity"":1.0},{""ground_truth_state"":""Logout"",""candidate_state"":""Logout"",""ground_truth_normalized"":""logout"",""candidate_normalized"":""logout"",""similarity"":1.0},{""ground_truth_state"":""ManageAccount"",""candidate_state"":""ManageAccount"",""ground_truth_normalized"":""manage account"",""candidate_normalized"":""manage account"",""similarity"":1.0}]","[""CheckStatus"",""Confirmation"",""LoginStart"",""Payment"",""Register"",""Reservation""]","[""BookTicket"",""CheckTicketStatus"",""ConfirmPayment"",""CreateUser"",""End"",""MainMenu"",""Start"",""ValidateRegistration""]",9,11,3,6,8,0.272727,0.333333,0.3
DeepSeek_R1_14B,syntax_grounded_repair,case_15_e_ticketing_for_bus,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_15_e_ticketing_for_bus/diagram.puml,dataset/case_15_e_ticketing_for_bus/diagram.puml,sentence-transformers/all-MiniLM-L6-v2,0.800000,"[""CheckStatus"",""Confirmation"",""Login"",""LoginStart"",""Logout"",""ManageAccount"",""Payment"",""Register"",""Reservation""]","[""BookTicket"",""CheckTicketStatus"",""ConfirmPayment"",""CreateUser"",""End"",""Login"",""Logout"",""MainMenu"",""ManageAccount"",""Start"",""ValidateRegistration""]","[{""ground_truth_state"":""Login"",""candidate_state"":""Login"",""ground_truth_normalized"":""login"",""candidate_normalized"":""login"",""similarity"":1.0},{""ground_truth_state"":""Logout"",""candidate_state"":""Logout"",""ground_truth_normalized"":""logout"",""candidate_normalized"":""logout"",""similarity"":1.0},{""ground_truth_state"":""ManageAccount"",""candidate_state"":""ManageAccount"",""ground_truth_normalized"":""manage account"",""candidate_normalized"":""manage account"",""similarity"":1.0}]","[""CheckStatus"",""Confirmation"",""LoginStart"",""Payment"",""Register"",""Reservation""]","[""BookTicket"",""CheckTicketStatus"",""ConfirmPayment"",""CreateUser"",""End"",""MainMenu"",""Start"",""ValidateRegistration""]",9,11,3,6,8,0.272727,0.333333,0.3
Mistral,few_shot,case_15_e_ticketing_for_bus,valid_diagrams/Mistral/few_shot/case_15_e_ticketing_for_bus/diagram.puml,dataset/case_15_e_ticketing_for_bus/diagram.puml,sentence-transformers/all-MiniLM-L6-v2,0.800000,"[""CheckStatus"",""Confirmation"",""Login"",""LoginStart"",""Logout"",""ManageAccount"",""Payment"",""Register"",""Reservation""]","[""BookingTicket"",""CheckingTicketStatus"",""LoggedIn"",""LoggedOut"",""ManagingAccountDetails"",""NotRegistered"",""Registered"",""Registering""]","[{""ground_truth_state"":""Login"",""candidate_state"":""LoggedIn"",""ground_truth_normalized"":""login"",""candidate_normalized"":""logged in"",""similarity"":0.850182},{""ground_truth_state"":""Logout"",""candidate_state"":""LoggedOut"",""ground_truth_normalized"":""logout"",""candidate_normalized"":""logged out"",""similarity"":0.805794},{""ground_truth_state"":""ManageAccount"",""candidate_state"":""ManagingAccountDetails"",""ground_truth_normalized"":""manage account"",""candidate_normalized"":""managing account details"",""similarity"":0.803832},{""ground_truth_state"":""Register"",""candidate_state"":""Registering"",""ground_truth_normalized"":""register"",""candidate_normalized"":""registering"",""similarity"":0.924417}]","[""CheckStatus"",""Confirmation"",""LoginStart"",""Payment"",""Reservation""]","[""BookingTicket"",""CheckingTicketStatus"",""NotRegistered"",""Registered""]",9,8,4,5,4,0.5,0.444444,0.470588
DeepSeek_R1_14B,baseline_repair,case_16_weather_monitoring_system,valid_diagrams/DeepSeek_R1_14B/baseline_repair/case_16_weather_monitoring_system/diagram.puml,dataset/case_16_weather_monitoring_system/diagram.puml,sentence-transformers/all-MiniLM-L6-v2,0.800000,"[""Alert"",""Display"",""FuturePrediction"",""Graph"",""LiveUpdate"",""login"",""Logout"",""MeasureDewPoint"",""MeasureHumidity"",""MeasurePressure"",""MeasureRainfall"",""MeasureTemperature"",""NewLocation"",""Register"",""UserLocation"",""WeatherStatus"",""WeeklyAnalysis""]","[""LoggedIn"",""LoggedOut"",""Start""]","[{""ground_truth_state"":""login"",""candidate_state"":""LoggedIn"",""ground_truth_normalized"":""login"",""candidate_normalized"":""logged in"",""similarity"":0.850182},{""ground_truth_state"":""Logout"",""candidate_state"":""LoggedOut"",""ground_truth_normalized"":""logout"",""candidate_normalized"":""logged out"",""similarity"":0.805794}]","[""Alert"",""Display"",""FuturePrediction"",""Graph"",""LiveUpdate"",""MeasureDewPoint"",""MeasureHumidity"",""MeasurePressure"",""MeasureRainfall"",""MeasureTemperature"",""NewLocation"",""Register"",""UserLocation"",""WeatherStatus"",""WeeklyAnalysis""]","[""Start""]",17,3,2,15,1,0.666667,0.117647,0.2
