source,case_id,complexity,model,method,metric,score,diagram_name
main_human_evaluation,case_28_ott_based_system_mini_reel,medium,DeepSeek R1 14B,One-shot,Correctness,5.0,deepseek_r1_14b__one_shot__run_01.png
main_human_evaluation,case_28_ott_based_system_mini_reel,medium,DeepSeek R1 14B,One-shot,Understandability,5.0,deepseek_r1_14b__one_shot__run_01.png
main_human_evaluation,case_28_ott_based_system_mini_reel,medium,DeepSeek R1 14B,One-shot,Terminology alignment,5.0,deepseek_r1_14b__one_shot__run_01.png
main_human_evaluation,case_28_ott_based_system_mini_reel,medium,DeepSeek R1 14B,One-shot,Completeness,4.0,deepseek_r1_14b__one_shot__run_01.png
main_human_evaluation,case_28_ott_based_system_mini_reel,medium,DeepSeek R1 14B,One-shot,Correctness,3.0,deepseek_r1_14b__one_shot__run_01.png
main_human_evaluation,case_28_ott_based_system_mini_reel,medium,DeepSeek R1 14B,One-shot,Understandability,2.0,deepseek_r1_14b__one_shot__run_01.png
main_human_evaluation,case_28_ott_based_system_mini_reel,medium,DeepSeek R1 14B,One-shot,Terminology alignment,5.0,deepseek_r1_14b__one_shot__run_01.png
main_human_evaluation,case_28_ott_based_system_mini_reel,medium,Llama 3.1 8B Instruct,RAG,Completeness,5.0,llama_3_1_8b_instruct__rag__run_01.png
main_human_evaluation,case_28_ott_based_system_mini_reel,medium,Llama 3.1 8B Instruct,RAG,Correctness,3.0,llama_3_1_8b_instruct__rag__run_01.png
main_human_evaluation,case_28_ott_based_system_mini_reel,medium,Llama 3.1 8B Instruct,RAG,Understandability,5.0,llama_3_1_8b_instruct__rag__run_01.png
main_human_evaluation,case_28_ott_based_system_mini_reel,medium,Llama 3.1 8B Instruct,RAG,Terminology alignment,5.0,llama_3_1_8b_instruct__rag__run_01.png
main_human_evaluation,case_28_ott_based_system_mini_reel,medium,Llama 3.1 8B Instruct,RAG,Completeness,2.0,llama_3_1_8b_instruct__rag__run_01.png
main_human_evaluation,case_28_ott_based_system_mini_reel,medium,Llama 3.1 8B Instruct,RAG,Correctness,1.0,llama_3_1_8b_instruct__rag__run_01.png
main_human_evaluation,case_28_ott_based_system_mini_reel,medium,Llama 3.1 8B Instruct,RAG,Understandability,5.0,llama_3_1_8b_instruct__rag__run_01.png
main_human_evaluation,case_28_ott_based_system_mini_reel,medium,Llama 3.1 8B Instruct,RAG,Terminology alignment,5.0,llama_3_1_8b_instruct__rag__run_01.png
main_human_evaluation,case_33_farm_management_system,complex,DeepSeek R1 14B,Few-shot,Completeness,3.0,deepseek_r1_14b__few_shot__run_01.png
main_human_evaluation,case_33_farm_management_system,complex,DeepSeek R1 14B,Few-shot,Correctness,3.0,deepseek_r1_14b__few_shot__run_01.png
main_human_evaluation,case_33_farm_management_system,complex,DeepSeek R1 14B,Few-shot,Understandability,5.0,deepseek_r1_14b__few_shot__run_01.png
main_human_evaluation,case_33_farm_management_system,complex,DeepSeek R1 14B,Few-shot,Terminology alignment,4.0,deepseek_r1_14b__few_shot__run_01.png
main_human_evaluation,case_33_farm_management_system,complex,DeepSeek R1 14B,Few-shot,Completeness,3.0,deepseek_r1_14b__few_shot__run_01.png
main_human_evaluation,case_33_farm_management_system,complex,DeepSeek R1 14B,Few-shot,Correctness,3.0,deepseek_r1_14b__few_shot__run_01.png
main_human_evaluation,case_33_farm_management_system,complex,DeepSeek R1 14B,Few-shot,Understandability,4.0,deepseek_r1_14b__few_shot__run_01.png
main_human_evaluation,case_33_farm_management_system,complex,DeepSeek R1 14B,Few-shot,Terminology alignment,5.0,deepseek_r1_14b__few_shot__run_01.png
main_human_evaluation,case_34_green_rides,medium,Llama 3.1 8B Instruct,Few-shot,Completeness,5.0,llama_3_1_8b_instruct__few_shot__run_01.png
main_human_evaluation,case_34_green_rides,medium,Llama 3.1 8B Instruct,Few-shot,Correctness,5.0,llama_3_1_8b_instruct__few_shot__run_01.png
main_human_evaluation,case_34_green_rides,medium,Llama 3.1 8B Instruct,Few-shot,Understandability,5.0,llama_3_1_8b_instruct__few_shot__run_01.png
main_human_evaluation,case_34_green_rides,medium,Llama 3.1 8B Instruct,Few-shot,Terminology alignment,5.0,llama_3_1_8b_instruct__few_shot__run_01.png
main_human_evaluation,case_34_green_rides,medium,Llama 3.1 8B Instruct,Few-shot,Completeness,4.0,llama_3_1_8b_instruct__few_shot__run_01.png
main_human_evaluation,case_34_green_rides,medium,Llama 3.1 8B Instruct,Few-shot,Correctness,4.0,llama_3_1_8b_instruct__few_shot__run_01.png
main_human_evaluation,case_34_green_rides,medium,Llama 3.1 8B Instruct,Few-shot,Understandability,5.0,llama_3_1_8b_instruct__few_shot__run_01.png
main_human_evaluation,case_34_green_rides,medium,Llama 3.1 8B Instruct,Few-shot,Terminology alignment,5.0,llama_3_1_8b_instruct__few_shot__run_01.png
main_human_evaluation,case_34_green_rides,medium,Qwen 2.5 7B Instruct,Few-shot,Completeness,5.0,qwen_2_5_7b_instruct__few_shot__run_01.png
main_human_evaluation,case_34_green_rides,medium,Qwen 2.5 7B Instruct,Few-shot,Correctness,4.0,qwen_2_5_7b_instruct__few_shot__run_01.png
main_human_evaluation,case_34_green_rides,medium,Qwen 2.5 7B Instruct,Few-shot,Understandability,5.0,qwen_2_5_7b_instruct__few_shot__run_01.png
main_human_evaluation,case_34_green_rides,medium,Qwen 2.5 7B Instruct,Few-shot,Terminology alignment,5.0,qwen_2_5_7b_instruct__few_shot__run_01.png
main_human_evaluation,case_34_green_rides,medium,Qwen 2.5 7B Instruct,Few-shot,Completeness,4.0,qwen_2_5_7b_instruct__few_shot__run_01.png
main_human_evaluation,case_34_green_rides,medium,Qwen 2.5 7B Instruct,Few-shot,Correctness,4.0,qwen_2_5_7b_instruct__few_shot__run_01.png
main_human_evaluation,case_34_green_rides,medium,Qwen 2.5 7B Instruct,Few-shot,Understandability,5.0,qwen_2_5_7b_instruct__few_shot__run_01.png
main_human_evaluation,case_34_green_rides,medium,Qwen 2.5 7B Instruct,Few-shot,Terminology alignment,5.0,qwen_2_5_7b_instruct__few_shot__run_01.png
main_human_evaluation,case_37_online_quiz_system,complex,Llama 3.1 8B Instruct,RAG,Completeness,3.0,llama_3_1_8b_instruct__rag__run_01.png
main_human_evaluation,case_37_online_quiz_system,complex,Llama 3.1 8B Instruct,RAG,Correctness,3.0,llama_3_1_8b_instruct__rag__run_01.png
main_human_evaluation,case_37_online_quiz_system,complex,Llama 3.1 8B Instruct,RAG,Understandability,4.0,llama_3_1_8b_instruct__rag__run_01.png
main_human_evaluation,case_37_online_quiz_system,complex,Llama 3.1 8B Instruct,RAG,Terminology alignment,5.0,llama_3_1_8b_instruct__rag__run_01.png
main_human_evaluation,case_37_online_quiz_system,complex,Llama 3.1 8B Instruct,RAG,Completeness,3.0,llama_3_1_8b_instruct__rag__run_01.png
main_human_evaluation,case_37_online_quiz_system,complex,Llama 3.1 8B Instruct,RAG,Correctness,5.0,llama_3_1_8b_instruct__rag__run_01.png
main_human_evaluation,case_37_online_quiz_system,complex,Llama 3.1 8B Instruct,RAG,Understandability,5.0,llama_3_1_8b_instruct__rag__run_01.png
main_human_evaluation,case_37_online_quiz_system,complex,Llama 3.1 8B Instruct,RAG,Terminology alignment,5.0,llama_3_1_8b_instruct__rag__run_01.png
main_human_evaluation,case_39_website_development,medium,DeepSeek R1 14B,RAG,Completeness,1.0,deepseek_r1_14b__rag__run_01.png
main_human_evaluation,case_39_website_development,medium,DeepSeek R1 14B,RAG,Correctness,3.0,deepseek_r1_14b__rag__run_01.png
main_human_evaluation,case_39_website_development,medium,DeepSeek R1 14B,RAG,Understandability,4.0,deepseek_r1_14b__rag__run_01.png
main_human_evaluation,case_39_website_development,medium,DeepSeek R1 14B,RAG,Terminology alignment,5.0,deepseek_r1_14b__rag__run_01.png
main_human_evaluation,case_39_website_development,medium,DeepSeek R1 14B,RAG,Completeness,5.0,deepseek_r1_14b__rag__run_01.png
main_human_evaluation,case_39_website_development,medium,DeepSeek R1 14B,RAG,Correctness,4.0,deepseek_r1_14b__rag__run_01.png
main_human_evaluation,case_39_website_development,medium,DeepSeek R1 14B,RAG,Understandability,5.0,deepseek_r1_14b__rag__run_01.png
main_human_evaluation,case_39_website_development,medium,DeepSeek R1 14B,RAG,Terminology alignment,5.0,deepseek_r1_14b__rag__run_01.png
main_human_evaluation,case_41_video_suggestion_system,medium,DeepSeek R1 14B,RAG,Completeness,4.0,deepseek_r1_14b__rag__run_01.png
main_human_evaluation,case_41_video_suggestion_system,medium,DeepSeek R1 14B,RAG,Correctness,3.0,deepseek_r1_14b__rag__run_01.png
main_human_evaluation,case_41_video_suggestion_system,medium,DeepSeek R1 14B,RAG,Understandability,3.0,deepseek_r1_14b__rag__run_01.png
main_human_evaluation,case_41_video_suggestion_system,medium,DeepSeek R1 14B,RAG,Terminology alignment,4.0,deepseek_r1_14b__rag__run_01.png
main_human_evaluation,case_41_video_suggestion_system,medium,DeepSeek R1 14B,RAG,Completeness,4.0,deepseek_r1_14b__rag__run_01.png
main_human_evaluation,case_41_video_suggestion_system,medium,DeepSeek R1 14B,RAG,Correctness,5.0,deepseek_r1_14b__rag__run_01.png
main_human_evaluation,case_41_video_suggestion_system,medium,DeepSeek R1 14B,RAG,Understandability,5.0,deepseek_r1_14b__rag__run_01.png
main_human_evaluation,case_41_video_suggestion_system,medium,DeepSeek R1 14B,RAG,Terminology alignment,5.0,deepseek_r1_14b__rag__run_01.png
main_human_evaluation,case_41_video_suggestion_system,medium,Llama 3.1 8B Instruct,RAG,Completeness,2.0,llama_3_1_8b_instruct__rag__run_01.png
main_human_evaluation,case_41_video_suggestion_system,medium,Llama 3.1 8B Instruct,RAG,Correctness,2.0,llama_3_1_8b_instruct__rag__run_01.png
main_human_evaluation,case_41_video_suggestion_system,medium,Llama 3.1 8B Instruct,RAG,Understandability,1.0,llama_3_1_8b_instruct__rag__run_01.png
main_human_evaluation,case_41_video_suggestion_system,medium,Llama 3.1 8B Instruct,RAG,Terminology alignment,4.0,llama_3_1_8b_instruct__rag__run_01.png
main_human_evaluation,case_41_video_suggestion_system,medium,Llama 3.1 8B Instruct,RAG,Completeness,2.0,llama_3_1_8b_instruct__rag__run_01.png
main_human_evaluation,case_41_video_suggestion_system,medium,Llama 3.1 8B Instruct,RAG,Correctness,5.0,llama_3_1_8b_instruct__rag__run_01.png
main_human_evaluation,case_41_video_suggestion_system,medium,Llama 3.1 8B Instruct,RAG,Understandability,1.0,llama_3_1_8b_instruct__rag__run_01.png
main_human_evaluation,case_41_video_suggestion_system,medium,Llama 3.1 8B Instruct,RAG,Terminology alignment,5.0,llama_3_1_8b_instruct__rag__run_01.png
main_human_evaluation,case_41_video_suggestion_system,medium,Qwen 2.5 7B Instruct,RAG,Completeness,3.0,qwen_2_5_7b_instruct__rag__run_01.png
main_human_evaluation,case_41_video_suggestion_system,medium,Qwen 2.5 7B Instruct,RAG,Correctness,4.0,qwen_2_5_7b_instruct__rag__run_01.png
main_human_evaluation,case_41_video_suggestion_system,medium,Qwen 2.5 7B Instruct,RAG,Understandability,5.0,qwen_2_5_7b_instruct__rag__run_01.png
main_human_evaluation,case_41_video_suggestion_system,medium,Qwen 2.5 7B Instruct,RAG,Terminology alignment,5.0,qwen_2_5_7b_instruct__rag__run_01.png
main_human_evaluation,case_41_video_suggestion_system,medium,Qwen 2.5 7B Instruct,RAG,Completeness,3.0,qwen_2_5_7b_instruct__rag__run_01.png
main_human_evaluation,case_41_video_suggestion_system,medium,Qwen 2.5 7B Instruct,RAG,Correctness,4.0,qwen_2_5_7b_instruct__rag__run_01.png
main_human_evaluation,case_41_video_suggestion_system,medium,Qwen 2.5 7B Instruct,RAG,Understandability,5.0,qwen_2_5_7b_instruct__rag__run_01.png
main_human_evaluation,case_41_video_suggestion_system,medium,Qwen 2.5 7B Instruct,RAG,Terminology alignment,2.0,qwen_2_5_7b_instruct__rag__run_01.png
main_human_evaluation,case_45_alarm_clock,simple,Llama 3.1 8B Instruct,RAG,Completeness,5.0,llama_3_1_8b_instruct__rag__run_01.png
main_human_evaluation,case_45_alarm_clock,simple,Llama 3.1 8B Instruct,RAG,Correctness,3.0,llama_3_1_8b_instruct__rag__run_01.png
main_human_evaluation,case_45_alarm_clock,simple,Llama 3.1 8B Instruct,RAG,Understandability,5.0,llama_3_1_8b_instruct__rag__run_01.png
main_human_evaluation,case_45_alarm_clock,simple,Llama 3.1 8B Instruct,RAG,Terminology alignment,3.0,llama_3_1_8b_instruct__rag__run_01.png
main_human_evaluation,case_45_alarm_clock,simple,Llama 3.1 8B Instruct,RAG,Completeness,5.0,llama_3_1_8b_instruct__rag__run_01.png
main_human_evaluation,case_45_alarm_clock,simple,Llama 3.1 8B Instruct,RAG,Correctness,4.0,llama_3_1_8b_instruct__rag__run_01.png
main_human_evaluation,case_45_alarm_clock,simple,Llama 3.1 8B Instruct,RAG,Understandability,5.0,llama_3_1_8b_instruct__rag__run_01.png
main_human_evaluation,case_45_alarm_clock,simple,Llama 3.1 8B Instruct,RAG,Terminology alignment,2.0,llama_3_1_8b_instruct__rag__run_01.png
main_human_evaluation,case_45_alarm_clock,simple,Qwen 2.5 7B Instruct,Few-shot,Completeness,5.0,qwen_2_5_7b_instruct__few_shot__run_01.png
main_human_evaluation,case_45_alarm_clock,simple,Qwen 2.5 7B Instruct,Few-shot,Correctness,5.0,qwen_2_5_7b_instruct__few_shot__run_01.png
main_human_evaluation,case_45_alarm_clock,simple,Qwen 2.5 7B Instruct,Few-shot,Understandability,5.0,qwen_2_5_7b_instruct__few_shot__run_01.png
main_human_evaluation,case_45_alarm_clock,simple,Qwen 2.5 7B Instruct,Few-shot,Terminology alignment,4.0,qwen_2_5_7b_instruct__few_shot__run_01.png
main_human_evaluation,case_45_alarm_clock,simple,Qwen 2.5 7B Instruct,Few-shot,Completeness,4.0,qwen_2_5_7b_instruct__few_shot__run_01.png
main_human_evaluation,case_45_alarm_clock,simple,Qwen 2.5 7B Instruct,Few-shot,Correctness,4.0,qwen_2_5_7b_instruct__few_shot__run_01.png
main_human_evaluation,case_45_alarm_clock,simple,Qwen 2.5 7B Instruct,Few-shot,Understandability,5.0,qwen_2_5_7b_instruct__few_shot__run_01.png
main_human_evaluation,case_45_alarm_clock,simple,Qwen 2.5 7B Instruct,Few-shot,Terminology alignment,5.0,qwen_2_5_7b_instruct__few_shot__run_01.png
main_human_evaluation,case_47_safehome_security_function,simple,Llama 3.1 8B Instruct,Few-shot,Completeness,3.0,llama_3_1_8b_instruct__few_shot__run_01.png
main_human_evaluation,case_47_safehome_security_function,simple,Llama 3.1 8B Instruct,Few-shot,Correctness,2.0,llama_3_1_8b_instruct__few_shot__run_01.png
main_human_evaluation,case_47_safehome_security_function,simple,Llama 3.1 8B Instruct,Few-shot,Understandability,4.0,llama_3_1_8b_instruct__few_shot__run_01.png
main_human_evaluation,case_47_safehome_security_function,simple,Llama 3.1 8B Instruct,Few-shot,Terminology alignment,5.0,llama_3_1_8b_instruct__few_shot__run_01.png
main_human_evaluation,case_47_safehome_security_function,simple,Llama 3.1 8B Instruct,Few-shot,Completeness,3.0,llama_3_1_8b_instruct__few_shot__run_01.png
main_human_evaluation,case_47_safehome_security_function,simple,Llama 3.1 8B Instruct,Few-shot,Correctness,4.0,llama_3_1_8b_instruct__few_shot__run_01.png
main_human_evaluation,case_47_safehome_security_function,simple,Llama 3.1 8B Instruct,Few-shot,Understandability,4.0,llama_3_1_8b_instruct__few_shot__run_01.png
main_human_evaluation,case_47_safehome_security_function,simple,Llama 3.1 8B Instruct,Few-shot,Terminology alignment,5.0,llama_3_1_8b_instruct__few_shot__run_01.png
main_human_evaluation,case_47_safehome_security_function,simple,Llama 3.1 8B Instruct,RAG,Completeness,3.0,llama_3_1_8b_instruct__rag__run_01.png
main_human_evaluation,case_47_safehome_security_function,simple,Llama 3.1 8B Instruct,RAG,Correctness,2.0,llama_3_1_8b_instruct__rag__run_01.png
main_human_evaluation,case_47_safehome_security_function,simple,Llama 3.1 8B Instruct,RAG,Understandability,4.0,llama_3_1_8b_instruct__rag__run_01.png
main_human_evaluation,case_47_safehome_security_function,simple,Llama 3.1 8B Instruct,RAG,Terminology alignment,3.0,llama_3_1_8b_instruct__rag__run_01.png
main_human_evaluation,case_47_safehome_security_function,simple,Llama 3.1 8B Instruct,RAG,Completeness,4.0,llama_3_1_8b_instruct__rag__run_01.png
main_human_evaluation,case_47_safehome_security_function,simple,Llama 3.1 8B Instruct,RAG,Correctness,3.0,llama_3_1_8b_instruct__rag__run_01.png
main_human_evaluation,case_47_safehome_security_function,simple,Llama 3.1 8B Instruct,RAG,Understandability,4.0,llama_3_1_8b_instruct__rag__run_01.png
main_human_evaluation,case_47_safehome_security_function,simple,Llama 3.1 8B Instruct,RAG,Terminology alignment,4.0,llama_3_1_8b_instruct__rag__run_01.png
main_human_evaluation,case_51_process_sale,simple,DeepSeek R1 14B,Few-shot,Completeness,5.0,deepseek_r1_14b__few_shot__run_01.png
main_human_evaluation,case_51_process_sale,simple,DeepSeek R1 14B,Few-shot,Correctness,5.0,deepseek_r1_14b__few_shot__run_01.png
main_human_evaluation,case_51_process_sale,simple,DeepSeek R1 14B,Few-shot,Understandability,5.0,deepseek_r1_14b__few_shot__run_01.png
main_human_evaluation,case_51_process_sale,simple,DeepSeek R1 14B,Few-shot,Terminology alignment,5.0,deepseek_r1_14b__few_shot__run_01.png
main_human_evaluation,case_51_process_sale,simple,DeepSeek R1 14B,Few-shot,Completeness,5.0,deepseek_r1_14b__few_shot__run_01.png
main_human_evaluation,case_51_process_sale,simple,DeepSeek R1 14B,Few-shot,Correctness,4.0,deepseek_r1_14b__few_shot__run_01.png
main_human_evaluation,case_51_process_sale,simple,DeepSeek R1 14B,Few-shot,Understandability,5.0,deepseek_r1_14b__few_shot__run_01.png
main_human_evaluation,case_51_process_sale,simple,DeepSeek R1 14B,Few-shot,Terminology alignment,5.0,deepseek_r1_14b__few_shot__run_01.png
main_human_evaluation,case_54_weather_station_system,medium,DeepSeek R1 14B,One-shot,Completeness,3.0,deepseek_r1_14b__one_shot__run_01.png
main_human_evaluation,case_54_weather_station_system,medium,DeepSeek R1 14B,One-shot,Correctness,3.0,deepseek_r1_14b__one_shot__run_01.png
main_human_evaluation,case_54_weather_station_system,medium,DeepSeek R1 14B,One-shot,Understandability,3.0,deepseek_r1_14b__one_shot__run_01.png
main_human_evaluation,case_54_weather_station_system,medium,DeepSeek R1 14B,One-shot,Terminology alignment,4.0,deepseek_r1_14b__one_shot__run_01.png
main_human_evaluation,case_54_weather_station_system,medium,DeepSeek R1 14B,One-shot,Completeness,4.0,deepseek_r1_14b__one_shot__run_01.png
main_human_evaluation,case_54_weather_station_system,medium,DeepSeek R1 14B,One-shot,Correctness,3.0,deepseek_r1_14b__one_shot__run_01.png
main_human_evaluation,case_54_weather_station_system,medium,DeepSeek R1 14B,One-shot,Understandability,3.0,deepseek_r1_14b__one_shot__run_01.png
main_human_evaluation,case_54_weather_station_system,medium,DeepSeek R1 14B,One-shot,Terminology alignment,4.0,deepseek_r1_14b__one_shot__run_01.png
main_human_evaluation,case_59_atm_1,simple,DeepSeek R1 14B,One-shot,Completeness,4.0,deepseek_r1_14b__one_shot__run_01.png
main_human_evaluation,case_59_atm_1,simple,DeepSeek R1 14B,One-shot,Correctness,4.0,deepseek_r1_14b__one_shot__run_01.png
main_human_evaluation,case_59_atm_1,simple,DeepSeek R1 14B,One-shot,Understandability,4.0,deepseek_r1_14b__one_shot__run_01.png
main_human_evaluation,case_59_atm_1,simple,DeepSeek R1 14B,One-shot,Terminology alignment,3.0,deepseek_r1_14b__one_shot__run_01.png
main_human_evaluation,case_59_atm_1,simple,DeepSeek R1 14B,One-shot,Completeness,4.0,deepseek_r1_14b__one_shot__run_01.png
main_human_evaluation,case_59_atm_1,simple,DeepSeek R1 14B,One-shot,Correctness,4.0,deepseek_r1_14b__one_shot__run_01.png
main_human_evaluation,case_59_atm_1,simple,DeepSeek R1 14B,One-shot,Understandability,4.0,deepseek_r1_14b__one_shot__run_01.png
main_human_evaluation,case_59_atm_1,simple,DeepSeek R1 14B,One-shot,Terminology alignment,3.0,deepseek_r1_14b__one_shot__run_01.png
main_human_evaluation,case_60_atm_2,simple,DeepSeek R1 14B,Few-shot,Completeness,4.0,deepseek_r1_14b__few_shot__run_01.png
main_human_evaluation,case_60_atm_2,simple,DeepSeek R1 14B,Few-shot,Correctness,4.0,deepseek_r1_14b__few_shot__run_01.png
main_human_evaluation,case_60_atm_2,simple,DeepSeek R1 14B,Few-shot,Understandability,5.0,deepseek_r1_14b__few_shot__run_01.png
main_human_evaluation,case_60_atm_2,simple,DeepSeek R1 14B,Few-shot,Terminology alignment,5.0,deepseek_r1_14b__few_shot__run_01.png
main_human_evaluation,case_60_atm_2,simple,DeepSeek R1 14B,Few-shot,Completeness,4.0,deepseek_r1_14b__few_shot__run_01.png
main_human_evaluation,case_60_atm_2,simple,DeepSeek R1 14B,Few-shot,Correctness,4.0,deepseek_r1_14b__few_shot__run_01.png
main_human_evaluation,case_60_atm_2,simple,DeepSeek R1 14B,Few-shot,Understandability,5.0,deepseek_r1_14b__few_shot__run_01.png
main_human_evaluation,case_60_atm_2,simple,DeepSeek R1 14B,Few-shot,Terminology alignment,4.0,deepseek_r1_14b__few_shot__run_01.png
main_human_evaluation,case_60_atm_2,simple,DeepSeek R1 14B,RAG,Completeness,5.0,deepseek_r1_14b__rag__run_01.png
main_human_evaluation,case_60_atm_2,simple,DeepSeek R1 14B,RAG,Correctness,5.0,deepseek_r1_14b__rag__run_01.png
main_human_evaluation,case_60_atm_2,simple,DeepSeek R1 14B,RAG,Understandability,5.0,deepseek_r1_14b__rag__run_01.png
main_human_evaluation,case_60_atm_2,simple,DeepSeek R1 14B,RAG,Terminology alignment,4.0,deepseek_r1_14b__rag__run_01.png
main_human_evaluation,case_60_atm_2,simple,DeepSeek R1 14B,RAG,Completeness,5.0,deepseek_r1_14b__rag__run_01.png
main_human_evaluation,case_60_atm_2,simple,DeepSeek R1 14B,RAG,Correctness,5.0,deepseek_r1_14b__rag__run_01.png
main_human_evaluation,case_60_atm_2,simple,DeepSeek R1 14B,RAG,Understandability,5.0,deepseek_r1_14b__rag__run_01.png
main_human_evaluation,case_60_atm_2,simple,DeepSeek R1 14B,RAG,Terminology alignment,5.0,deepseek_r1_14b__rag__run_01.png
main_human_evaluation,case_60_atm_2,simple,Llama 3.1 8B Instruct,Few-shot,Completeness,3.0,llama_3_1_8b_instruct__few_shot__run_01.png
main_human_evaluation,case_60_atm_2,simple,Llama 3.1 8B Instruct,Few-shot,Correctness,3.0,llama_3_1_8b_instruct__few_shot__run_01.png
main_human_evaluation,case_60_atm_2,simple,Llama 3.1 8B Instruct,Few-shot,Understandability,4.0,llama_3_1_8b_instruct__few_shot__run_01.png
main_human_evaluation,case_60_atm_2,simple,Llama 3.1 8B Instruct,Few-shot,Terminology alignment,4.0,llama_3_1_8b_instruct__few_shot__run_01.png
main_human_evaluation,case_60_atm_2,simple,Llama 3.1 8B Instruct,Few-shot,Completeness,4.0,llama_3_1_8b_instruct__few_shot__run_01.png
main_human_evaluation,case_60_atm_2,simple,Llama 3.1 8B Instruct,Few-shot,Correctness,3.0,llama_3_1_8b_instruct__few_shot__run_01.png
main_human_evaluation,case_60_atm_2,simple,Llama 3.1 8B Instruct,Few-shot,Understandability,4.0,llama_3_1_8b_instruct__few_shot__run_01.png
main_human_evaluation,case_60_atm_2,simple,Llama 3.1 8B Instruct,Few-shot,Terminology alignment,3.0,llama_3_1_8b_instruct__few_shot__run_01.png
main_human_evaluation,case_60_atm_2,simple,Qwen 2.5 7B Instruct,One-shot,Completeness,3.0,qwen_2_5_7b_instruct__one_shot__run_01.png
main_human_evaluation,case_60_atm_2,simple,Qwen 2.5 7B Instruct,One-shot,Correctness,2.0,qwen_2_5_7b_instruct__one_shot__run_01.png
main_human_evaluation,case_60_atm_2,simple,Qwen 2.5 7B Instruct,One-shot,Understandability,2.0,qwen_2_5_7b_instruct__one_shot__run_01.png
