complexity,method,model,metric,median_score,response_n,diagram_n
complex,RAG [examples only],DeepSeek R1 14B,Understandability,4.0,1,1
complex,RAG [examples only],Llama 3.1 8B Instruct,Completeness,2.0,1,1
complex,RAG [examples only],Llama 3.1 8B Instruct,Correctness,3.0,1,1
complex,RAG [examples only],Llama 3.1 8B Instruct,Terminology alignment,5.0,1,1
complex,RAG [examples only],Llama 3.1 8B Instruct,Understandability,5.0,1,1
complex,RAG [examples only],Qwen 2.5 7B Instruct,Completeness,5.0,1,1
complex,RAG [examples only],Qwen 2.5 7B Instruct,Correctness,4.0,1,1
complex,RAG [examples only],Qwen 2.5 7B Instruct,Terminology alignment,5.0,1,1
complex,RAG [examples only],Qwen 2.5 7B Instruct,Understandability,5.0,1,1
complex,RAG [rules only],Llama 3.1 8B Instruct,Completeness,3.0,1,1
complex,RAG [rules only],Llama 3.1 8B Instruct,Correctness,5.0,1,1
complex,RAG [rules only],Llama 3.1 8B Instruct,Terminology alignment,5.0,1,1
complex,RAG [rules only],Llama 3.1 8B Instruct,Understandability,5.0,1,1
complex,RAG [rules only],Qwen 2.5 7B Instruct,Completeness,2.0,1,1
complex,RAG [rules only],Qwen 2.5 7B Instruct,Correctness,3.0,1,1
complex,RAG [rules only],Qwen 2.5 7B Instruct,Terminology alignment,3.0,1,1
complex,RAG [rules only],Qwen 2.5 7B Instruct,Understandability,5.0,1,1
complex,RAG [theory only],Qwen 2.5 7B Instruct,Completeness,5.0,1,1
complex,RAG [theory only],Qwen 2.5 7B Instruct,Correctness,5.0,1,1
complex,RAG [theory only],Qwen 2.5 7B Instruct,Terminology alignment,5.0,1,1
complex,RAG [theory only],Qwen 2.5 7B Instruct,Understandability,5.0,1,1
medium,Few-shot,DeepSeek R1 14B,Completeness,3.5,2,1
medium,Few-shot,DeepSeek R1 14B,Correctness,4.0,2,1
medium,Few-shot,DeepSeek R1 14B,Terminology alignment,5.0,2,1
medium,Few-shot,DeepSeek R1 14B,Understandability,3.5,2,1
medium,Few-shot,Llama 3.1 8B Instruct,Completeness,4.0,10,1
medium,Few-shot,Llama 3.1 8B Instruct,Correctness,4.0,10,1
medium,Few-shot,Llama 3.1 8B Instruct,Terminology alignment,5.0,10,1
medium,Few-shot,Llama 3.1 8B Instruct,Understandability,5.0,10,1
medium,Few-shot,Mistral,Completeness,4.0,4,1
medium,Few-shot,Mistral,Correctness,4.0,4,1
medium,Few-shot,Mistral,Terminology alignment,4.5,4,1
medium,Few-shot,Mistral,Understandability,4.5,4,1
medium,Few-shot,Qwen 2.5 7B Instruct,Completeness,4.5,2,1
medium,Few-shot,Qwen 2.5 7B Instruct,Correctness,4.0,2,1
medium,Few-shot,Qwen 2.5 7B Instruct,Terminology alignment,5.0,2,1
medium,Few-shot,Qwen 2.5 7B Instruct,Understandability,5.0,2,1
medium,Few-shot + Repair,DeepSeek R1 14B,Completeness,4.0,21,1
medium,Few-shot + Repair,DeepSeek R1 14B,Correctness,4.0,21,1
medium,Few-shot + Repair,DeepSeek R1 14B,Terminology alignment,5.0,21,1
medium,Few-shot + Repair,DeepSeek R1 14B,Understandability,5.0,21,1
medium,Few-shot + Repair,Llama 3.1 8B Instruct,Completeness,3.5,6,1
medium,Few-shot + Repair,Llama 3.1 8B Instruct,Correctness,4.0,6,1
medium,Few-shot + Repair,Llama 3.1 8B Instruct,Terminology alignment,4.0,6,1
medium,Few-shot + Repair,Llama 3.1 8B Instruct,Understandability,4.5,6,1
medium,One-shot,DeepSeek R1 14B,Completeness,4.0,4,1
medium,One-shot,DeepSeek R1 14B,Correctness,3.0,4,1
medium,One-shot,DeepSeek R1 14B,Terminology alignment,4.5,4,1
medium,One-shot,DeepSeek R1 14B,Understandability,3.0,4,1
medium,One-shot,Llama 3.1 8B Instruct,Completeness,2.5,2,1
medium,One-shot,Llama 3.1 8B Instruct,Correctness,1.5,2,1
medium,One-shot,Llama 3.1 8B Instruct,Terminology alignment,4.0,2,1
medium,One-shot,Llama 3.1 8B Instruct,Understandability,3.5,2,1
medium,RAG,DeepSeek R1 14B,Completeness,4.0,6,1
medium,RAG,DeepSeek R1 14B,Correctness,3.5,6,1
medium,RAG,DeepSeek R1 14B,Terminology alignment,5.0,6,1
medium,RAG,DeepSeek R1 14B,Understandability,4.5,6,1
medium,RAG,Llama 3.1 8B Instruct,Completeness,2.0,4,1
medium,RAG,Llama 3.1 8B Instruct,Correctness,2.5,4,1
medium,RAG,Llama 3.1 8B Instruct,Terminology alignment,5.0,4,1
medium,RAG,Llama 3.1 8B Instruct,Understandability,3.0,4,1
medium,RAG,Mistral,Completeness,3.5,2,1
medium,RAG,Mistral,Correctness,3.0,2,1
medium,RAG,Mistral,Terminology alignment,5.0,2,1
medium,RAG,Mistral,Understandability,4.5,2,1
medium,RAG,Qwen 2.5 7B Instruct,Completeness,3.0,2,1
medium,RAG,Qwen 2.5 7B Instruct,Correctness,4.0,2,1
medium,RAG,Qwen 2.5 7B Instruct,Terminology alignment,3.5,2,1
medium,RAG,Qwen 2.5 7B Instruct,Understandability,5.0,2,1
medium,RAG + Repair,Mistral,Completeness,4.5,2,1
medium,RAG + Repair,Mistral,Correctness,4.0,2,1
medium,RAG + Repair,Mistral,Terminology alignment,4.0,2,1
medium,RAG + Repair,Mistral,Understandability,4.0,2,1
medium,RAG + Repair,Qwen 2.5 7B Instruct,Completeness,4.0,6,1
medium,RAG + Repair,Qwen 2.5 7B Instruct,Correctness,4.5,6,1
medium,RAG + Repair,Qwen 2.5 7B Instruct,Terminology alignment,4.0,6,1
medium,RAG + Repair,Qwen 2.5 7B Instruct,Understandability,5.0,6,1
medium,RAG [examples only],Llama 3.1 8B Instruct,Completeness,3.0,2,1
medium,RAG [examples only],Llama 3.1 8B Instruct,Correctness,3.5,2,1
medium,RAG [examples only],Llama 3.1 8B Instruct,Terminology alignment,3.5,2,1
medium,RAG [examples only],Llama 3.1 8B Instruct,Understandability,3.5,2,1
medium,RAG [examples only],Mistral,Completeness,5.0,1,1
medium,RAG [examples only],Mistral,Correctness,3.0,1,1
medium,RAG [examples only],Mistral,Terminology alignment,5.0,1,1
medium,RAG [examples only],Mistral,Understandability,4.0,1,1
medium,RAG [examples only],Qwen 2.5 7B Instruct,Completeness,3.5,2,1
medium,RAG [examples only],Qwen 2.5 7B Instruct,Correctness,3.5,2,1
medium,RAG [examples only],Qwen 2.5 7B Instruct,Terminology alignment,4.0,2,1
medium,RAG [examples only],Qwen 2.5 7B Instruct,Understandability,4.0,2,1
medium,RAG [rules only],DeepSeek R1 14B,Completeness,4.0,2,1
medium,RAG [rules only],DeepSeek R1 14B,Correctness,4.5,2,1
medium,RAG [rules only],DeepSeek R1 14B,Terminology alignment,4.5,2,1
medium,RAG [rules only],DeepSeek R1 14B,Understandability,4.0,2,1
medium,RAG [rules only],Llama 3.1 8B Instruct,Completeness,5.0,5,1
medium,RAG [rules only],Llama 3.1 8B Instruct,Correctness,4.0,5,1
medium,RAG [rules only],Llama 3.1 8B Instruct,Terminology alignment,5.0,5,1
medium,RAG [rules only],Llama 3.1 8B Instruct,Understandability,5.0,5,1
medium,RAG [rules only],Mistral,Completeness,2.0,1,1
medium,RAG [rules only],Mistral,Correctness,2.0,1,1
medium,RAG [rules only],Mistral,Terminology alignment,4.0,1,1
medium,RAG [rules only],Mistral,Understandability,3.0,1,1
medium,RAG [rules only],Qwen 2.5 7B Instruct,Completeness,4.5,6,1
medium,RAG [rules only],Qwen 2.5 7B Instruct,Correctness,4.5,6,1
medium,RAG [rules only],Qwen 2.5 7B Instruct,Terminology alignment,5.0,6,1
medium,RAG [rules only],Qwen 2.5 7B Instruct,Understandability,5.0,6,1
medium,RAG [theory only],Llama 3.1 8B Instruct,Completeness,5.0,1,1
medium,RAG [theory only],Llama 3.1 8B Instruct,Correctness,3.0,1,1
medium,RAG [theory only],Llama 3.1 8B Instruct,Terminology alignment,5.0,1,1
medium,RAG [theory only],Llama 3.1 8B Instruct,Understandability,5.0,1,1
simple,Few-shot,DeepSeek R1 14B,Completeness,5.0,6,1
simple,Few-shot,DeepSeek R1 14B,Correctness,4.5,6,1
simple,Few-shot,DeepSeek R1 14B,Terminology alignment,5.0,6,1
simple,Few-shot,DeepSeek R1 14B,Understandability,5.0,6,1
simple,Few-shot,Llama 3.1 8B Instruct,Completeness,3.0,6,1
simple,Few-shot,Llama 3.1 8B Instruct,Correctness,3.0,6,1
simple,Few-shot,Llama 3.1 8B Instruct,Terminology alignment,4.5,6,1
simple,Few-shot,Llama 3.1 8B Instruct,Understandability,4.0,6,1
simple,Few-shot,Qwen 2.5 7B Instruct,Completeness,4.5,2,1
simple,Few-shot,Qwen 2.5 7B Instruct,Correctness,4.5,2,1
simple,Few-shot,Qwen 2.5 7B Instruct,Terminology alignment,4.5,2,1
simple,Few-shot,Qwen 2.5 7B Instruct,Understandability,5.0,2,1
simple,Few-shot + Repair,DeepSeek R1 14B,Completeness,4.0,7,1
simple,Few-shot + Repair,DeepSeek R1 14B,Correctness,4.0,7,1
simple,Few-shot + Repair,DeepSeek R1 14B,Terminology alignment,5.0,7,1
simple,Few-shot + Repair,DeepSeek R1 14B,Understandability,5.0,7,1
simple,Few-shot + Repair,Llama 3.1 8B Instruct,Completeness,4.0,7,1
simple,Few-shot + Repair,Llama 3.1 8B Instruct,Correctness,3.0,7,1
simple,Few-shot + Repair,Llama 3.1 8B Instruct,Terminology alignment,5.0,7,1
simple,Few-shot + Repair,Llama 3.1 8B Instruct,Understandability,5.0,7,1
simple,One-shot,DeepSeek R1 14B,Completeness,4.0,2,1
simple,One-shot,DeepSeek R1 14B,Correctness,4.0,2,1
simple,One-shot,DeepSeek R1 14B,Terminology alignment,3.0,2,1
simple,One-shot,DeepSeek R1 14B,Understandability,4.0,2,1
simple,One-shot,Llama 3.1 8B Instruct,Completeness,3.5,4,1
simple,One-shot,Llama 3.1 8B Instruct,Correctness,4.0,4,1
simple,One-shot,Llama 3.1 8B Instruct,Terminology alignment,4.0,4,1
simple,One-shot,Llama 3.1 8B Instruct,Understandability,5.0,4,1
simple,One-shot,Mistral,Completeness,5.0,2,1
simple,One-shot,Mistral,Correctness,4.5,2,1
simple,One-shot,Mistral,Terminology alignment,3.5,2,1
simple,One-shot,Mistral,Understandability,4.5,2,1
simple,One-shot,Qwen 2.5 7B Instruct,Completeness,3.5,2,1
simple,One-shot,Qwen 2.5 7B Instruct,Correctness,2.5,2,1
simple,One-shot,Qwen 2.5 7B Instruct,Terminology alignment,3.0,2,1
simple,One-shot,Qwen 2.5 7B Instruct,Understandability,2.5,2,1
simple,RAG,DeepSeek R1 14B,Completeness,5.0,2,1
simple,RAG,DeepSeek R1 14B,Correctness,5.0,2,1
simple,RAG,DeepSeek R1 14B,Terminology alignment,4.5,2,1
simple,RAG,DeepSeek R1 14B,Understandability,5.0,2,1
simple,RAG,Llama 3.1 8B Instruct,Completeness,4.5,4,1
simple,RAG,Llama 3.1 8B Instruct,Correctness,3.0,4,1
simple,RAG,Llama 3.1 8B Instruct,Terminology alignment,3.0,4,1
simple,RAG,Llama 3.1 8B Instruct,Understandability,4.5,4,1
simple,RAG,Mistral,Completeness,4.5,6,1
simple,RAG,Mistral,Correctness,4.0,6,1
simple,RAG,Mistral,Terminology alignment,4.0,6,1
simple,RAG,Mistral,Understandability,5.0,6,1
simple,RAG,Qwen 2.5 7B Instruct,Completeness,3.0,4,1
simple,RAG,Qwen 2.5 7B Instruct,Correctness,2.0,4,1
simple,RAG,Qwen 2.5 7B Instruct,Terminology alignment,2.5,4,1
simple,RAG,Qwen 2.5 7B Instruct,Understandability,3.5,4,1
simple,RAG + Repair,Mistral,Completeness,5.0,3,1
simple,RAG + Repair,Mistral,Correctness,5.0,3,1
simple,RAG + Repair,Mistral,Terminology alignment,5.0,3,1
simple,RAG + Repair,Mistral,Understandability,5.0,3,1
simple,RAG + Repair,Qwen 2.5 7B Instruct,Completeness,3.0,3,1
simple,RAG + Repair,Qwen 2.5 7B Instruct,Correctness,3.0,3,1
simple,RAG + Repair,Qwen 2.5 7B Instruct,Terminology alignment,1.0,3,1
simple,RAG + Repair,Qwen 2.5 7B Instruct,Understandability,2.0,3,1
simple,RAG [examples only],DeepSeek R1 14B,Completeness,5.0,1,1
simple,RAG [examples only],DeepSeek R1 14B,Correctness,5.0,1,1
simple,RAG [examples only],DeepSeek R1 14B,Terminology alignment,5.0,1,1
simple,RAG [examples only],DeepSeek R1 14B,Understandability,5.0,1,1
simple,RAG [examples only],Llama 3.1 8B Instruct,Completeness,5.0,1,1
simple,RAG [examples only],Llama 3.1 8B Instruct,Correctness,3.0,1,1
simple,RAG [examples only],Llama 3.1 8B Instruct,Terminology alignment,5.0,1,1
simple,RAG [examples only],Llama 3.1 8B Instruct,Understandability,4.0,1,1
simple,RAG [rules only],DeepSeek R1 14B,Completeness,4.5,2,1
simple,RAG [rules only],DeepSeek R1 14B,Correctness,4.5,2,1
simple,RAG [rules only],DeepSeek R1 14B,Terminology alignment,5.0,2,1
simple,RAG [rules only],DeepSeek R1 14B,Understandability,5.0,2,1
simple,RAG [rules only],Llama 3.1 8B Instruct,Completeness,5.0,3,1
simple,RAG [rules only],Llama 3.1 8B Instruct,Correctness,4.0,3,1
simple,RAG [rules only],Llama 3.1 8B Instruct,Terminology alignment,5.0,3,1
simple,RAG [rules only],Llama 3.1 8B Instruct,Understandability,5.0,3,1
simple,RAG [rules only],Qwen 2.5 7B Instruct,Completeness,3.5,4,1
simple,RAG [rules only],Qwen 2.5 7B Instruct,Correctness,4.0,4,1
simple,RAG [rules only],Qwen 2.5 7B Instruct,Terminology alignment,5.0,4,1
simple,RAG [rules only],Qwen 2.5 7B Instruct,Understandability,5.0,4,1
