diagram_id,case_id,criterion,human_score,human_mean_score,human_rating_count,deepseek_score,llama_score,prometheus_score,generator_model,repair_strategy
diagram_200b5242b072,case_02_inventory,completeness,4,4.0000,2,5,4,5,Llama_3.1_8B,baseline_repair
diagram_200b5242b072,case_02_inventory,correctness,4,4.0000,2,5,2,3,Llama_3.1_8B,baseline_repair
diagram_200b5242b072,case_02_inventory,understandability,5,5.0000,2,5,5,4,Llama_3.1_8B,baseline_repair
diagram_200b5242b072,case_02_inventory,terminological_alignment,4,4.0000,2,5,3,4,Llama_3.1_8B,baseline_repair
diagram_9258e53efe32,case_12_business_process_outsourcing_bpo_management_system_2,completeness,5,5.0000,1,4,4,3,Qwen_2.5_7B,syntax_grounded_repair
diagram_9258e53efe32,case_12_business_process_outsourcing_bpo_management_system_2,correctness,5,5.0000,1,5,3,4,Qwen_2.5_7B,syntax_grounded_repair
diagram_9258e53efe32,case_12_business_process_outsourcing_bpo_management_system_2,understandability,5,5.0000,1,5,5,4,Qwen_2.5_7B,syntax_grounded_repair
diagram_9258e53efe32,case_12_business_process_outsourcing_bpo_management_system_2,terminological_alignment,5,5.0000,1,4,4,4,Qwen_2.5_7B,syntax_grounded_repair
diagram_a440e269b291,case_12_business_process_outsourcing_bpo_management_system_2,completeness,5,4.5000,2,3,2,3,DeepSeek_R1_14B,baseline_repair
diagram_a440e269b291,case_12_business_process_outsourcing_bpo_management_system_2,correctness,5,5.0000,2,4,1,3,DeepSeek_R1_14B,baseline_repair
diagram_a440e269b291,case_12_business_process_outsourcing_bpo_management_system_2,understandability,5,5.0000,2,3,3,4,DeepSeek_R1_14B,baseline_repair
diagram_a440e269b291,case_12_business_process_outsourcing_bpo_management_system_2,terminological_alignment,5,4.5000,2,5,1,4,DeepSeek_R1_14B,baseline_repair
diagram_ef4a6e66558e,case_12_business_process_outsourcing_bpo_management_system_2,completeness,1,1.0000,1,2,2,1,DeepSeek_R1_14B,syntax_grounded_repair
diagram_ef4a6e66558e,case_12_business_process_outsourcing_bpo_management_system_2,correctness,2,2.0000,1,3,1,1,DeepSeek_R1_14B,syntax_grounded_repair
diagram_ef4a6e66558e,case_12_business_process_outsourcing_bpo_management_system_2,understandability,3,3.0000,1,4,5,1,DeepSeek_R1_14B,syntax_grounded_repair
diagram_ef4a6e66558e,case_12_business_process_outsourcing_bpo_management_system_2,terminological_alignment,1,1.0000,1,3,2,1,DeepSeek_R1_14B,syntax_grounded_repair
diagram_f95f01ed4ead,case_12_business_process_outsourcing_bpo_management_system_2,completeness,5,4.5000,2,5,4,3,Llama_3.1_8B,few_shot
diagram_f95f01ed4ead,case_12_business_process_outsourcing_bpo_management_system_2,correctness,5,4.5000,2,5,3,4,Llama_3.1_8B,few_shot
diagram_f95f01ed4ead,case_12_business_process_outsourcing_bpo_management_system_2,understandability,5,5.0000,2,5,5,4,Llama_3.1_8B,few_shot
diagram_f95f01ed4ead,case_12_business_process_outsourcing_bpo_management_system_2,terminological_alignment,5,5.0000,2,5,4,4,Llama_3.1_8B,few_shot
diagram_d56a2126175c,case_15_e_ticketing_for_bus,completeness,3,3.0000,2,5,5,4,DeepSeek_R1_14B,baseline_repair
diagram_d56a2126175c,case_15_e_ticketing_for_bus,correctness,5,5.0000,2,5,4,5,DeepSeek_R1_14B,baseline_repair
diagram_d56a2126175c,case_15_e_ticketing_for_bus,understandability,5,5.0000,2,5,3,4,DeepSeek_R1_14B,baseline_repair
diagram_d56a2126175c,case_15_e_ticketing_for_bus,terminological_alignment,5,4.5000,2,5,5,4,DeepSeek_R1_14B,baseline_repair
diagram_2616d52bfe70,case_15_e_ticketing_for_bus,completeness,5,5.0000,1,5,5,4,DeepSeek_R1_14B,syntax_grounded_repair
diagram_2616d52bfe70,case_15_e_ticketing_for_bus,correctness,5,5.0000,1,5,4,5,DeepSeek_R1_14B,syntax_grounded_repair
diagram_2616d52bfe70,case_15_e_ticketing_for_bus,understandability,5,5.0000,1,5,3,4,DeepSeek_R1_14B,syntax_grounded_repair
diagram_2616d52bfe70,case_15_e_ticketing_for_bus,terminological_alignment,5,5.0000,1,5,5,4,DeepSeek_R1_14B,syntax_grounded_repair
diagram_42be28923308,case_16_weather_monitoring_system,completeness,4,3.5000,2,4,3,3,Qwen_2.5_7B,baseline_repair
diagram_42be28923308,case_16_weather_monitoring_system,correctness,4,4.0000,2,4,2,4,Qwen_2.5_7B,baseline_repair
diagram_42be28923308,case_16_weather_monitoring_system,understandability,3,2.5000,2,5,4,3,Qwen_2.5_7B,baseline_repair
diagram_42be28923308,case_16_weather_monitoring_system,terminological_alignment,4,4.0000,2,4,5,4,Qwen_2.5_7B,baseline_repair
diagram_c62a08ca4af3,case_16_weather_monitoring_system,completeness,4,4.0000,1,3,4,5,Mistral,syntax_grounded_repair
diagram_c62a08ca4af3,case_16_weather_monitoring_system,correctness,4,4.0000,1,3,3,4,Mistral,syntax_grounded_repair
diagram_c62a08ca4af3,case_16_weather_monitoring_system,understandability,5,5.0000,1,3,4,3,Mistral,syntax_grounded_repair
diagram_c62a08ca4af3,case_16_weather_monitoring_system,terminological_alignment,5,5.0000,1,5,5,4,Mistral,syntax_grounded_repair
diagram_ac374a6242fa,case_16_weather_monitoring_system,completeness,3,3.0000,2,1,2,,DeepSeek_R1_14B,baseline_repair
diagram_ac374a6242fa,case_16_weather_monitoring_system,correctness,4,3.5000,2,1,1,,DeepSeek_R1_14B,baseline_repair
diagram_ac374a6242fa,case_16_weather_monitoring_system,understandability,5,5.0000,2,2,5,,DeepSeek_R1_14B,baseline_repair
diagram_ac374a6242fa,case_16_weather_monitoring_system,terminological_alignment,4,4.0000,2,4,2,,DeepSeek_R1_14B,baseline_repair
diagram_946fec4cb2ad,case_16_weather_monitoring_system,completeness,1,1.0000,1,1,2,1,DeepSeek_R1_14B,syntax_grounded_repair
diagram_946fec4cb2ad,case_16_weather_monitoring_system,correctness,1,1.0000,1,1,1,1,DeepSeek_R1_14B,syntax_grounded_repair
diagram_946fec4cb2ad,case_16_weather_monitoring_system,understandability,1,1.0000,1,2,5,1,DeepSeek_R1_14B,syntax_grounded_repair
diagram_946fec4cb2ad,case_16_weather_monitoring_system,terminological_alignment,1,1.0000,1,1,2,1,DeepSeek_R1_14B,syntax_grounded_repair
diagram_c43a61a7d361,case_18_digidoclocker,completeness,4,3.5000,2,5,4,,DeepSeek_R1_14B,few_shot
diagram_c43a61a7d361,case_18_digidoclocker,correctness,4,4.0000,2,5,3,,DeepSeek_R1_14B,few_shot
diagram_c43a61a7d361,case_18_digidoclocker,understandability,4,3.5000,2,5,4,,DeepSeek_R1_14B,few_shot
diagram_c43a61a7d361,case_18_digidoclocker,terminological_alignment,5,5.0000,2,5,2,,DeepSeek_R1_14B,few_shot
diagram_5dd2b56768b6,case_18_digidoclocker,completeness,4,4.0000,2,5,4,,Llama_3.1_8B,baseline_repair
diagram_5dd2b56768b6,case_18_digidoclocker,correctness,4,4.0000,2,5,3,,Llama_3.1_8B,baseline_repair
diagram_5dd2b56768b6,case_18_digidoclocker,understandability,4,4.0000,2,5,4,,Llama_3.1_8B,baseline_repair
diagram_5dd2b56768b6,case_18_digidoclocker,terminological_alignment,5,4.5000,2,5,5,,Llama_3.1_8B,baseline_repair
diagram_fe08fb11dae6,case_18_digidoclocker,completeness,4,4.0000,2,5,5,5,Llama_3.1_8B,syntax_grounded_repair
diagram_fe08fb11dae6,case_18_digidoclocker,correctness,4,4.0000,2,5,4,4,Llama_3.1_8B,syntax_grounded_repair
diagram_fe08fb11dae6,case_18_digidoclocker,understandability,4,4.0000,2,5,5,4,Llama_3.1_8B,syntax_grounded_repair
diagram_fe08fb11dae6,case_18_digidoclocker,terminological_alignment,5,4.5000,2,5,4,4,Llama_3.1_8B,syntax_grounded_repair
diagram_fef7064ce913,case_28_ott_based_system_mini_reel,completeness,3,3.0000,2,4,4,4,DeepSeek_R1_14B,baseline_repair
diagram_fef7064ce913,case_28_ott_based_system_mini_reel,correctness,4,4.0000,2,5,3,4,DeepSeek_R1_14B,baseline_repair
diagram_fef7064ce913,case_28_ott_based_system_mini_reel,understandability,5,5.0000,2,3,5,4,DeepSeek_R1_14B,baseline_repair
diagram_fef7064ce913,case_28_ott_based_system_mini_reel,terminological_alignment,5,4.5000,2,4,4,4,DeepSeek_R1_14B,baseline_repair
diagram_5c657605103c,case_28_ott_based_system_mini_reel,completeness,5,5.0000,1,5,4,3,DeepSeek_R1_14B,syntax_grounded_repair
diagram_5c657605103c,case_28_ott_based_system_mini_reel,correctness,4,4.0000,1,5,3,4,DeepSeek_R1_14B,syntax_grounded_repair
diagram_5c657605103c,case_28_ott_based_system_mini_reel,understandability,5,5.0000,1,5,5,4,DeepSeek_R1_14B,syntax_grounded_repair
diagram_5c657605103c,case_28_ott_based_system_mini_reel,terminological_alignment,5,5.0000,1,5,4,4,DeepSeek_R1_14B,syntax_grounded_repair
diagram_1c2d497b29c0,case_28_ott_based_system_mini_reel,completeness,5,5.0000,1,5,5,5,Llama_3.1_8B,syntax_grounded_repair
diagram_1c2d497b29c0,case_28_ott_based_system_mini_reel,correctness,3,3.0000,1,5,4,5,Llama_3.1_8B,syntax_grounded_repair
diagram_1c2d497b29c0,case_28_ott_based_system_mini_reel,understandability,3,3.0000,1,5,3,2,Llama_3.1_8B,syntax_grounded_repair
diagram_1c2d497b29c0,case_28_ott_based_system_mini_reel,terminological_alignment,4,4.0000,1,5,5,4,Llama_3.1_8B,syntax_grounded_repair
diagram_1e3135bfa1a2,case_32_e_visa_processing_and_follow_up_system,completeness,3,3.0000,2,3,4,3,Mistral,baseline_repair
diagram_1e3135bfa1a2,case_32_e_visa_processing_and_follow_up_system,correctness,3,2.5000,2,3,2,4,Mistral,baseline_repair
diagram_1e3135bfa1a2,case_32_e_visa_processing_and_follow_up_system,understandability,5,4.5000,2,4,5,3,Mistral,baseline_repair
diagram_1e3135bfa1a2,case_32_e_visa_processing_and_follow_up_system,terminological_alignment,5,4.5000,2,4,4,4,Mistral,baseline_repair
diagram_35f29d0a416e,case_32_e_visa_processing_and_follow_up_system,completeness,4,4.0000,1,3,4,3,Mistral,syntax_grounded_repair
diagram_35f29d0a416e,case_32_e_visa_processing_and_follow_up_system,correctness,4,4.0000,1,4,2,4,Mistral,syntax_grounded_repair
diagram_35f29d0a416e,case_32_e_visa_processing_and_follow_up_system,understandability,5,5.0000,1,5,5,3,Mistral,syntax_grounded_repair
diagram_35f29d0a416e,case_32_e_visa_processing_and_follow_up_system,terminological_alignment,5,5.0000,1,5,4,4,Mistral,syntax_grounded_repair
diagram_86393c03a20a,case_32_e_visa_processing_and_follow_up_system,completeness,1,1.0000,2,1,1,1,DeepSeek_R1_14B,baseline_repair
diagram_86393c03a20a,case_32_e_visa_processing_and_follow_up_system,correctness,1,1.0000,2,1,1,1,DeepSeek_R1_14B,baseline_repair
diagram_86393c03a20a,case_32_e_visa_processing_and_follow_up_system,understandability,1,1.0000,2,2,5,1,DeepSeek_R1_14B,baseline_repair
diagram_86393c03a20a,case_32_e_visa_processing_and_follow_up_system,terminological_alignment,1,1.0000,2,1,1,1,DeepSeek_R1_14B,baseline_repair
diagram_6c6606dca036,case_32_e_visa_processing_and_follow_up_system,completeness,4,4.0000,1,4,4,,DeepSeek_R1_14B,syntax_grounded_repair
diagram_6c6606dca036,case_32_e_visa_processing_and_follow_up_system,correctness,5,5.0000,1,5,2,,DeepSeek_R1_14B,syntax_grounded_repair
diagram_6c6606dca036,case_32_e_visa_processing_and_follow_up_system,understandability,5,5.0000,1,4,3,,DeepSeek_R1_14B,syntax_grounded_repair
diagram_6c6606dca036,case_32_e_visa_processing_and_follow_up_system,terminological_alignment,5,5.0000,1,5,5,,DeepSeek_R1_14B,syntax_grounded_repair
diagram_1f5ec08950c6,case_33_farm_management_system,completeness,3,3.0000,2,5,4,4,Mistral,baseline_repair
diagram_1f5ec08950c6,case_33_farm_management_system,correctness,4,4.0000,2,5,3,5,Mistral,baseline_repair
diagram_1f5ec08950c6,case_33_farm_management_system,understandability,3,3.0000,2,5,5,3,Mistral,baseline_repair
diagram_1f5ec08950c6,case_33_farm_management_system,terminological_alignment,5,5.0000,2,5,4,4,Mistral,baseline_repair
diagram_1a821b57b6dd,case_33_farm_management_system,completeness,3,3.0000,2,4,4,4,DeepSeek_R1_14B,few_shot
diagram_1a821b57b6dd,case_33_farm_management_system,correctness,3,3.0000,2,4,2,5,DeepSeek_R1_14B,few_shot
diagram_1a821b57b6dd,case_33_farm_management_system,understandability,5,4.5000,2,5,5,4,DeepSeek_R1_14B,few_shot
diagram_1a821b57b6dd,case_33_farm_management_system,terminological_alignment,5,4.5000,2,5,4,4,DeepSeek_R1_14B,few_shot
diagram_2fcc1f4afac3,case_33_farm_management_system,completeness,4,4.0000,1,3,5,5,Llama_3.1_8B,syntax_grounded_repair
diagram_2fcc1f4afac3,case_33_farm_management_system,correctness,4,4.0000,1,4,4,4,Llama_3.1_8B,syntax_grounded_repair
diagram_2fcc1f4afac3,case_33_farm_management_system,understandability,4,4.0000,1,4,5,4,Llama_3.1_8B,syntax_grounded_repair
diagram_2fcc1f4afac3,case_33_farm_management_system,terminological_alignment,5,5.0000,1,5,4,4,Llama_3.1_8B,syntax_grounded_repair
diagram_ce15aff5a8c7,case_34_green_rides,completeness,5,5.0000,1,5,4,5,Qwen_2.5_7B,syntax_grounded_repair
diagram_ce15aff5a8c7,case_34_green_rides,correctness,5,5.0000,1,5,3,4,Qwen_2.5_7B,syntax_grounded_repair
diagram_ce15aff5a8c7,case_34_green_rides,understandability,5,5.0000,1,4,4,4,Qwen_2.5_7B,syntax_grounded_repair
diagram_ce15aff5a8c7,case_34_green_rides,terminological_alignment,5,5.0000,1,5,5,5,Qwen_2.5_7B,syntax_grounded_repair
diagram_2e4a283d528c,case_34_green_rides,completeness,4,4.0000,2,4,5,5,DeepSeek_R1_14B,baseline_repair
diagram_2e4a283d528c,case_34_green_rides,correctness,5,4.5000,2,5,2,4,DeepSeek_R1_14B,baseline_repair
diagram_2e4a283d528c,case_34_green_rides,understandability,5,4.5000,2,4,4,4,DeepSeek_R1_14B,baseline_repair
diagram_2e4a283d528c,case_34_green_rides,terminological_alignment,5,5.0000,2,5,5,4,DeepSeek_R1_14B,baseline_repair
diagram_7b2f287f36e2,case_34_green_rides,completeness,5,5.0000,1,5,5,4,DeepSeek_R1_14B,syntax_grounded_repair
diagram_7b2f287f36e2,case_34_green_rides,correctness,4,4.0000,1,5,2,4,DeepSeek_R1_14B,syntax_grounded_repair
diagram_7b2f287f36e2,case_34_green_rides,understandability,4,4.0000,1,5,4,3,DeepSeek_R1_14B,syntax_grounded_repair
diagram_7b2f287f36e2,case_34_green_rides,terminological_alignment,5,5.0000,1,5,5,4,DeepSeek_R1_14B,syntax_grounded_repair
diagram_8c644d6dc059,case_34_green_rides,completeness,5,4.5000,2,5,4,4,Llama_3.1_8B,few_shot
diagram_8c644d6dc059,case_34_green_rides,correctness,5,4.5000,2,5,3,4,Llama_3.1_8B,few_shot
diagram_8c644d6dc059,case_34_green_rides,understandability,5,5.0000,2,5,5,4,Llama_3.1_8B,few_shot
diagram_8c644d6dc059,case_34_green_rides,terminological_alignment,5,5.0000,2,5,4,4,Llama_3.1_8B,few_shot
diagram_49b96a09314d,case_37_online_quiz_system,completeness,4,4.0000,2,5,4,,Qwen_2.5_7B,baseline_repair
diagram_49b96a09314d,case_37_online_quiz_system,correctness,4,4.0000,2,5,2,,Qwen_2.5_7B,baseline_repair
diagram_49b96a09314d,case_37_online_quiz_system,understandability,3,3.0000,2,5,5,,Qwen_2.5_7B,baseline_repair
diagram_49b96a09314d,case_37_online_quiz_system,terminological_alignment,5,5.0000,2,5,4,,Qwen_2.5_7B,baseline_repair
diagram_e6ca7f1630a5,case_37_online_quiz_system,completeness,4,4.0000,1,4,4,3,Qwen_2.5_7B,syntax_grounded_repair
diagram_e6ca7f1630a5,case_37_online_quiz_system,correctness,4,4.0000,1,4,3,4,Qwen_2.5_7B,syntax_grounded_repair
diagram_e6ca7f1630a5,case_37_online_quiz_system,understandability,4,4.0000,1,3,5,4,Qwen_2.5_7B,syntax_grounded_repair
diagram_e6ca7f1630a5,case_37_online_quiz_system,terminological_alignment,4,4.0000,1,5,4,4,Qwen_2.5_7B,syntax_grounded_repair
diagram_28357a6315c4,case_37_online_quiz_system,completeness,5,4.5000,2,5,4,5,DeepSeek_R1_14B,baseline_repair
diagram_28357a6315c4,case_37_online_quiz_system,correctness,5,4.5000,2,5,3,4,DeepSeek_R1_14B,baseline_repair
diagram_28357a6315c4,case_37_online_quiz_system,understandability,2,2.0000,2,5,5,4,DeepSeek_R1_14B,baseline_repair
diagram_28357a6315c4,case_37_online_quiz_system,terminological_alignment,5,5.0000,2,5,4,4,DeepSeek_R1_14B,baseline_repair
diagram_b0dfeb271439,case_37_online_quiz_system,completeness,5,5.0000,1,5,4,5,DeepSeek_R1_14B,syntax_grounded_repair
diagram_b0dfeb271439,case_37_online_quiz_system,correctness,5,5.0000,1,5,3,4,DeepSeek_R1_14B,syntax_grounded_repair
diagram_b0dfeb271439,case_37_online_quiz_system,understandability,4,4.0000,1,5,2,4,DeepSeek_R1_14B,syntax_grounded_repair
diagram_b0dfeb271439,case_37_online_quiz_system,terminological_alignment,5,5.0000,1,5,5,4,DeepSeek_R1_14B,syntax_grounded_repair
diagram_e9c6a8fa9dd0,case_39_website_development,completeness,5,5.0000,1,5,4,4,Qwen_2.5_7B,syntax_grounded_repair
diagram_e9c6a8fa9dd0,case_39_website_development,correctness,5,5.0000,1,5,3,4,Qwen_2.5_7B,syntax_grounded_repair
diagram_e9c6a8fa9dd0,case_39_website_development,understandability,5,5.0000,1,5,4,4,Qwen_2.5_7B,syntax_grounded_repair
diagram_e9c6a8fa9dd0,case_39_website_development,terminological_alignment,5,5.0000,1,5,5,4,Qwen_2.5_7B,syntax_grounded_repair
diagram_1b1b9b3fc6a3,case_39_website_development,completeness,4,4.0000,1,5,4,5,Mistral,syntax_grounded_repair
diagram_1b1b9b3fc6a3,case_39_website_development,correctness,4,4.0000,1,5,3,3,Mistral,syntax_grounded_repair
diagram_1b1b9b3fc6a3,case_39_website_development,understandability,4,4.0000,1,5,5,3,Mistral,syntax_grounded_repair
diagram_1b1b9b3fc6a3,case_39_website_development,terminological_alignment,4,4.0000,1,5,4,4,Mistral,syntax_grounded_repair
diagram_12ca9187a47c,case_39_website_development,completeness,4,4.0000,2,4,4,3,DeepSeek_R1_14B,baseline_repair
diagram_12ca9187a47c,case_39_website_development,correctness,5,4.5000,2,5,3,3,DeepSeek_R1_14B,baseline_repair
diagram_12ca9187a47c,case_39_website_development,understandability,5,4.5000,2,5,2,3,DeepSeek_R1_14B,baseline_repair
diagram_12ca9187a47c,case_39_website_development,terminological_alignment,5,4.5000,2,5,5,4,DeepSeek_R1_14B,baseline_repair
diagram_847b6f70f84d,case_39_website_development,completeness,5,5.0000,1,4,4,4,DeepSeek_R1_14B,syntax_grounded_repair
diagram_847b6f70f84d,case_39_website_development,correctness,5,5.0000,1,4,3,4,DeepSeek_R1_14B,syntax_grounded_repair
diagram_847b6f70f84d,case_39_website_development,understandability,5,5.0000,1,3,2,3,DeepSeek_R1_14B,syntax_grounded_repair
diagram_847b6f70f84d,case_39_website_development,terminological_alignment,5,5.0000,1,4,5,4,DeepSeek_R1_14B,syntax_grounded_repair
diagram_c43c5b615ff6,case_39_website_development,completeness,2,2.0000,2,5,4,4,Llama_3.1_8B,few_shot
diagram_c43c5b615ff6,case_39_website_development,correctness,3,3.0000,2,5,2,4,Llama_3.1_8B,few_shot
diagram_c43c5b615ff6,case_39_website_development,understandability,5,4.5000,2,5,5,4,Llama_3.1_8B,few_shot
diagram_c43c5b615ff6,case_39_website_development,terminological_alignment,5,5.0000,2,5,4,4,Llama_3.1_8B,few_shot
diagram_53e984131ff8,case_41_video_suggestion_system,completeness,3,3.0000,2,3,4,,Qwen_2.5_7B,rag
diagram_53e984131ff8,case_41_video_suggestion_system,correctness,4,4.0000,2,4,2,,Qwen_2.5_7B,rag
diagram_53e984131ff8,case_41_video_suggestion_system,understandability,5,5.0000,2,5,5,,Qwen_2.5_7B,rag
diagram_53e984131ff8,case_41_video_suggestion_system,terminological_alignment,4,3.5000,2,3,4,,Qwen_2.5_7B,rag
diagram_bee08a589cd1,case_41_video_suggestion_system,completeness,4,3.5000,2,5,2,3,Mistral,rag
diagram_bee08a589cd1,case_41_video_suggestion_system,correctness,3,3.0000,2,5,1,5,Mistral,rag
diagram_bee08a589cd1,case_41_video_suggestion_system,understandability,5,4.5000,2,5,5,4,Mistral,rag
diagram_bee08a589cd1,case_41_video_suggestion_system,terminological_alignment,5,5.0000,2,5,2,4,Mistral,rag
diagram_0c68eaef4a08,case_41_video_suggestion_system,completeness,4,4.0000,2,5,4,5,Llama_3.1_8B,baseline_repair
diagram_0c68eaef4a08,case_41_video_suggestion_system,correctness,5,4.5000,2,5,2,4,Llama_3.1_8B,baseline_repair
diagram_0c68eaef4a08,case_41_video_suggestion_system,understandability,5,4.5000,2,5,5,3,Llama_3.1_8B,baseline_repair
diagram_0c68eaef4a08,case_41_video_suggestion_system,terminological_alignment,4,4.0000,2,5,4,4,Llama_3.1_8B,baseline_repair
diagram_9b0c5621be56,case_41_video_suggestion_system,completeness,5,5.0000,1,5,4,5,Llama_3.1_8B,syntax_grounded_repair
diagram_9b0c5621be56,case_41_video_suggestion_system,correctness,5,5.0000,1,5,2,4,Llama_3.1_8B,syntax_grounded_repair
diagram_9b0c5621be56,case_41_video_suggestion_system,understandability,4,4.0000,1,4,5,4,Llama_3.1_8B,syntax_grounded_repair
diagram_9b0c5621be56,case_41_video_suggestion_system,terminological_alignment,4,4.0000,1,3,4,5,Llama_3.1_8B,syntax_grounded_repair
diagram_b13b0737abe9,case_45_alarm_clock,completeness,3,3.0000,2,5,3,3,DeepSeek_R1_14B,baseline_repair
diagram_b13b0737abe9,case_45_alarm_clock,correctness,3,3.0000,2,5,2,3,DeepSeek_R1_14B,baseline_repair
diagram_b13b0737abe9,case_45_alarm_clock,understandability,4,3.5000,2,5,4,3,DeepSeek_R1_14B,baseline_repair
diagram_b13b0737abe9,case_45_alarm_clock,terminological_alignment,5,5.0000,2,5,5,4,DeepSeek_R1_14B,baseline_repair
diagram_f4698a240aba,case_45_alarm_clock,completeness,5,4.5000,2,3,4,4,Llama_3.1_8B,baseline_repair
diagram_f4698a240aba,case_45_alarm_clock,correctness,4,4.0000,2,3,2,4,Llama_3.1_8B,baseline_repair
diagram_f4698a240aba,case_45_alarm_clock,understandability,5,5.0000,2,4,5,5,Llama_3.1_8B,baseline_repair
diagram_f4698a240aba,case_45_alarm_clock,terminological_alignment,5,5.0000,2,5,4,4,Llama_3.1_8B,baseline_repair
diagram_584115cefc97,case_45_alarm_clock,completeness,4,4.0000,1,4,4,4,Llama_3.1_8B,syntax_grounded_repair
diagram_584115cefc97,case_45_alarm_clock,correctness,4,4.0000,1,3,2,4,Llama_3.1_8B,syntax_grounded_repair
diagram_584115cefc97,case_45_alarm_clock,understandability,5,5.0000,1,5,4,5,Llama_3.1_8B,syntax_grounded_repair
diagram_584115cefc97,case_45_alarm_clock,terminological_alignment,5,5.0000,1,5,3,4,Llama_3.1_8B,syntax_grounded_repair
diagram_6f538ea0047b,case_46_digital_watch,completeness,4,4.0000,2,5,4,3,Qwen_2.5_7B,baseline_repair
diagram_6f538ea0047b,case_46_digital_watch,correctness,4,4.0000,2,5,2,4,Qwen_2.5_7B,baseline_repair
diagram_6f538ea0047b,case_46_digital_watch,understandability,5,5.0000,2,5,3,4,Qwen_2.5_7B,baseline_repair
diagram_6f538ea0047b,case_46_digital_watch,terminological_alignment,5,4.5000,2,5,5,4,Qwen_2.5_7B,baseline_repair
diagram_5d3d7dd2a7e1,case_46_digital_watch,completeness,5,5.0000,1,5,4,4,Qwen_2.5_7B,syntax_grounded_repair
diagram_5d3d7dd2a7e1,case_46_digital_watch,correctness,5,5.0000,1,5,3,4,Qwen_2.5_7B,syntax_grounded_repair
diagram_5d3d7dd2a7e1,case_46_digital_watch,understandability,5,5.0000,1,5,5,3,Qwen_2.5_7B,syntax_grounded_repair
diagram_5d3d7dd2a7e1,case_46_digital_watch,terminological_alignment,5,5.0000,1,5,4,4,Qwen_2.5_7B,syntax_grounded_repair
diagram_b31e205102f3,case_46_digital_watch,completeness,4,4.0000,2,5,5,3,DeepSeek_R1_14B,baseline_repair
diagram_b31e205102f3,case_46_digital_watch,correctness,4,3.5000,2,5,4,3,DeepSeek_R1_14B,baseline_repair
