model,case_id,repair_method,initial_issues,final_issues,solved_issues,new_issues,syntax_valid,structural_valid
Qwen 2.5 7B,case_33_farm_management_system,syntax_grounded,multiple_initial_transitions,multiple_initial_transitions,,,True,False
Qwen 2.5 7B,case_34_green_rides,baseline,choice_without_guards,choice_without_guards,,,True,False
Qwen 2.5 7B,case_34_green_rides,syntax_grounded,choice_without_guards,,choice_without_guards,,True,True
Qwen 2.5 7B,case_37_online_quiz_system,baseline,missing_final_transition,,missing_final_transition,,True,True
Qwen 2.5 7B,case_37_online_quiz_system,syntax_grounded,missing_final_transition,,missing_final_transition,,True,True
Qwen 2.5 7B,case_39_website_development,baseline,duplicate_transitions;multiple_initial_transitions;orphan_states,multiple_initial_transitions;orphan_states;plantuml_syntax_error,duplicate_transitions,plantuml_syntax_error,False,False
Qwen 2.5 7B,case_39_website_development,syntax_grounded,duplicate_transitions;multiple_initial_transitions;orphan_states,,duplicate_transitions;multiple_initial_transitions;orphan_states,,True,True
Qwen 2.5 7B,case_41_video_suggestion_system,baseline,,,,,True,True
Qwen 2.5 7B,case_41_video_suggestion_system,syntax_grounded,,,,,True,True
Qwen 2.5 7B,case_45_alarm_clock,baseline,duplicate_transitions;missing_final_transition;multiple_initial_transitions,multiple_initial_transitions,duplicate_transitions;missing_final_transition,,True,False
Qwen 2.5 7B,case_45_alarm_clock,syntax_grounded,duplicate_transitions;missing_final_transition;multiple_initial_transitions,duplicate_transitions,missing_final_transition;multiple_initial_transitions,,True,False
Qwen 2.5 7B,case_46_digital_watch,baseline,missing_final_transition;unreachable_states,,missing_final_transition;unreachable_states,,True,True
Qwen 2.5 7B,case_46_digital_watch,syntax_grounded,missing_final_transition;unreachable_states,,missing_final_transition;unreachable_states,,True,True
Qwen 2.5 7B,case_47_safehome_security_function,baseline,multiple_initial_transitions,multiple_initial_transitions,,,True,False
Qwen 2.5 7B,case_47_safehome_security_function,syntax_grounded,multiple_initial_transitions,,multiple_initial_transitions,,True,True
Qwen 2.5 7B,case_51_process_sale,baseline,missing_final_transition;unreachable_states,unreachable_states,missing_final_transition,,True,False
Qwen 2.5 7B,case_51_process_sale,syntax_grounded,missing_final_transition;unreachable_states,unreachable_states,missing_final_transition,,True,False
Qwen 2.5 7B,case_52_microwave_oven,baseline,duplicate_transitions;missing_final_transition;multiple_initial_transitions,duplicate_transitions;missing_final_transition;multiple_initial_transitions,,,True,False
Qwen 2.5 7B,case_52_microwave_oven,syntax_grounded,duplicate_transitions;missing_final_transition;multiple_initial_transitions,duplicate_transitions;missing_final_transition;multiple_initial_transitions,,,True,False
Qwen 2.5 7B,case_54_weather_station_system,baseline,multiple_initial_transitions,multiple_initial_transitions,,,True,False
Qwen 2.5 7B,case_54_weather_station_system,syntax_grounded,multiple_initial_transitions,multiple_initial_transitions,,,True,False
Qwen 2.5 7B,case_59_atm_1,baseline,missing_final_transition,,missing_final_transition,,True,True
Qwen 2.5 7B,case_59_atm_1,syntax_grounded,missing_final_transition,,missing_final_transition,,True,True
Qwen 2.5 7B,case_60_atm_2,baseline,unreachable_states,unreachable_states,,,True,False
Qwen 2.5 7B,case_60_atm_2,syntax_grounded,unreachable_states,unreachable_states,,,True,False
Qwen 2.5 7B,case_65_plane,baseline,,,,,True,True
Qwen 2.5 7B,case_65_plane,syntax_grounded,,,,,True,True
Qwen 2.5 7B,case_67_atm_many_scenarios_1,baseline,missing_final_transition,,missing_final_transition,,True,True
Qwen 2.5 7B,case_67_atm_many_scenarios_1,syntax_grounded,missing_final_transition,,missing_final_transition,,True,True
Qwen 2.5 7B,case_70_atm_many_scenarios_7,baseline,missing_final_transition,,missing_final_transition,,True,True
Qwen 2.5 7B,case_70_atm_many_scenarios_7,syntax_grounded,missing_final_transition,,missing_final_transition,,True,True
Qwen 2.5 7B,case_75_graderate,baseline,,,,,True,True
Qwen 2.5 7B,case_75_graderate,syntax_grounded,,,,,True,True
Qwen 2.5 7B,case_78_class_campaign_version_2,baseline,,,,,True,True
Qwen 2.5 7B,case_78_class_campaign_version_2,syntax_grounded,,,,,True,True
Qwen 2.5 7B,case_80_staff_member_class,baseline,multiple_initial_transitions,multiple_initial_transitions,,,True,False
Qwen 2.5 7B,case_80_staff_member_class,syntax_grounded,multiple_initial_transitions,multiple_initial_transitions,,,True,False
Mistral,case_01_healthcare_portal,baseline,choice_without_outgoing_paths;missing_final_transition;orphan_states;unreachable_states,orphan_states;unreachable_states,choice_without_outgoing_paths;missing_final_transition,,True,False
Mistral,case_01_healthcare_portal,syntax_grounded,choice_without_outgoing_paths;missing_final_transition;orphan_states;unreachable_states,choice_without_outgoing_paths;unreachable_states,missing_final_transition;orphan_states,,True,False
Mistral,case_02_inventory,baseline,plantuml_syntax_error,plantuml_syntax_error,,,False,False
Mistral,case_02_inventory,syntax_grounded,plantuml_syntax_error,plantuml_syntax_error,,,False,False
Mistral,case_12_business_process_outsourcing_bpo_management_system_2,baseline,choice_without_outgoing_paths;multiple_initial_transitions;orphan_states,multiple_initial_transitions;orphan_states,choice_without_outgoing_paths,,True,False
Mistral,case_12_business_process_outsourcing_bpo_management_system_2,syntax_grounded,choice_without_outgoing_paths;multiple_initial_transitions;orphan_states,multiple_initial_transitions,choice_without_outgoing_paths;orphan_states,,True,False
Mistral,case_15_e_ticketing_for_bus,baseline,multiple_initial_transitions,multiple_initial_transitions,,,True,False
Mistral,case_15_e_ticketing_for_bus,syntax_grounded,multiple_initial_transitions,multiple_initial_transitions,,,True,False
Mistral,case_16_weather_monitoring_system,baseline,choice_without_guards;orphan_states;plantuml_syntax_error;unreachable_states,choice_without_guards;orphan_states;plantuml_syntax_error;unreachable_states,,,False,False
Mistral,case_16_weather_monitoring_system,syntax_grounded,choice_without_guards;orphan_states;plantuml_syntax_error;unreachable_states,,choice_without_guards;orphan_states;plantuml_syntax_error;unreachable_states,,True,True
Mistral,case_18_digidoclocker,baseline,multiple_initial_transitions;orphan_states,multiple_initial_transitions;orphan_states,,,True,False
Mistral,case_18_digidoclocker,syntax_grounded,multiple_initial_transitions;orphan_states,multiple_initial_transitions,orphan_states,,True,False
Mistral,case_28_ott_based_system_mini_reel,baseline,choice_without_guards;choice_without_outgoing_paths;plantuml_syntax_error,choice_without_guards;choice_without_outgoing_paths;plantuml_syntax_error,,,False,False
Mistral,case_28_ott_based_system_mini_reel,syntax_grounded,choice_without_guards;choice_without_outgoing_paths;plantuml_syntax_error,choice_without_guards;choice_without_outgoing_paths;plantuml_syntax_error,,,False,False
Mistral,case_32_e_visa_processing_and_follow_up_system,baseline,multiple_initial_transitions,,multiple_initial_transitions,,True,True
Mistral,case_32_e_visa_processing_and_follow_up_system,syntax_grounded,multiple_initial_transitions,,multiple_initial_transitions,,True,True
Mistral,case_33_farm_management_system,baseline,multiple_initial_transitions,,multiple_initial_transitions,,True,True
Mistral,case_33_farm_management_system,syntax_grounded,multiple_initial_transitions,plantuml_syntax_error,multiple_initial_transitions,plantuml_syntax_error,False,False
Mistral,case_34_green_rides,baseline,missing_final_transition;missing_initial_transition;orphan_states;plantuml_syntax_error,missing_final_transition;multiple_initial_transitions;plantuml_syntax_error,missing_initial_transition;orphan_states,multiple_initial_transitions,False,False
Mistral,case_34_green_rides,syntax_grounded,missing_final_transition;missing_initial_transition;orphan_states;plantuml_syntax_error,missing_final_transition;missing_initial_transition;plantuml_syntax_error,orphan_states,,False,False
Mistral,case_37_online_quiz_system,baseline,choice_without_guards;choice_without_outgoing_paths;duplicate_transitions;multiple_initial_transitions,multiple_initial_transitions,choice_without_guards;choice_without_outgoing_paths;duplicate_transitions,,True,False
Mistral,case_37_online_quiz_system,syntax_grounded,choice_without_guards;choice_without_outgoing_paths;duplicate_transitions;multiple_initial_transitions,choice_without_outgoing_paths;multiple_initial_transitions,choice_without_guards;duplicate_transitions,,True,False
Mistral,case_39_website_development,baseline,missing_final_transition;missing_initial_transition;orphan_states,missing_final_transition;missing_initial_transition,orphan_states,,True,False
Mistral,case_39_website_development,syntax_grounded,missing_final_transition;missing_initial_transition;orphan_states,,missing_final_transition;missing_initial_transition;orphan_states,,True,True
Mistral,case_41_video_suggestion_system,baseline,,,,,True,True
Mistral,case_41_video_suggestion_system,syntax_grounded,,,,,True,True
Mistral,case_45_alarm_clock,baseline,missing_final_transition;multiple_initial_transitions,missing_final_transition;multiple_initial_transitions,,,True,False
Mistral,case_45_alarm_clock,syntax_grounded,missing_final_transition;multiple_initial_transitions,missing_final_transition;multiple_initial_transitions,,,True,False
Mistral,case_46_digital_watch,baseline,missing_final_transition;missing_initial_transition;plantuml_syntax_error,missing_final_transition;missing_initial_transition;plantuml_syntax_error,,,False,False
Mistral,case_46_digital_watch,syntax_grounded,missing_final_transition;missing_initial_transition;plantuml_syntax_error,multiple_initial_transitions;plantuml_syntax_error,missing_final_transition;missing_initial_transition,multiple_initial_transitions,False,False
Mistral,case_47_safehome_security_function,baseline,unreachable_states,unreachable_states,,,True,False
Mistral,case_47_safehome_security_function,syntax_grounded,unreachable_states,unreachable_states,,,True,False
Mistral,case_51_process_sale,baseline,,,,,True,True
Mistral,case_51_process_sale,syntax_grounded,,,,,True,True
Mistral,case_52_microwave_oven,baseline,missing_final_transition;multiple_initial_transitions,missing_final_transition;multiple_initial_transitions,,,True,False
Mistral,case_52_microwave_oven,syntax_grounded,missing_final_transition;multiple_initial_transitions,missing_final_transition;multiple_initial_transitions,,,True,False
Mistral,case_54_weather_station_system,baseline,multiple_initial_transitions;orphan_states,multiple_initial_transitions;orphan_states,,,True,False
Mistral,case_54_weather_station_system,syntax_grounded,multiple_initial_transitions;orphan_states,multiple_initial_transitions,orphan_states,,True,False
Mistral,case_59_atm_1,baseline,missing_final_transition;missing_initial_transition;plantuml_syntax_error,missing_final_transition;missing_initial_transition;plantuml_syntax_error,,,False,False
Mistral,case_59_atm_1,syntax_grounded,missing_final_transition;missing_initial_transition;plantuml_syntax_error,missing_final_transition;missing_initial_transition;plantuml_syntax_error,,,False,False
Mistral,case_60_atm_2,baseline,,,,,True,True
Mistral,case_60_atm_2,syntax_grounded,,,,,True,True
Mistral,case_65_plane,baseline,missing_final_transition,,missing_final_transition,,True,True
Mistral,case_65_plane,syntax_grounded,missing_final_transition,,missing_final_transition,,True,True
Mistral,case_67_atm_many_scenarios_1,baseline,missing_final_transition,missing_final_transition,,,True,False
Mistral,case_67_atm_many_scenarios_1,syntax_grounded,missing_final_transition,missing_final_transition,,,True,False
Mistral,case_70_atm_many_scenarios_7,baseline,missing_final_transition,missing_final_transition,,,True,False
Mistral,case_70_atm_many_scenarios_7,syntax_grounded,missing_final_transition,missing_final_transition,,,True,False
Mistral,case_75_graderate,baseline,,,,,True,True
Mistral,case_75_graderate,syntax_grounded,,,,,True,True
Mistral,case_78_class_campaign_version_2,baseline,multiple_initial_transitions;orphan_states;plantuml_syntax_error,multiple_initial_transitions;orphan_states;plantuml_syntax_error,,,False,False
Mistral,case_78_class_campaign_version_2,syntax_grounded,multiple_initial_transitions;orphan_states;plantuml_syntax_error,,multiple_initial_transitions;orphan_states;plantuml_syntax_error,,True,True
Mistral,case_80_staff_member_class,baseline,duplicate_transitions;missing_final_transition,,duplicate_transitions;missing_final_transition,,True,True
Mistral,case_80_staff_member_class,syntax_grounded,duplicate_transitions;missing_final_transition,,duplicate_transitions;missing_final_transition,,True,True
DeepSeek R1 14B,case_01_healthcare_portal,baseline,missing_final_transition;missing_initial_transition;orphan_states,,missing_final_transition;missing_initial_transition;orphan_states,,True,True
DeepSeek R1 14B,case_01_healthcare_portal,syntax_grounded,missing_final_transition;missing_initial_transition;orphan_states,duplicate_transitions,missing_final_transition;missing_initial_transition;orphan_states,duplicate_transitions,True,False
DeepSeek R1 14B,case_02_inventory,baseline,missing_final_transition,,missing_final_transition,,True,True
DeepSeek R1 14B,case_02_inventory,syntax_grounded,missing_final_transition,,missing_final_transition,,True,True
DeepSeek R1 14B,case_12_business_process_outsourcing_bpo_management_system_2,baseline,missing_final_transition;missing_initial_transition,,missing_final_transition;missing_initial_transition,,True,True
DeepSeek R1 14B,case_12_business_process_outsourcing_bpo_management_system_2,syntax_grounded,missing_final_transition;missing_initial_transition,,missing_final_transition;missing_initial_transition,,True,True
DeepSeek R1 14B,case_15_e_ticketing_for_bus,baseline,missing_final_transition,,missing_final_transition,,True,True
DeepSeek R1 14B,case_15_e_ticketing_for_bus,syntax_grounded,missing_final_transition,,missing_final_transition,,True,True
DeepSeek R1 14B,case_16_weather_monitoring_system,baseline,choice_without_guards;duplicate_transitions,,choice_without_guards;duplicate_transitions,,True,True
DeepSeek R1 14B,case_16_weather_monitoring_system,syntax_grounded,choice_without_guards;duplicate_transitions,,choice_without_guards;duplicate_transitions,,True,True
DeepSeek R1 14B,case_18_digidoclocker,baseline,,,,,True,True
DeepSeek R1 14B,case_18_digidoclocker,syntax_grounded,,,,,True,True
DeepSeek R1 14B,case_28_ott_based_system_mini_reel,baseline,missing_final_transition,,missing_final_transition,,True,True
DeepSeek R1 14B,case_28_ott_based_system_mini_reel,syntax_grounded,missing_final_transition,,missing_final_transition,,True,True
DeepSeek R1 14B,case_32_e_visa_processing_and_follow_up_system,baseline,duplicate_transitions;missing_final_transition;plantuml_syntax_error,,duplicate_transitions;missing_final_transition;plantuml_syntax_error,,True,True
DeepSeek R1 14B,case_32_e_visa_processing_and_follow_up_system,syntax_grounded,duplicate_transitions;missing_final_transition;plantuml_syntax_error,,duplicate_transitions;missing_final_transition;plantuml_syntax_error,,True,True
DeepSeek R1 14B,case_33_farm_management_system,baseline,,,,,True,True
DeepSeek R1 14B,case_33_farm_management_system,syntax_grounded,,,,,True,True
DeepSeek R1 14B,case_34_green_rides,baseline,missing_initial_transition,,missing_initial_transition,,True,True
DeepSeek R1 14B,case_34_green_rides,syntax_grounded,missing_initial_transition,,missing_initial_transition,,True,True
DeepSeek R1 14B,case_37_online_quiz_system,baseline,missing_final_transition,,missing_final_transition,,True,True
DeepSeek R1 14B,case_37_online_quiz_system,syntax_grounded,missing_final_transition,,missing_final_transition,,True,True
DeepSeek R1 14B,case_39_website_development,baseline,missing_initial_transition,,missing_initial_transition,,True,True
DeepSeek R1 14B,case_39_website_development,syntax_grounded,missing_initial_transition,,missing_initial_transition,,True,True
DeepSeek R1 14B,case_41_video_suggestion_system,baseline,unreachable_states,unreachable_states,,,True,False
DeepSeek R1 14B,case_41_video_suggestion_system,syntax_grounded,unreachable_states,unreachable_states,,,True,False
DeepSeek R1 14B,case_45_alarm_clock,baseline,missing_final_transition,,missing_final_transition,,True,True
DeepSeek R1 14B,case_45_alarm_clock,syntax_grounded,missing_final_transition,missing_final_transition,,,True,False
DeepSeek R1 14B,case_46_digital_watch,baseline,missing_final_transition,,missing_final_transition,,True,True
DeepSeek R1 14B,case_46_digital_watch,syntax_grounded,missing_final_transition,,missing_final_transition,,True,True
DeepSeek R1 14B,case_47_safehome_security_function,baseline,missing_final_transition;missing_initial_transition,,missing_final_transition;missing_initial_transition,,True,True
DeepSeek R1 14B,case_47_safehome_security_function,syntax_grounded,missing_final_transition;missing_initial_transition,,missing_final_transition;missing_initial_transition,,True,True
DeepSeek R1 14B,case_51_process_sale,baseline,,,,,True,True
DeepSeek R1 14B,case_51_process_sale,syntax_grounded,,,,,True,True
DeepSeek R1 14B,case_52_microwave_oven,baseline,missing_final_transition,,missing_final_transition,,True,True
DeepSeek R1 14B,case_52_microwave_oven,syntax_grounded,missing_final_transition,,missing_final_transition,,True,True
DeepSeek R1 14B,case_54_weather_station_system,baseline,missing_final_transition;missing_initial_transition,,missing_final_transition;missing_initial_transition,,True,True
DeepSeek R1 14B,case_54_weather_station_system,syntax_grounded,missing_final_transition;missing_initial_transition,,missing_final_transition;missing_initial_transition,,True,True
DeepSeek R1 14B,case_59_atm_1,baseline,missing_initial_transition,,missing_initial_transition,,True,True
DeepSeek R1 14B,case_59_atm_1,syntax_grounded,missing_initial_transition,,missing_initial_transition,,True,True
DeepSeek R1 14B,case_60_atm_2,baseline,,,,,True,True
DeepSeek R1 14B,case_60_atm_2,syntax_grounded,,,,,True,True
DeepSeek R1 14B,case_65_plane,baseline,missing_final_transition;plantuml_syntax_error,plantuml_syntax_error,missing_final_transition,,False,False
DeepSeek R1 14B,case_65_plane,syntax_grounded,missing_final_transition;plantuml_syntax_error,plantuml_syntax_error,missing_final_transition,,False,False
DeepSeek R1 14B,case_67_atm_many_scenarios_1,baseline,missing_final_transition;plantuml_syntax_error,plantuml_syntax_error,missing_final_transition,,False,False
DeepSeek R1 14B,case_67_atm_many_scenarios_1,syntax_grounded,missing_final_transition;plantuml_syntax_error,missing_final_transition;plantuml_syntax_error,,,False,False
DeepSeek R1 14B,case_70_atm_many_scenarios_7,baseline,missing_final_transition;missing_initial_transition,,missing_final_transition;missing_initial_transition,,True,True
DeepSeek R1 14B,case_70_atm_many_scenarios_7,syntax_grounded,missing_final_transition;missing_initial_transition,,missing_final_transition;missing_initial_transition,,True,True
DeepSeek R1 14B,case_75_graderate,baseline,,,,,True,True
DeepSeek R1 14B,case_75_graderate,syntax_grounded,,,,,True,True
DeepSeek R1 14B,case_78_class_campaign_version_2,baseline,,,,,True,True
DeepSeek R1 14B,case_78_class_campaign_version_2,syntax_grounded,,,,,True,True
DeepSeek R1 14B,case_80_staff_member_class,baseline,missing_final_transition,,missing_final_transition,,True,True
DeepSeek R1 14B,case_80_staff_member_class,syntax_grounded,missing_final_transition,,missing_final_transition,,True,True
Llama 3.1 8B,case_01_healthcare_portal,baseline,,,,,True,True
Llama 3.1 8B,case_01_healthcare_portal,syntax_grounded,,,,,True,True
Llama 3.1 8B,case_02_inventory,baseline,missing_final_transition,,missing_final_transition,,True,True
Llama 3.1 8B,case_02_inventory,syntax_grounded,missing_final_transition,,missing_final_transition,,True,True
Llama 3.1 8B,case_12_business_process_outsourcing_bpo_management_system_2,baseline,,,,,True,True
Llama 3.1 8B,case_12_business_process_outsourcing_bpo_management_system_2,syntax_grounded,,,,,True,True
Llama 3.1 8B,case_15_e_ticketing_for_bus,baseline,unreachable_states,unreachable_states,,,True,False
Llama 3.1 8B,case_15_e_ticketing_for_bus,syntax_grounded,unreachable_states,unreachable_states,,,True,False
Llama 3.1 8B,case_16_weather_monitoring_system,baseline,choice_without_guards;plantuml_syntax_error,choice_without_guards;plantuml_syntax_error,,,False,False
Llama 3.1 8B,case_16_weather_monitoring_system,syntax_grounded,choice_without_guards;plantuml_syntax_error,missing_final_transition;multiple_initial_transitions;plantuml_syntax_error,choice_without_guards,missing_final_transition;multiple_initial_transitions,False,False
Llama 3.1 8B,case_18_digidoclocker,baseline,unreachable_states,,unreachable_states,,True,True
Llama 3.1 8B,case_18_digidoclocker,syntax_grounded,unreachable_states,,unreachable_states,,True,True
Llama 3.1 8B,case_28_ott_based_system_mini_reel,baseline,missing_final_transition;orphan_states;unreachable_states,unreachable_states,missing_final_transition;orphan_states,,True,False
Llama 3.1 8B,case_28_ott_based_system_mini_reel,syntax_grounded,missing_final_transition;orphan_states;unreachable_states,,missing_final_transition;orphan_states;unreachable_states,,True,True
Llama 3.1 8B,case_32_e_visa_processing_and_follow_up_system,baseline,choice_without_outgoing_paths;missing_final_transition;orphan_states;unreachable_states,duplicate_transitions;multiple_initial_transitions,choice_without_outgoing_paths;missing_final_transition;orphan_states;unreachable_states,duplicate_transitions;multiple_initial_transitions,True,False
Llama 3.1 8B,case_32_e_visa_processing_and_follow_up_system,syntax_grounded,choice_without_outgoing_paths;missing_final_transition;orphan_states;unreachable_states,choice_without_outgoing_paths;missing_final_transition;plantuml_syntax_error;unreachable_states,orphan_states,plantuml_syntax_error,False,False
Llama 3.1 8B,case_33_farm_management_system,baseline,missing_final_transition;unreachable_states,multiple_initial_transitions,missing_final_transition;unreachable_states,multiple_initial_transitions,True,False
Llama 3.1 8B,case_33_farm_management_system,syntax_grounded,missing_final_transition;unreachable_states,,missing_final_transition;unreachable_states,,True,True
Llama 3.1 8B,case_34_green_rides,baseline,,,,,True,True
Llama 3.1 8B,case_34_green_rides,syntax_grounded,,,,,True,True
Llama 3.1 8B,case_37_online_quiz_system,baseline,choice_without_outgoing_paths;multiple_initial_transitions,choice_without_outgoing_paths;multiple_initial_transitions,,,True,False
Llama 3.1 8B,case_37_online_quiz_system,syntax_grounded,choice_without_outgoing_paths;multiple_initial_transitions,choice_without_outgoing_paths;multiple_initial_transitions,,,True,False
Llama 3.1 8B,case_39_website_development,baseline,,,,,True,True
Llama 3.1 8B,case_39_website_development,syntax_grounded,,,,,True,True
Llama 3.1 8B,case_41_video_suggestion_system,baseline,missing_final_transition,,missing_final_transition,,True,True
Llama 3.1 8B,case_41_video_suggestion_system,syntax_grounded,missing_final_transition,,missing_final_transition,,True,True
Llama 3.1 8B,case_45_alarm_clock,baseline,missing_final_transition,,missing_final_transition,,True,True
Llama 3.1 8B,case_45_alarm_clock,syntax_grounded,missing_final_transition,,missing_final_transition,,True,True
Llama 3.1 8B,case_46_digital_watch,baseline,missing_final_transition;unreachable_states,multiple_initial_transitions,missing_final_transition;unreachable_states,multiple_initial_transitions,True,False
Llama 3.1 8B,case_46_digital_watch,syntax_grounded,missing_final_transition;unreachable_states,multiple_initial_transitions,missing_final_transition;unreachable_states,multiple_initial_transitions,True,False
Llama 3.1 8B,case_47_safehome_security_function,baseline,,,,,True,True
Llama 3.1 8B,case_47_safehome_security_function,syntax_grounded,,,,,True,True
Llama 3.1 8B,case_51_process_sale,baseline,missing_final_transition,,missing_final_transition,,True,True
Llama 3.1 8B,case_51_process_sale,syntax_grounded,missing_final_transition,,missing_final_transition,,True,True
Llama 3.1 8B,case_52_microwave_oven,baseline,choice_without_outgoing_paths;unreachable_states,choice_without_outgoing_paths;unreachable_states,,,True,False
Llama 3.1 8B,case_52_microwave_oven,syntax_grounded,choice_without_outgoing_paths;unreachable_states,choice_without_outgoing_paths;unreachable_states,,,True,False
Llama 3.1 8B,case_54_weather_station_system,baseline,missing_final_transition;multiple_initial_transitions,,missing_final_transition;multiple_initial_transitions,,True,True
Llama 3.1 8B,case_54_weather_station_system,syntax_grounded,missing_final_transition;multiple_initial_transitions,,missing_final_transition;multiple_initial_transitions,,True,True
Llama 3.1 8B,case_59_atm_1,baseline,missing_final_transition;unreachable_states,,missing_final_transition;unreachable_states,,True,True
Llama 3.1 8B,case_59_atm_1,syntax_grounded,missing_final_transition;unreachable_states,,missing_final_transition;unreachable_states,,True,True
Llama 3.1 8B,case_60_atm_2,baseline,,,,,True,True
Llama 3.1 8B,case_60_atm_2,syntax_grounded,,,,,True,True
Llama 3.1 8B,case_65_plane,baseline,choice_without_outgoing_paths;unreachable_states,choice_without_guards;multiple_initial_transitions,choice_without_outgoing_paths;unreachable_states,choice_without_guards;multiple_initial_transitions,True,False
Llama 3.1 8B,case_65_plane,syntax_grounded,choice_without_outgoing_paths;unreachable_states,choice_without_outgoing_paths,unreachable_states,,True,False
Llama 3.1 8B,case_67_atm_many_scenarios_1,baseline,,,,,True,True
Llama 3.1 8B,case_67_atm_many_scenarios_1,syntax_grounded,,,,,True,True
Llama 3.1 8B,case_70_atm_many_scenarios_7,baseline,missing_initial_transition,missing_initial_transition,,,True,False
Llama 3.1 8B,case_70_atm_many_scenarios_7,syntax_grounded,missing_initial_transition,missing_initial_transition,,,True,False
Llama 3.1 8B,case_75_graderate,baseline,,,,,True,True
Llama 3.1 8B,case_75_graderate,syntax_grounded,,,,,True,True
Llama 3.1 8B,case_78_class_campaign_version_2,baseline,choice_without_outgoing_paths;missing_final_transition;missing_initial_transition;orphan_states;plantuml_syntax_error,choice_without_outgoing_paths;orphan_states;unreachable_states,missing_final_transition;missing_initial_transition;plantuml_syntax_error,unreachable_states,True,False
Llama 3.1 8B,case_78_class_campaign_version_2,syntax_grounded,choice_without_outgoing_paths;missing_final_transition;missing_initial_transition;orphan_states;plantuml_syntax_error,plantuml_syntax_error;unreachable_states,choice_without_outgoing_paths;missing_final_transition;missing_initial_transition;orphan_states,unreachable_states,False,False
Llama 3.1 8B,case_80_staff_member_class,baseline,duplicate_transitions;missing_final_transition;unreachable_states,duplicate_transitions;unreachable_states,missing_final_transition,,True,False
Llama 3.1 8B,case_80_staff_member_class,syntax_grounded,duplicate_transitions;missing_final_transition;unreachable_states,duplicate_transitions;missing_final_transition;multiple_initial_transitions;plantuml_syntax_error,unreachable_states,multiple_initial_transitions;plantuml_syntax_error,False,False
