case_id,human_best_rank,human_best_tie_count,candidate_id,model,method,human_mean_score,human_rating_count,puml_path,png_path
case_37_online_quiz_system,1,1,valid_038,DeepSeek_R1_14B,syntax_grounded_repair,4.750000,1,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_37_online_quiz_system/human_best.puml,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_37_online_quiz_system/human_best.png
case_39_website_development,1,2,valid_039,Qwen_2.5_7B,syntax_grounded_repair,5.000000,1,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_39_website_development/human_best.puml,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_39_website_development/human_best.png
case_39_website_development,2,2,valid_042,DeepSeek_R1_14B,syntax_grounded_repair,5.000000,1,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_39_website_development/human_best_tie_02.puml,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_39_website_development/human_best_tie_02.png
case_41_video_suggestion_system,1,1,valid_047,Llama_3.1_8B,syntax_grounded_repair,4.500000,1,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_41_video_suggestion_system/human_best.puml,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_41_video_suggestion_system/human_best.png
case_45_alarm_clock,1,1,valid_049,Llama_3.1_8B,baseline_repair,4.625000,2,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_45_alarm_clock/human_best.puml,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_45_alarm_clock/human_best.png
case_46_digital_watch,1,2,valid_052,Qwen_2.5_7B,syntax_grounded_repair,5.000000,1,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_46_digital_watch/human_best.puml,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_46_digital_watch/human_best.png
case_46_digital_watch,2,2,valid_054,DeepSeek_R1_14B,syntax_grounded_repair,5.000000,1,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_46_digital_watch/human_best_tie_02.puml,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_46_digital_watch/human_best_tie_02.png
case_47_safehome_security_function,1,1,valid_057,DeepSeek_R1_14B,syntax_grounded_repair,4.750000,1,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_47_safehome_security_function/human_best.puml,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_47_safehome_security_function/human_best.png
case_51_process_sale,1,1,valid_062,Llama_3.1_8B,syntax_grounded_repair,5.000000,1,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_51_process_sale/human_best.puml,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_51_process_sale/human_best.png
case_52_microwave_oven,1,1,valid_063,DeepSeek_R1_14B,baseline_repair,4.500000,2,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_52_microwave_oven/human_best.puml,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_52_microwave_oven/human_best.png
case_54_weather_station_system,1,2,valid_066,DeepSeek_R1_14B,syntax_grounded_repair,4.500000,1,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_54_weather_station_system/human_best.puml,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_54_weather_station_system/human_best.png
case_54_weather_station_system,2,2,valid_068,Llama_3.1_8B,syntax_grounded_repair,4.500000,1,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_54_weather_station_system/human_best_tie_02.puml,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_54_weather_station_system/human_best_tie_02.png
case_59_atm_1,1,1,valid_074,Llama_3.1_8B,syntax_grounded_repair,5.000000,1,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_59_atm_1/human_best.puml,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_59_atm_1/human_best.png
case_60_atm_2,1,1,valid_076,DeepSeek_R1_14B,few_shot,4.375000,2,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_60_atm_2/human_best.puml,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_60_atm_2/human_best.png
case_65_plane,1,1,valid_079,Mistral,baseline_repair,5.000000,2,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_65_plane/human_best.puml,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_65_plane/human_best.png
case_67_atm_many_scenarios_1,1,2,valid_082,Qwen_2.5_7B,syntax_grounded_repair,4.250000,1,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_67_atm_many_scenarios_1/human_best.puml,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_67_atm_many_scenarios_1/human_best.png
case_67_atm_many_scenarios_1,2,2,valid_083,Llama_3.1_8B,few_shot,4.250000,2,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_67_atm_many_scenarios_1/human_best_tie_02.puml,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_67_atm_many_scenarios_1/human_best_tie_02.png
case_70_atm_many_scenarios_7,1,1,valid_084,Qwen_2.5_7B,baseline_repair,4.500000,2,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_70_atm_many_scenarios_7/human_best.puml,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_70_atm_many_scenarios_7/human_best.png
case_75_graderate,1,1,valid_089,DeepSeek_R1_14B,few_shot,4.875000,2,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_75_graderate/human_best.puml,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_75_graderate/human_best.png
case_78_class_campaign_version_2,1,1,valid_093,DeepSeek_R1_14B,few_shot,4.625000,2,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_78_class_campaign_version_2/human_best.puml,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_78_class_campaign_version_2/human_best.png
case_80_staff_member_class,1,1,valid_096,DeepSeek_R1_14B,baseline_repair,4.625000,2,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_80_staff_member_class/human_best.puml,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_80_staff_member_class/human_best.png
