case_id,candidate_count,human_best_candidate_ids,human_best_models,human_best_methods,human_best_score,human_best_tie_count,ensemble_selected_candidate_id,ensemble_selected_model,ensemble_selected_method,ensemble_selected_human_score,human_score_gap_from_best,ensemble_matches_human_best_id,ensemble_matches_human_best_content,selection_method,fallback_used,selected_state_f1
case_46_digital_watch,4,"[""valid_052"",""valid_054""]","[""Qwen_2.5_7B"",""DeepSeek_R1_14B""]","[""syntax_grounded_repair"",""syntax_grounded_repair""]",5.000000,2,valid_054,DeepSeek_R1_14B,syntax_grounded_repair,5.000000,0.000000,true,true,judge_ranking_fallback,true,0.375000
case_47_safehome_security_function,4,"[""valid_057""]","[""DeepSeek_R1_14B""]","[""syntax_grounded_repair""]",4.750000,1,valid_058,Llama_3.1_8B,few_shot,3.750000,1.000000,false,false,judge_ranking_fallback,true,0.461538
case_51_process_sale,4,"[""valid_062""]","[""Llama_3.1_8B""]","[""syntax_grounded_repair""]",5.000000,1,valid_060,DeepSeek_R1_14B,few_shot,4.875000,0.125000,false,false,judge_ranking_fallback,true,0.800000
case_52_microwave_oven,2,"[""valid_063""]","[""DeepSeek_R1_14B""]","[""baseline_repair""]",4.500000,1,valid_063,DeepSeek_R1_14B,baseline_repair,4.500000,0.000000,true,true,judge_ranking_fallback,true,0.461538
case_54_weather_station_system,4,"[""valid_066"",""valid_068""]","[""DeepSeek_R1_14B"",""Llama_3.1_8B""]","[""syntax_grounded_repair"",""syntax_grounded_repair""]",4.500000,2,valid_065,DeepSeek_R1_14B,baseline_repair,4.125000,0.375000,false,false,judge_ranking_fallback,true,0.615385
case_59_atm_1,6,"[""valid_074""]","[""Llama_3.1_8B""]","[""syntax_grounded_repair""]",5.000000,1,valid_071,DeepSeek_R1_14B,baseline_repair,4.750000,0.250000,false,false,judge_ranking_fallback,true,0.500000
case_60_atm_2,3,"[""valid_076""]","[""DeepSeek_R1_14B""]","[""few_shot""]",4.375000,1,valid_076,DeepSeek_R1_14B,few_shot,4.375000,0.000000,true,true,meta_llm,false,0.600000
case_65_plane,3,"[""valid_079""]","[""Mistral""]","[""baseline_repair""]",5.000000,1,valid_078,Qwen_2.5_7B,rag,2.750000,2.250000,false,false,judge_ranking_fallback,true,0.363636
case_67_atm_many_scenarios_1,3,"[""valid_082"",""valid_083""]","[""Qwen_2.5_7B"",""Llama_3.1_8B""]","[""syntax_grounded_repair"",""few_shot""]",4.250000,2,valid_081,Qwen_2.5_7B,baseline_repair,3.625000,0.625000,false,false,judge_ranking_fallback,true,0.900000
case_70_atm_many_scenarios_7,3,"[""valid_084""]","[""Qwen_2.5_7B""]","[""baseline_repair""]",4.500000,1,valid_086,DeepSeek_R1_14B,syntax_grounded_repair,4.000000,0.500000,false,false,judge_ranking_fallback,true,0.285714
case_75_graderate,4,"[""valid_089""]","[""DeepSeek_R1_14B""]","[""few_shot""]",4.875000,1,valid_088,Mistral,rag,4.750000,0.125000,false,false,judge_ranking_fallback,true,0.571429
case_78_class_campaign_version_2,3,"[""valid_093""]","[""DeepSeek_R1_14B""]","[""few_shot""]",4.625000,1,valid_092,Mistral,syntax_grounded_repair,3.750000,0.875000,false,false,judge_ranking_fallback,true,0.933333
case_80_staff_member_class,4,"[""valid_096""]","[""DeepSeek_R1_14B""]","[""baseline_repair""]",4.625000,1,valid_096,DeepSeek_R1_14B,baseline_repair,4.625000,0.000000,true,true,judge_ranking_fallback,true,0.363636
