diagram_id,case_id,generation_model,generation_method,source_run_id,removed_because,raw_methods_present
diagram_a70b89477392,case_67_atm_many_scenarios_1,Llama_3.1_8B,syntax_grounded_repair,open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair__syntax_grounded,selected_best_raw_duplicate_of_existing_raw_diagram,few_shot
diagram_b1be881e3bee,case_18_digidoclocker,DeepSeek_R1_14B,syntax_grounded_repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair__syntax_grounded_no_rules,selected_best_raw_duplicate_of_existing_raw_diagram,few_shot
diagram_b36305664fdd,case_01_healthcare_portal,Llama_3.1_8B,syntax_grounded_repair,open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair__syntax_grounded,selected_best_raw_duplicate_of_existing_raw_diagram,few_shot
diagram_bdefd70f4976,case_75_graderate,DeepSeek_R1_14B,syntax_grounded_repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair__syntax_grounded_no_rules,selected_best_raw_duplicate_of_existing_raw_diagram,few_shot
diagram_cbd3f5f4f1c5,case_01_healthcare_portal,Llama_3.1_8B,baseline_repair,open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair,selected_best_raw_duplicate_of_existing_raw_diagram,few_shot
diagram_d27096e85ba0,case_60_atm_2,Llama_3.1_8B,baseline_repair,open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair,selected_best_raw_duplicate_of_existing_raw_diagram,few_shot
diagram_d3293759ca03,case_75_graderate,Qwen_2.5_7B,baseline_repair,open_source__qwen25_7b_instruct__rag_validation_generator_critic_repair,selected_best_raw_duplicate_of_existing_raw_diagram,rag
diagram_dad1964a07f3,case_51_process_sale,DeepSeek_R1_14B,syntax_grounded_repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair__syntax_grounded_no_rules,selected_best_raw_duplicate_of_existing_raw_diagram,few_shot
diagram_dd50fe50bbfa,case_51_process_sale,DeepSeek_R1_14B,baseline_repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair,selected_best_raw_duplicate_of_existing_raw_diagram,few_shot
diagram_ddca4518569a,case_34_green_rides,Llama_3.1_8B,baseline_repair,open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair,selected_best_raw_duplicate_of_existing_raw_diagram,few_shot
diagram_e47058a4f520,case_41_video_suggestion_system,Mistral,baseline_repair,open_source__mistral__rag_validation_generator_critic_repair,selected_best_raw_duplicate_of_existing_raw_diagram,rag
diagram_ec88e452388e,case_78_class_campaign_version_2,Qwen_2.5_7B,syntax_grounded_repair,open_source__qwen25_7b_instruct__rag_validation_generator_critic_repair__syntax_grounded_original_rag,selected_best_raw_duplicate_of_existing_raw_diagram,rag
diagram_f54dda68d13a,case_78_class_campaign_version_2,DeepSeek_R1_14B,syntax_grounded_repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair__syntax_grounded_no_rules,selected_best_raw_duplicate_of_existing_raw_diagram,few_shot
diagram_f678d77675e8,case_12_business_process_outsourcing_bpo_management_system_2,Llama_3.1_8B,syntax_grounded_repair,open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair__syntax_grounded,selected_best_raw_duplicate_of_existing_raw_diagram,few_shot
diagram_fa15caad7dc6,case_60_atm_2,Mistral,syntax_grounded_repair,open_source__mistral__rag_validation_generator_critic_repair__syntax_grounded,selected_best_raw_duplicate_of_existing_raw_diagram,rag
