case_id,diagram_variant,generation_model,generation_method,original_diagram_name,rating_count,unique_evaluator_count,evaluator_ids,has_exactly_two_humans
case_39,A,DeepSeek R1 14B,rag,deepseek_r1_14b__rag__run_01.png,2,2,23.0|6.0,True
case_39,B,Llama 3.1 8B,few_shot,llama_3_1_8b_instruct__few_shot__run_01.png,3,3,23.0|4.0|6.0,False
case_41,A,DeepSeek R1 14B,rag,deepseek_r1_14b__rag__run_01.png,2,2,10.0|14.0,True
case_41,A,Llama 3.1 8B,baseline_repair,llama_3_1_8b_instruct__few_shot_repair__run_01.png,2,2,14.0|26.0,True
case_41,A,Mistral,rag,mistral__rag__run_01.png,2,2,11.0|14.0,True
case_41,B,Llama 3.1 8B,rag,llama_3_1_8b_instruct__rag__run_01.png,2,2,10.0|23.0,True
case_41,C,Qwen 2.5 7B,rag,qwen_2_5_7b_instruct__rag__run_01.png,2,2,10.0|14.0,True
case_45,A,DeepSeek R1 14B,baseline_repair,deepseek_r1_14b__few_shot_repair__run_01.png,2,2,23.0|27.0,True
case_45,A,Llama 3.1 8B,rag,llama_3_1_8b_instruct__rag__run_01.png,2,2,10.0|14.0,True
case_45,B,Llama 3.1 8B,baseline_repair,llama_3_1_8b_instruct__few_shot_repair__run_01.png,2,2,23.0|27.0,True
case_45,B,Qwen 2.5 7B,few_shot,qwen_2_5_7b_instruct__few_shot__run_01.png,2,2,10.0|14.0,True
case_46,A,DeepSeek R1 14B,baseline_repair,deepseek_r1_14b__few_shot_repair__run_01.png,2,2,14.0|27.0,True
case_46,B,Qwen 2.5 7B,baseline_repair,qwen25_7b_instruct__rag_repair__run_01.png,2,2,14.0|27.0,True
case_47,A,DeepSeek R1 14B,baseline_repair,deepseek_r1_14b__few_shot_repair__run_01.png,2,2,14.0|26.0,True
case_47,A,Llama 3.1 8B,few_shot,llama_3_1_8b_instruct__few_shot__run_01.png,2,2,10.0|14.0,True
case_47,B,Llama 3.1 8B,rag,llama_3_1_8b_instruct__rag__run_01.png,2,2,10.0|14.0,True
case_51,A,DeepSeek R1 14B,few_shot,deepseek_r1_14b__few_shot__run_01.png,2,2,4.0|6.0,True
case_51,A,Llama 3.1 8B,baseline_repair,llama_3_1_8b_instruct__few_shot_repair__run_01.png,2,2,14.0|26.0,True
case_51,A,Mistral,rag,mistral__rag__run_01.png,2,2,11.0|14.0,True
case_52,A,DeepSeek R1 14B,baseline_repair,deepseek_r1_14b__few_shot_repair__run_01.png,3,3,2.0|25.0|28.0,False
case_54,A,DeepSeek R1 14B,One-shot,deepseek_r1_14b__one_shot__run_01.png,2,2,5.0|7.0,True
case_54,A,DeepSeek R1 14B,baseline_repair,deepseek_r1_14b__few_shot_repair__run_01.png,2,2,2.0|25.0,True
case_54,B,Llama 3.1 8B,baseline_repair,llama_3_1_8b_instruct__few_shot_repair__run_01.png,2,2,2.0|25.0,True
case_59,A,DeepSeek R1 14B,One-shot,deepseek_r1_14b__one_shot__run_01.png,2,2,5.0|7.0,True
case_59,A,DeepSeek R1 14B,baseline_repair,deepseek_r1_14b__few_shot_repair__run_01.png,3,3,2.0|25.0|28.0,False
case_59,B,Llama 3.1 8B,baseline_repair,llama_3_1_8b_instruct__few_shot_repair__run_01.png,3,3,2.0|25.0|28.0,False
case_59,C,Qwen 2.5 7B,baseline_repair,qwen25_7b_instruct__rag_repair__run_01.png,3,3,2.0|25.0|28.0,False
case_60,A,DeepSeek R1 14B,few_shot,deepseek_r1_14b__few_shot__run_01.png,2,2,5.0|7.0,True
case_60,A,Mistral,One-shot,mistral__one_shot__run_01.png,2,2,11.0|14.0,True
case_60,B,DeepSeek R1 14B,rag,deepseek_r1_14b__rag__run_01.png,2,2,5.0|7.0,True
case_60,B,Mistral,rag,mistral__rag__run_01.png,2,2,11.0|14.0,True
case_60,C,Llama 3.1 8B,few_shot,llama_3_1_8b_instruct__few_shot__run_01.png,2,2,5.0|7.0,True
case_60,D,Qwen 2.5 7B,One-shot,qwen_2_5_7b_instruct__one_shot__run_01.png,2,2,5.0|7.0,True
case_65,A,Llama 3.1 8B,One-shot,llama_3_1_8b_instruct__one_shot__run_01.png,2,2,8.0|9.0,True
case_65,A,Mistral,baseline_repair,mistral__rag_repair__run_01.png,3,3,2.0|25.0|28.0,False
case_65,B,Qwen 2.5 7B,rag,qwen_2_5_7b_instruct__rag__run_01.png,2,2,8.0|9.0,True
case_67,A,Llama 3.1 8B,few_shot,llama_3_1_8b_instruct__few_shot__run_01.png,2,2,5.0|7.0,True
case_67,A,Qwen 2.5 7B,baseline_repair,qwen25_7b_instruct__rag_repair__run_01.png,2,2,14.0|26.0,True
case_70,A,DeepSeek R1 14B,baseline_repair,deepseek_r1_14b__few_shot_repair__run_01.png,2,2,22.0|28.0,True
case_70,A,Llama 3.1 8B,One-shot,llama_3_1_8b_instruct__one_shot__run_01.png,2,2,8.0|9.0,True
case_70,B,Qwen 2.5 7B,baseline_repair,qwen25_7b_instruct__rag_repair__run_01.png,2,2,22.0|28.0,True
case_75,A,DeepSeek R1 14B,few_shot,deepseek_r1_14b__few_shot__run_01.png,2,2,8.0|9.0,True
case_75,A,Mistral,rag,mistral__rag__run_01.png,2,2,11.0|14.0,True
case_75,B,Llama 3.1 8B,few_shot,llama_3_1_8b_instruct__few_shot__run_01.png,2,2,8.0|9.0,True
case_75,C,Llama 3.1 8B,One-shot,llama_3_1_8b_instruct__one_shot__run_01.png,2,2,8.0|9.0,True
case_75,D,Qwen 2.5 7B,rag,qwen_2_5_7b_instruct__rag__run_01.png,2,2,8.0|9.0,True
case_78,A,DeepSeek R1 14B,few_shot,deepseek_r1_14b__few_shot__run_01.png,2,2,1202.0|1222.0,True
case_78,B,Llama 3.1 8B,rag,llama_3_1_8b_instruct__rag__run_01.png,2,2,1202.0|1222.0,True
case_78,C,Qwen 2.5 7B,few_shot,qwen_2_5_7b_instruct__few_shot__run_01.png,2,2,1202.0|1222.0,True
case_78,D,Qwen 2.5 7B,rag,qwen_2_5_7b_instruct__rag__run_01.png,2,2,1202.0|1222.0,True
case_80,A,DeepSeek R1 14B,baseline_repair,deepseek_r1_14b__few_shot_repair__run_01.png,2,2,18.0|19.0,True
case_80,A,Llama 3.1 8B,One-shot,llama_3_1_8b_instruct__one_shot__run_01.png,2,2,1202.0|1222.0,True
case_80,A,Mistral,few_shot,mistral__few_shot__run_01.png,2,2,11.0|14.0,True
case_80,B,Mistral,baseline_repair,mistral__rag_repair__run_01.png,2,2,18.0|19.0,True
