criterion,case_number,diagram_number,original_diagram_name,evaluator_1_id,evaluator_2_id,score_1,score_2,absolute_difference
understandability,37.0,A,deepseek_r1_14b__few_shot_repair__run_01.png,23.0,27.0,1.0,3.0,2.0
understandability,45.0,A,deepseek_r1_14b__few_shot_repair__run_01.png,23.0,27.0,2.0,5.0,3.0
understandability,46.0,A,deepseek_r1_14b__few_shot_repair__run_01.png,14.0,27.0,3.0,5.0,2.0
understandability,54.0,A,deepseek_r1_14b__few_shot_repair__run_01.png,25.0,2.0,5.0,3.0,2.0
understandability,80.0,B,mistral__rag_repair__run_01.png,19.0,18.0,3.0,5.0,2.0
understandability,1.0,A,deepseek_r1_14b__few_shot_repair__run_01.png,19.0,2.0,4.0,2.0,2.0
terminology_alignment,41.0,C,qwen_2_5_7b_instruct__rag__run_01.png,14.0,10.0,5.0,2.0,3.0
terminology_alignment,70.0,A,llama_3_1_8b_instruct__one_shot__run_01.png,8.0,9.0,5.0,3.0,2.0
terminology_alignment,75.0,B,llama_3_1_8b_instruct__few_shot__run_01.png,8.0,9.0,5.0,3.0,2.0
terminology_alignment,75.0,C,llama_3_1_8b_instruct__one_shot__run_01.png,8.0,9.0,5.0,3.0,2.0
terminology_alignment,75.0,D,qwen_2_5_7b_instruct__rag__run_01.png,8.0,9.0,5.0,3.0,2.0
terminology_alignment,78.0,B,llama_3_1_8b_instruct__rag__run_01.png,1202.0,1222.0,5.0,3.0,2.0
terminology_alignment,75.0,A,mistral__rag__run_01.png,11.0,14.0,3.0,5.0,2.0
terminology_alignment,2.0,A,deepseek_r1_14b__few_shot_repair__run_01.png,20.0,22.0,3.0,5.0,2.0
terminology_alignment,2.0,B,llama_3_1_8b_instruct__few_shot_repair__run_01.png,20.0,22.0,3.0,5.0,2.0
terminology_alignment,16.0,A,deepseek_r1_14b__few_shot_repair__run_01.png,19.0,18.0,3.0,5.0,2.0
terminology_alignment,16.0,B,qwen25_7b_instruct__rag_repair__run_01.png,19.0,18.0,3.0,5.0,2.0
terminology_alignment,54.0,B,llama_3_1_8b_instruct__few_shot_repair__run_01.png,25.0,2.0,5.0,3.0,2.0
terminology_alignment,67.0,A,qwen25_7b_instruct__rag_repair__run_01.png,26.0,14.0,5.0,3.0,2.0
terminology_alignment,80.0,B,mistral__rag_repair__run_01.png,19.0,18.0,3.0,5.0,2.0
terminology_alignment,59.0,C,qwen25_7b_instruct__rag_repair__run_01.png,25.0,28.0,3.0,1.0,2.0
