diagram_id,case_id,criterion,deepseek_score,llama_score,prometheus_score,generator_model,repair_strategy
diagram_5d3d7dd2a7e1,case_46_digital_watch,understandability,4,3,4,Qwen_2.5_7B,syntax_grounded_repair
diagram_5d3d7dd2a7e1,case_46_digital_watch,terminological_alignment,3,1,4,Qwen_2.5_7B,syntax_grounded_repair
diagram_66d9252ba6de,case_59_atm_1,completeness,1,2,1,Llama_3.1_8B,syntax_grounded_repair
diagram_66d9252ba6de,case_59_atm_1,correctness,1,1,1,Llama_3.1_8B,syntax_grounded_repair
diagram_66d9252ba6de,case_59_atm_1,understandability,4,4,1,Llama_3.1_8B,syntax_grounded_repair
diagram_66d9252ba6de,case_59_atm_1,terminological_alignment,2,1,1,Llama_3.1_8B,syntax_grounded_repair
diagram_6c6606dca036,case_32_e_visa_processing_and_follow_up_system,completeness,5,4,4,DeepSeek_R1_14B,syntax_grounded_repair
diagram_6c6606dca036,case_32_e_visa_processing_and_follow_up_system,correctness,5,3,3,DeepSeek_R1_14B,syntax_grounded_repair
diagram_6c6606dca036,case_32_e_visa_processing_and_follow_up_system,understandability,5,4,4,DeepSeek_R1_14B,syntax_grounded_repair
diagram_6c6606dca036,case_32_e_visa_processing_and_follow_up_system,terminological_alignment,5,4,4,DeepSeek_R1_14B,syntax_grounded_repair
diagram_6edb38062916,case_01_healthcare_portal,completeness,3,4,3,Qwen_2.5_7B,syntax_grounded_repair
diagram_6edb38062916,case_01_healthcare_portal,correctness,2,2,3,Qwen_2.5_7B,syntax_grounded_repair
diagram_6edb38062916,case_01_healthcare_portal,understandability,4,5,,Qwen_2.5_7B,syntax_grounded_repair
diagram_6edb38062916,case_01_healthcare_portal,terminological_alignment,5,4,4,Qwen_2.5_7B,syntax_grounded_repair
diagram_77a31441aee9,case_70_atm_many_scenarios_7,completeness,3,2,1,DeepSeek_R1_14B,syntax_grounded_repair
diagram_77a31441aee9,case_70_atm_many_scenarios_7,correctness,2,1,1,DeepSeek_R1_14B,syntax_grounded_repair
diagram_77a31441aee9,case_70_atm_many_scenarios_7,understandability,2,3,1,DeepSeek_R1_14B,syntax_grounded_repair
diagram_77a31441aee9,case_70_atm_many_scenarios_7,terminological_alignment,1,1,1,DeepSeek_R1_14B,syntax_grounded_repair
diagram_7b2f287f36e2,case_34_green_rides,completeness,5,4,,DeepSeek_R1_14B,syntax_grounded_repair
diagram_7b2f287f36e2,case_34_green_rides,correctness,5,2,3,DeepSeek_R1_14B,syntax_grounded_repair
diagram_7b2f287f36e2,case_34_green_rides,understandability,5,5,3,DeepSeek_R1_14B,syntax_grounded_repair
diagram_7b2f287f36e2,case_34_green_rides,terminological_alignment,5,4,4,DeepSeek_R1_14B,syntax_grounded_repair
diagram_847b6f70f84d,case_39_website_development,completeness,3,4,,DeepSeek_R1_14B,syntax_grounded_repair
diagram_847b6f70f84d,case_39_website_development,correctness,4,3,3,DeepSeek_R1_14B,syntax_grounded_repair
diagram_847b6f70f84d,case_39_website_development,understandability,5,4,3,DeepSeek_R1_14B,syntax_grounded_repair
diagram_847b6f70f84d,case_39_website_development,terminological_alignment,4,2,,DeepSeek_R1_14B,syntax_grounded_repair
diagram_9258e53efe32,case_12_business_process_outsourcing_bpo_management_system_2,completeness,1,2,,Qwen_2.5_7B,syntax_grounded_repair
diagram_9258e53efe32,case_12_business_process_outsourcing_bpo_management_system_2,correctness,2,1,1,Qwen_2.5_7B,syntax_grounded_repair
diagram_9258e53efe32,case_12_business_process_outsourcing_bpo_management_system_2,understandability,3,5,1,Qwen_2.5_7B,syntax_grounded_repair
diagram_9258e53efe32,case_12_business_process_outsourcing_bpo_management_system_2,terminological_alignment,1,1,,Qwen_2.5_7B,syntax_grounded_repair
diagram_946fec4cb2ad,case_16_weather_monitoring_system,completeness,2,3,1,DeepSeek_R1_14B,syntax_grounded_repair
diagram_946fec4cb2ad,case_16_weather_monitoring_system,correctness,2,1,1,DeepSeek_R1_14B,syntax_grounded_repair
diagram_946fec4cb2ad,case_16_weather_monitoring_system,understandability,3,4,,DeepSeek_R1_14B,syntax_grounded_repair
diagram_946fec4cb2ad,case_16_weather_monitoring_system,terminological_alignment,2,2,1,DeepSeek_R1_14B,syntax_grounded_repair
diagram_9644f5a87489,case_16_weather_monitoring_system,completeness,2,2,1,Qwen_2.5_7B,syntax_grounded_repair
diagram_9644f5a87489,case_16_weather_monitoring_system,correctness,3,1,,Qwen_2.5_7B,syntax_grounded_repair
diagram_9644f5a87489,case_16_weather_monitoring_system,understandability,4,3,1,Qwen_2.5_7B,syntax_grounded_repair
diagram_9644f5a87489,case_16_weather_monitoring_system,terminological_alignment,2,2,1,Qwen_2.5_7B,syntax_grounded_repair
diagram_9b0c5621be56,case_41_video_suggestion_system,completeness,4,4,4,Llama_3.1_8B,syntax_grounded_repair
diagram_9b0c5621be56,case_41_video_suggestion_system,correctness,4,2,5,Llama_3.1_8B,syntax_grounded_repair
diagram_9b0c5621be56,case_41_video_suggestion_system,understandability,3,5,4,Llama_3.1_8B,syntax_grounded_repair
diagram_9b0c5621be56,case_41_video_suggestion_system,terminological_alignment,5,4,4,Llama_3.1_8B,syntax_grounded_repair
diagram_9b7509093e07,case_65_plane,completeness,1,2,5,Mistral,syntax_grounded_repair
diagram_9b7509093e07,case_65_plane,correctness,1,1,5,Mistral,syntax_grounded_repair
diagram_9b7509093e07,case_65_plane,understandability,1,3,5,Mistral,syntax_grounded_repair
diagram_9b7509093e07,case_65_plane,terminological_alignment,1,1,5,Mistral,syntax_grounded_repair
diagram_9e274e239e26,case_02_inventory,completeness,3,4,3,Llama_3.1_8B,syntax_grounded_repair
diagram_9e274e239e26,case_02_inventory,correctness,4,2,4,Llama_3.1_8B,syntax_grounded_repair
diagram_9e274e239e26,case_02_inventory,understandability,5,3,3,Llama_3.1_8B,syntax_grounded_repair
diagram_9e274e239e26,case_02_inventory,terminological_alignment,3,1,5,Llama_3.1_8B,syntax_grounded_repair
diagram_a750a6fc981e,case_46_digital_watch,completeness,4,4,5,DeepSeek_R1_14B,syntax_grounded_repair
diagram_a750a6fc981e,case_46_digital_watch,correctness,4,3,4,DeepSeek_R1_14B,syntax_grounded_repair
diagram_a750a6fc981e,case_46_digital_watch,understandability,4,5,4,DeepSeek_R1_14B,syntax_grounded_repair
diagram_a750a6fc981e,case_46_digital_watch,terminological_alignment,4,4,4,DeepSeek_R1_14B,syntax_grounded_repair
diagram_b0dfeb271439,case_37_online_quiz_system,completeness,5,5,5,DeepSeek_R1_14B,syntax_grounded_repair
diagram_b0dfeb271439,case_37_online_quiz_system,correctness,5,4,3,DeepSeek_R1_14B,syntax_grounded_repair
diagram_b0dfeb271439,case_37_online_quiz_system,understandability,5,3,4,DeepSeek_R1_14B,syntax_grounded_repair
diagram_b0dfeb271439,case_37_online_quiz_system,terminological_alignment,5,5,4,DeepSeek_R1_14B,syntax_grounded_repair
diagram_b58376468e39,case_67_atm_many_scenarios_1,completeness,4,5,5,Qwen_2.5_7B,syntax_grounded_repair
diagram_b58376468e39,case_67_atm_many_scenarios_1,correctness,5,4,5,Qwen_2.5_7B,syntax_grounded_repair
diagram_b58376468e39,case_67_atm_many_scenarios_1,understandability,4,3,4,Qwen_2.5_7B,syntax_grounded_repair
diagram_b58376468e39,case_67_atm_many_scenarios_1,terminological_alignment,5,5,5,Qwen_2.5_7B,syntax_grounded_repair
diagram_bf6751fdac04,case_47_safehome_security_function,completeness,2,2,,Qwen_2.5_7B,syntax_grounded_repair
diagram_bf6751fdac04,case_47_safehome_security_function,correctness,3,1,1,Qwen_2.5_7B,syntax_grounded_repair
diagram_bf6751fdac04,case_47_safehome_security_function,understandability,4,3,1,Qwen_2.5_7B,syntax_grounded_repair
diagram_bf6751fdac04,case_47_safehome_security_function,terminological_alignment,3,1,1,Qwen_2.5_7B,syntax_grounded_repair
diagram_c62a08ca4af3,case_16_weather_monitoring_system,completeness,3,4,4,Mistral,syntax_grounded_repair
diagram_c62a08ca4af3,case_16_weather_monitoring_system,correctness,3,3,,Mistral,syntax_grounded_repair
diagram_c62a08ca4af3,case_16_weather_monitoring_system,understandability,4,5,,Mistral,syntax_grounded_repair
diagram_c62a08ca4af3,case_16_weather_monitoring_system,terminological_alignment,3,4,4,Mistral,syntax_grounded_repair
diagram_ce15aff5a8c7,case_34_green_rides,completeness,3,4,4,Qwen_2.5_7B,syntax_grounded_repair
diagram_ce15aff5a8c7,case_34_green_rides,correctness,2,3,5,Qwen_2.5_7B,syntax_grounded_repair
diagram_ce15aff5a8c7,case_34_green_rides,understandability,3,5,4,Qwen_2.5_7B,syntax_grounded_repair
diagram_ce15aff5a8c7,case_34_green_rides,terminological_alignment,4,4,2,Qwen_2.5_7B,syntax_grounded_repair
diagram_d941dd436455,case_54_weather_station_system,completeness,2,4,3,DeepSeek_R1_14B,syntax_grounded_repair
diagram_d941dd436455,case_54_weather_station_system,correctness,3,2,3,DeepSeek_R1_14B,syntax_grounded_repair
diagram_d941dd436455,case_54_weather_station_system,understandability,2,3,3,DeepSeek_R1_14B,syntax_grounded_repair
diagram_d941dd436455,case_54_weather_station_system,terminological_alignment,3,4,4,DeepSeek_R1_14B,syntax_grounded_repair
diagram_e6ca7f1630a5,case_37_online_quiz_system,completeness,4,4,,Qwen_2.5_7B,syntax_grounded_repair
diagram_e6ca7f1630a5,case_37_online_quiz_system,correctness,3,2,,Qwen_2.5_7B,syntax_grounded_repair
diagram_e6ca7f1630a5,case_37_online_quiz_system,understandability,4,5,4,Qwen_2.5_7B,syntax_grounded_repair
diagram_e6ca7f1630a5,case_37_online_quiz_system,terminological_alignment,2,4,4,Qwen_2.5_7B,syntax_grounded_repair
diagram_ef4a6e66558e,case_12_business_process_outsourcing_bpo_management_system_2,completeness,1,1,1,DeepSeek_R1_14B,syntax_grounded_repair
diagram_ef4a6e66558e,case_12_business_process_outsourcing_bpo_management_system_2,correctness,1,1,1,DeepSeek_R1_14B,syntax_grounded_repair
diagram_ef4a6e66558e,case_12_business_process_outsourcing_bpo_management_system_2,understandability,1,2,,DeepSeek_R1_14B,syntax_grounded_repair
diagram_ef4a6e66558e,case_12_business_process_outsourcing_bpo_management_system_2,terminological_alignment,1,1,1,DeepSeek_R1_14B,syntax_grounded_repair
diagram_efba21df0a1b,case_59_atm_1,completeness,3,5,1,Qwen_2.5_7B,syntax_grounded_repair
diagram_efba21df0a1b,case_59_atm_1,correctness,4,2,,Qwen_2.5_7B,syntax_grounded_repair
diagram_efba21df0a1b,case_59_atm_1,understandability,5,5,,Qwen_2.5_7B,syntax_grounded_repair
diagram_efba21df0a1b,case_59_atm_1,terminological_alignment,3,2,1,Qwen_2.5_7B,syntax_grounded_repair
diagram_f69cc3a905fd,case_47_safehome_security_function,completeness,2,3,3,DeepSeek_R1_14B,syntax_grounded_repair
diagram_f69cc3a905fd,case_47_safehome_security_function,correctness,3,2,3,DeepSeek_R1_14B,syntax_grounded_repair
diagram_f69cc3a905fd,case_47_safehome_security_function,understandability,4,4,4,DeepSeek_R1_14B,syntax_grounded_repair
diagram_f69cc3a905fd,case_47_safehome_security_function,terminological_alignment,4,2,5,DeepSeek_R1_14B,syntax_grounded_repair
diagram_f966f7b40b98,case_80_staff_member_class,completeness,1,2,1,DeepSeek_R1_14B,syntax_grounded_repair
diagram_f966f7b40b98,case_80_staff_member_class,correctness,1,1,,DeepSeek_R1_14B,syntax_grounded_repair
diagram_f966f7b40b98,case_80_staff_member_class,understandability,2,4,,DeepSeek_R1_14B,syntax_grounded_repair
diagram_f966f7b40b98,case_80_staff_member_class,terminological_alignment,1,2,,DeepSeek_R1_14B,syntax_grounded_repair
diagram_fe08fb11dae6,case_18_digidoclocker,completeness,5,4,5,Llama_3.1_8B,syntax_grounded_repair
diagram_fe08fb11dae6,case_18_digidoclocker,correctness,5,3,4,Llama_3.1_8B,syntax_grounded_repair
diagram_fe08fb11dae6,case_18_digidoclocker,understandability,5,5,4,Llama_3.1_8B,syntax_grounded_repair
diagram_fe08fb11dae6,case_18_digidoclocker,terminological_alignment,5,4,4,Llama_3.1_8B,syntax_grounded_repair
