case_name,llm_name,old_name,new_name,source_path
case_16_weather_monitoring_system,DeepSeek R1 14B,diagram_A.png,DeepSeek_R1_14B__syntax_grounded_repair.png,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_16_weather_monitoring_system/diagram.puml
case_16_weather_monitoring_system,DeepSeek R1 14B,diagram_A.puml,DeepSeek_R1_14B__syntax_grounded_repair.puml,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_16_weather_monitoring_system/diagram.puml
case_16_weather_monitoring_system,Mistral,diagram_B.png,Mistral__syntax_grounded_repair.png,valid_diagrams/Mistral/syntax_grounded_repair/case_16_weather_monitoring_system/diagram.puml
case_16_weather_monitoring_system,Mistral,diagram_B.puml,Mistral__syntax_grounded_repair.puml,valid_diagrams/Mistral/syntax_grounded_repair/case_16_weather_monitoring_system/diagram.puml
case_16_weather_monitoring_system,Qwen 2.5 7B Instruct,diagram_C.png,Qwen_2.5_7B__syntax_grounded_repair.png,results/plantuml_pipeline/runs/open_source__qwen25_7b_instruct__rag_validation_generator_critic_repair__syntax_grounded_original_rag/case_16_weather_monitoring_system/run_01.puml
case_16_weather_monitoring_system,Qwen 2.5 7B Instruct,diagram_C.puml,Qwen_2.5_7B__syntax_grounded_repair.puml,results/plantuml_pipeline/runs/open_source__qwen25_7b_instruct__rag_validation_generator_critic_repair__syntax_grounded_original_rag/case_16_weather_monitoring_system/run_01.puml
case_18_digidoclocker,Llama 3.1 8B Instruct,diagram_A.png,Llama_3.1_8B__syntax_grounded_repair.png,valid_diagrams/Llama_3.1_8B/syntax_grounded_repair/case_18_digidoclocker/diagram.puml
case_18_digidoclocker,Llama 3.1 8B Instruct,diagram_A.puml,Llama_3.1_8B__syntax_grounded_repair.puml,valid_diagrams/Llama_3.1_8B/syntax_grounded_repair/case_18_digidoclocker/diagram.puml
case_28_ott_based_system_mini_reel,DeepSeek R1 14B,diagram_A.png,DeepSeek_R1_14B__syntax_grounded_repair.png,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_28_ott_based_system_mini_reel/diagram.puml
case_28_ott_based_system_mini_reel,DeepSeek R1 14B,diagram_A.puml,DeepSeek_R1_14B__syntax_grounded_repair.puml,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_28_ott_based_system_mini_reel/diagram.puml
case_28_ott_based_system_mini_reel,Llama 3.1 8B Instruct,diagram_B.png,Llama_3.1_8B__syntax_grounded_repair.png,valid_diagrams/Llama_3.1_8B/syntax_grounded_repair/case_28_ott_based_system_mini_reel/diagram.puml
case_28_ott_based_system_mini_reel,Llama 3.1 8B Instruct,diagram_B.puml,Llama_3.1_8B__syntax_grounded_repair.puml,valid_diagrams/Llama_3.1_8B/syntax_grounded_repair/case_28_ott_based_system_mini_reel/diagram.puml
case_32_e_visa_processing_and_follow_up_system,DeepSeek R1 14B,diagram_A.png,DeepSeek_R1_14B__syntax_grounded_repair.png,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_32_e_visa_processing_and_follow_up_system/diagram.puml
case_32_e_visa_processing_and_follow_up_system,DeepSeek R1 14B,diagram_A.puml,DeepSeek_R1_14B__syntax_grounded_repair.puml,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_32_e_visa_processing_and_follow_up_system/diagram.puml
case_32_e_visa_processing_and_follow_up_system,Mistral,diagram_B.png,Mistral__syntax_grounded_repair.png,valid_diagrams/Mistral/syntax_grounded_repair/case_32_e_visa_processing_and_follow_up_system/diagram.puml
case_32_e_visa_processing_and_follow_up_system,Mistral,diagram_B.puml,Mistral__syntax_grounded_repair.puml,valid_diagrams/Mistral/syntax_grounded_repair/case_32_e_visa_processing_and_follow_up_system/diagram.puml
case_33_farm_management_system,Llama 3.1 8B Instruct,diagram_A.png,Llama_3.1_8B__syntax_grounded_repair.png,valid_diagrams/Llama_3.1_8B/syntax_grounded_repair/case_33_farm_management_system/diagram.puml
case_33_farm_management_system,Llama 3.1 8B Instruct,diagram_A.puml,Llama_3.1_8B__syntax_grounded_repair.puml,valid_diagrams/Llama_3.1_8B/syntax_grounded_repair/case_33_farm_management_system/diagram.puml
case_34_green_rides,DeepSeek R1 14B,diagram_A.png,DeepSeek_R1_14B__syntax_grounded_repair.png,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_34_green_rides/diagram.puml
case_34_green_rides,DeepSeek R1 14B,diagram_A.puml,DeepSeek_R1_14B__syntax_grounded_repair.puml,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_34_green_rides/diagram.puml
case_34_green_rides,Qwen 2.5 7B Instruct,diagram_B.png,Qwen_2.5_7B__syntax_grounded_repair.png,results/plantuml_pipeline/runs/open_source__qwen25_7b_instruct__rag_validation_generator_critic_repair__syntax_grounded_original_rag/case_34_green_rides/run_01.puml
case_34_green_rides,Qwen 2.5 7B Instruct,diagram_B.puml,Qwen_2.5_7B__syntax_grounded_repair.puml,results/plantuml_pipeline/runs/open_source__qwen25_7b_instruct__rag_validation_generator_critic_repair__syntax_grounded_original_rag/case_34_green_rides/run_01.puml
case_37_online_quiz_system,DeepSeek R1 14B,diagram_A.png,DeepSeek_R1_14B__syntax_grounded_repair.png,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_37_online_quiz_system/diagram.puml
case_37_online_quiz_system,DeepSeek R1 14B,diagram_A.puml,DeepSeek_R1_14B__syntax_grounded_repair.puml,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_37_online_quiz_system/diagram.puml
case_37_online_quiz_system,Qwen 2.5 7B Instruct,diagram_B.png,Qwen_2.5_7B__syntax_grounded_repair.png,results/plantuml_pipeline/runs/open_source__qwen25_7b_instruct__rag_validation_generator_critic_repair__syntax_grounded_original_rag/case_37_online_quiz_system/run_01.puml
case_37_online_quiz_system,Qwen 2.5 7B Instruct,diagram_B.puml,Qwen_2.5_7B__syntax_grounded_repair.puml,results/plantuml_pipeline/runs/open_source__qwen25_7b_instruct__rag_validation_generator_critic_repair__syntax_grounded_original_rag/case_37_online_quiz_system/run_01.puml
case_39_website_development,DeepSeek R1 14B,diagram_A.png,DeepSeek_R1_14B__syntax_grounded_repair.png,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_39_website_development/diagram.puml
case_39_website_development,DeepSeek R1 14B,diagram_A.puml,DeepSeek_R1_14B__syntax_grounded_repair.puml,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_39_website_development/diagram.puml
case_39_website_development,Mistral,diagram_B.png,Mistral__syntax_grounded_repair.png,valid_diagrams/Mistral/syntax_grounded_repair/case_39_website_development/diagram.puml
case_39_website_development,Mistral,diagram_B.puml,Mistral__syntax_grounded_repair.puml,valid_diagrams/Mistral/syntax_grounded_repair/case_39_website_development/diagram.puml
case_41_video_suggestion_system,Llama 3.1 8B Instruct,diagram_A.png,Llama_3.1_8B__syntax_grounded_repair.png,valid_diagrams/Llama_3.1_8B/syntax_grounded_repair/case_41_video_suggestion_system/diagram.puml
case_41_video_suggestion_system,Llama 3.1 8B Instruct,diagram_A.puml,Llama_3.1_8B__syntax_grounded_repair.puml,valid_diagrams/Llama_3.1_8B/syntax_grounded_repair/case_41_video_suggestion_system/diagram.puml
case_45_alarm_clock,Llama 3.1 8B Instruct,diagram_A.png,Llama_3.1_8B__syntax_grounded_repair.png,valid_diagrams/Llama_3.1_8B/syntax_grounded_repair/case_45_alarm_clock/diagram.puml
case_45_alarm_clock,Llama 3.1 8B Instruct,diagram_A.puml,Llama_3.1_8B__syntax_grounded_repair.puml,valid_diagrams/Llama_3.1_8B/syntax_grounded_repair/case_45_alarm_clock/diagram.puml
case_46_digital_watch,DeepSeek R1 14B,diagram_A.png,DeepSeek_R1_14B__syntax_grounded_repair.png,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_46_digital_watch/diagram.puml
case_46_digital_watch,DeepSeek R1 14B,diagram_A.puml,DeepSeek_R1_14B__syntax_grounded_repair.puml,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_46_digital_watch/diagram.puml
case_46_digital_watch,Qwen 2.5 7B Instruct,diagram_B.png,Qwen_2.5_7B__syntax_grounded_repair.png,results/plantuml_pipeline/runs/open_source__qwen25_7b_instruct__rag_validation_generator_critic_repair__syntax_grounded_original_rag/case_46_digital_watch/run_01.puml
case_46_digital_watch,Qwen 2.5 7B Instruct,diagram_B.puml,Qwen_2.5_7B__syntax_grounded_repair.puml,results/plantuml_pipeline/runs/open_source__qwen25_7b_instruct__rag_validation_generator_critic_repair__syntax_grounded_original_rag/case_46_digital_watch/run_01.puml
case_47_safehome_security_function,DeepSeek R1 14B,diagram_A.png,DeepSeek_R1_14B__syntax_grounded_repair.png,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_47_safehome_security_function/diagram.puml
case_47_safehome_security_function,DeepSeek R1 14B,diagram_A.puml,DeepSeek_R1_14B__syntax_grounded_repair.puml,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_47_safehome_security_function/diagram.puml
case_47_safehome_security_function,Qwen 2.5 7B Instruct,diagram_B.png,Qwen_2.5_7B__syntax_grounded_repair.png,results/plantuml_pipeline/runs/open_source__qwen25_7b_instruct__rag_validation_generator_critic_repair__syntax_grounded_original_rag/case_47_safehome_security_function/run_01.puml
case_47_safehome_security_function,Qwen 2.5 7B Instruct,diagram_B.puml,Qwen_2.5_7B__syntax_grounded_repair.puml,results/plantuml_pipeline/runs/open_source__qwen25_7b_instruct__rag_validation_generator_critic_repair__syntax_grounded_original_rag/case_47_safehome_security_function/run_01.puml
case_51_process_sale,Llama 3.1 8B Instruct,diagram_A.png,Llama_3.1_8B__syntax_grounded_repair.png,valid_diagrams/Llama_3.1_8B/syntax_grounded_repair/case_51_process_sale/diagram.puml
case_51_process_sale,Llama 3.1 8B Instruct,diagram_A.puml,Llama_3.1_8B__syntax_grounded_repair.puml,valid_diagrams/Llama_3.1_8B/syntax_grounded_repair/case_51_process_sale/diagram.puml
case_52_microwave_oven,DeepSeek R1 14B,diagram_A.png,DeepSeek_R1_14B__syntax_grounded_repair.png,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_52_microwave_oven/diagram.puml
case_52_microwave_oven,DeepSeek R1 14B,diagram_A.puml,DeepSeek_R1_14B__syntax_grounded_repair.puml,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_52_microwave_oven/diagram.puml
case_54_weather_station_system,DeepSeek R1 14B,diagram_A.png,DeepSeek_R1_14B__syntax_grounded_repair.png,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_54_weather_station_system/diagram.puml
case_54_weather_station_system,DeepSeek R1 14B,diagram_A.puml,DeepSeek_R1_14B__syntax_grounded_repair.puml,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_54_weather_station_system/diagram.puml
case_54_weather_station_system,Llama 3.1 8B Instruct,diagram_B.png,Llama_3.1_8B__syntax_grounded_repair.png,valid_diagrams/Llama_3.1_8B/syntax_grounded_repair/case_54_weather_station_system/diagram.puml
case_54_weather_station_system,Llama 3.1 8B Instruct,diagram_B.puml,Llama_3.1_8B__syntax_grounded_repair.puml,valid_diagrams/Llama_3.1_8B/syntax_grounded_repair/case_54_weather_station_system/diagram.puml
case_59_atm_1,DeepSeek R1 14B,diagram_A.png,DeepSeek_R1_14B__syntax_grounded_repair.png,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_59_atm_1/diagram.puml
case_59_atm_1,DeepSeek R1 14B,diagram_A.puml,DeepSeek_R1_14B__syntax_grounded_repair.puml,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_59_atm_1/diagram.puml
case_59_atm_1,Llama 3.1 8B Instruct,diagram_B.png,Llama_3.1_8B__syntax_grounded_repair.png,valid_diagrams/Llama_3.1_8B/syntax_grounded_repair/case_59_atm_1/diagram.puml
case_59_atm_1,Llama 3.1 8B Instruct,diagram_B.puml,Llama_3.1_8B__syntax_grounded_repair.puml,valid_diagrams/Llama_3.1_8B/syntax_grounded_repair/case_59_atm_1/diagram.puml
case_59_atm_1,Qwen 2.5 7B Instruct,diagram_C.png,Qwen_2.5_7B__syntax_grounded_repair.png,results/plantuml_pipeline/runs/open_source__qwen25_7b_instruct__rag_validation_generator_critic_repair__syntax_grounded_original_rag/case_59_atm_1/run_01.puml
case_59_atm_1,Qwen 2.5 7B Instruct,diagram_C.puml,Qwen_2.5_7B__syntax_grounded_repair.puml,results/plantuml_pipeline/runs/open_source__qwen25_7b_instruct__rag_validation_generator_critic_repair__syntax_grounded_original_rag/case_59_atm_1/run_01.puml
case_65_plane,Mistral,diagram_A.png,Mistral__syntax_grounded_repair.png,valid_diagrams/Mistral/syntax_grounded_repair/case_65_plane/diagram.puml
case_65_plane,Mistral,diagram_A.puml,Mistral__syntax_grounded_repair.puml,valid_diagrams/Mistral/syntax_grounded_repair/case_65_plane/diagram.puml
case_67_atm_many_scenarios_1,Qwen 2.5 7B Instruct,diagram_A.png,Qwen_2.5_7B__syntax_grounded_repair.png,results/plantuml_pipeline/runs/open_source__qwen25_7b_instruct__rag_validation_generator_critic_repair__syntax_grounded_original_rag/case_67_atm_many_scenarios_1/run_01.puml
case_67_atm_many_scenarios_1,Qwen 2.5 7B Instruct,diagram_A.puml,Qwen_2.5_7B__syntax_grounded_repair.puml,results/plantuml_pipeline/runs/open_source__qwen25_7b_instruct__rag_validation_generator_critic_repair__syntax_grounded_original_rag/case_67_atm_many_scenarios_1/run_01.puml
case_70_atm_many_scenarios_7,DeepSeek R1 14B,diagram_A.png,DeepSeek_R1_14B__syntax_grounded_repair.png,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_70_atm_many_scenarios_7/diagram.puml
case_70_atm_many_scenarios_7,DeepSeek R1 14B,diagram_A.puml,DeepSeek_R1_14B__syntax_grounded_repair.puml,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_70_atm_many_scenarios_7/diagram.puml
case_78_class_campaign_version_2,Mistral,diagram_A.png,Mistral__syntax_grounded_repair.png,valid_diagrams/Mistral/syntax_grounded_repair/case_78_class_campaign_version_2/diagram.puml
case_78_class_campaign_version_2,Mistral,diagram_A.puml,Mistral__syntax_grounded_repair.puml,valid_diagrams/Mistral/syntax_grounded_repair/case_78_class_campaign_version_2/diagram.puml
case_80_staff_member_class,DeepSeek R1 14B,diagram_A.png,DeepSeek_R1_14B__syntax_grounded_repair.png,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_80_staff_member_class/diagram.puml
case_80_staff_member_class,DeepSeek R1 14B,diagram_A.puml,DeepSeek_R1_14B__syntax_grounded_repair.puml,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_80_staff_member_class/diagram.puml
case_80_staff_member_class,Mistral,diagram_B.png,Mistral__syntax_grounded_repair.png,valid_diagrams/Mistral/syntax_grounded_repair/case_80_staff_member_class/diagram.puml
case_80_staff_member_class,Mistral,diagram_B.puml,Mistral__syntax_grounded_repair.puml,valid_diagrams/Mistral/syntax_grounded_repair/case_80_staff_member_class/diagram.puml
