assigned_folder,response_count_group,case_number,diagram_number,response_index_for_diagram,evaluator_id,excel_row,llm_used,method,renamed_evaluation_file,folder_relative_path,original_unbiased_diagram_name,original_unbiased_relative_path,completeness,correctness,understandability,terminology_alignment,completeness_justification,correctness_justification,understandability_justification,terminology_alignment_justification
Evaluation,2_responses,33,A,2,23,133,DeepSeek R1 14B,Few-shot,a.png,Evaluation/case_33_farm_management_system/a.png,deepseek_r1_14b__few_shot__run_01.png,results/plantuml_pipeline/valid_diagrams_by_case/case_33_farm_management_system/deepseek_r1_14b__few_shot__run_01.png,3,3,4,5,"user inputs (location, pest control photo etc.) missing","system should ask for location, photo etc. user input where needed",the diagram could be more readable,N/A
Evaluation,2_responses,34,A,1,6,13,Llama 3.1 8B Instruct,Few-shot,a.png,Evaluation/case_34_green_rides/a.png,llama_3_1_8b_instruct__few_shot__run_01.png,results/plantuml_pipeline/valid_diagrams_by_case/case_34_green_rides/llama_3_1_8b_instruct__few_shot__run_01.png,5,5,5,5,N/A,N/A,N/A,N/A
Evaluation,2_responses,34,A,2,4,115,Llama 3.1 8B Instruct,Few-shot,a.png,Evaluation/case_34_green_rides/a.png,llama_3_1_8b_instruct__few_shot__run_01.png,results/plantuml_pipeline/valid_diagrams_by_case/case_34_green_rides/llama_3_1_8b_instruct__few_shot__run_01.png,4,4,5,5,some states are missing,some logic is missing,N/A,N/A
Evaluation,2_responses,34,B,1,6,63,Qwen 2.5 7B Instruct,Few-shot,b.png,Evaluation/case_34_green_rides/b.png,qwen_2_5_7b_instruct__few_shot__run_01.png,results/plantuml_pipeline/valid_diagrams_by_case/case_34_green_rides/qwen_2_5_7b_instruct__few_shot__run_01.png,5,4,5,5,N/A,Accident -> Feedback transition should not exist.,N/A,N/A
Evaluation,2_responses,34,B,2,4,110,Qwen 2.5 7B Instruct,Few-shot,b.png,Evaluation/case_34_green_rides/b.png,qwen_2_5_7b_instruct__few_shot__run_01.png,results/plantuml_pipeline/valid_diagrams_by_case/case_34_green_rides/qwen_2_5_7b_instruct__few_shot__run_01.png,4,4,5,5,Some transitions are missing,Some logic are not aligned with the description,N/A,N/A
Evaluation,2_responses,37,A,1,6,64,Llama 3.1 8B Instruct,RAG,a.png,Evaluation/case_37_online_quiz_system/a.png,llama_3_1_8b_instruct__rag__run_01.png,results/plantuml_pipeline/valid_diagrams_by_case/case_37_online_quiz_system/llama_3_1_8b_instruct__rag__run_01.png,3,3,4,5,Most of the transitions are missing,"Some transitions of teachers lack sound logic, and there is a lack of back transitions.",Transitions are not understandable since transition functions are missing.,N/A
Evaluation,2_responses,37,A,2,4,116,Llama 3.1 8B Instruct,RAG,a.png,Evaluation/case_37_online_quiz_system/a.png,llama_3_1_8b_instruct__rag__run_01.png,results/plantuml_pipeline/valid_diagrams_by_case/case_37_online_quiz_system/llama_3_1_8b_instruct__rag__run_01.png,3,5,5,5,Most of guards conditions are missing,N/A,N/A,N/A
Evaluation,2_responses,39,A,1,6,65,DeepSeek R1 14B,RAG,a.png,Evaluation/case_39_website_development/a.png,deepseek_r1_14b__rag__run_01.png,results/plantuml_pipeline/valid_diagrams_by_case/case_39_website_development/deepseek_r1_14b__rag__run_01.png,1,3,4,5,"Seems like a user flow rather than a state transition diagram as the state names feel like current page name. Additionally, no transitions or guards are present.",The flow seems logically correct even though it looks a linear activity diagram rather than a proper state diagram with missing transitions and events.,understandable but transitions are not clear.,N/A
Evaluation,2_responses,39,A,2,23,134,DeepSeek R1 14B,RAG,a.png,Evaluation/case_39_website_development/a.png,deepseek_r1_14b__rag__run_01.png,results/plantuml_pipeline/valid_diagrams_by_case/case_39_website_development/deepseek_r1_14b__rag__run_01.png,5,4,5,5,,not all paths end,N/A,N/A
Evaluation,2_responses,41,A,1,14,2,DeepSeek R1 14B,RAG,a.png,Evaluation/case_41_video_suggestion_system/a.png,deepseek_r1_14b__rag__run_01.png,results/plantuml_pipeline/valid_diagrams_by_case/case_41_video_suggestion_system/deepseek_r1_14b__rag__run_01.png,4,3,3,4,Absence of guards,Absence of transition labels,State names are a bit vague and should be extended. No transition labels present,State names almost match requirements although is a bit vague. Transition labels completely absent.
Evaluation,2_responses,41,A,2,10,21,DeepSeek R1 14B,RAG,a.png,Evaluation/case_41_video_suggestion_system/a.png,deepseek_r1_14b__rag__run_01.png,results/plantuml_pipeline/valid_diagrams_by_case/case_41_video_suggestion_system/deepseek_r1_14b__rag__run_01.png,4,5,5,5,"Missing 'OR' cases at important transition points: if the user is not identified as a valid user, go to the end node. Another case, if the target video is not found, then show some alternative message or indication.",N/A,N/A,N/A
Evaluation,2_responses,41,B,1,10,22,Llama 3.1 8B Instruct,RAG,b.png,Evaluation/case_41_video_suggestion_system/b.png,llama_3_1_8b_instruct__rag__run_01.png,results/plantuml_pipeline/valid_diagrams_by_case/case_41_video_suggestion_system/llama_3_1_8b_instruct__rag__run_01.png,2,2,1,4,All actions are clustered inside one node. Therefore the flow seems incomplete or lacks understandibility for the transition of states. The actions should have been distinguished in individual nodes and could enhance understandibility of state transition,"If considered in terms of whether this is a complete diagram, then it gets some points as it has a starting and ending state. But in the case of representing the requirement, it fails to visualize the state transitions of actions.","Unable to understand how actions are being processed one after another, as all the actions are put inside the same state node.","quite similar to the terms stated in the requirement text, but could be improved in a concise form."
Evaluation,2_responses,41,B,2,23,136,Llama 3.1 8B Instruct,RAG,b.png,Evaluation/case_41_video_suggestion_system/b.png,llama_3_1_8b_instruct__rag__run_01.png,results/plantuml_pipeline/valid_diagrams_by_case/case_41_video_suggestion_system/llama_3_1_8b_instruct__rag__run_01.png,2,5,1,5,there could be multiple states,N/A,too much happening in a single state making the diagram hard to read,N/A
Evaluation,2_responses,41,C,1,14,4,Qwen 2.5 7B Instruct,RAG,c.png,Evaluation/case_41_video_suggestion_system/c.png,qwen_2_5_7b_instruct__rag__run_01.png,results/plantuml_pipeline/valid_diagrams_by_case/case_41_video_suggestion_system/qwen_2_5_7b_instruct__rag__run_01.png,3,4,5,5,One mega state is shown with other states being its sub-state. The megastate doesn't end.,The creation of the mega state makes it harder for a logical progression. But transitions now have labels. There is state and transition repetition in step 2 at gather videos and video collection.,N/A,N/A
Evaluation,2_responses,41,C,2,10,23,Qwen 2.5 7B Instruct,RAG,c.png,Evaluation/case_41_video_suggestion_system/c.png,qwen_2_5_7b_instruct__rag__run_01.png,results/plantuml_pipeline/valid_diagrams_by_case/case_41_video_suggestion_system/qwen_2_5_7b_instruct__rag__run_01.png,3,4,5,2,Missing user identification state before processing the request.,"Except the state of identifying the user, the rest of the states are logically arranged.",N/A,Uses some terminologies that do not align/ found in the requirement text. This might create confusion.
Evaluation,2_responses,45,A,1,14,5,Llama 3.1 8B Instruct,RAG,a.png,Evaluation/case_45_alarm_clock/a.png,llama_3_1_8b_instruct__rag__run_01.png,results/plantuml_pipeline/valid_diagrams_by_case/case_45_alarm_clock/llama_3_1_8b_instruct__rag__run_01.png,5,3,5,3,N/A,There is no such state as idle state as per requirement. There is just the active state. There is no alarm ringing state.,N/A,Idle state not present in requirement. There is no alarm ringing state.
Evaluation,2_responses,45,A,2,10,24,Llama 3.1 8B Instruct,RAG,a.png,Evaluation/case_45_alarm_clock/a.png,llama_3_1_8b_instruct__rag__run_01.png,results/plantuml_pipeline/valid_diagrams_by_case/case_45_alarm_clock/llama_3_1_8b_instruct__rag__run_01.png,5,4,5,2,N/A,"The requirement does not specify any state called ""idle."" The requirement says either the alarm is active or off. If time is set, then it remains active and then rings if the time matches. So, the ""Idle"" state does not fit the logical transition according to the requirement.",N/A,"The term ""idle"" does not match the requirement. There are two states mentioned in the requirement—Off or Active. 
Secondly, when the alarm time matches the current time, it goes to ""Ring"" state according to the requirement, not the ""Active alarm"" state."
Evaluation,2_responses,45,B,1,14,6,Qwen 2.5 7B Instruct,Few-shot,b.png,Evaluation/case_45_alarm_clock/b.png,qwen_2_5_7b_instruct__few_shot__run_01.png,results/plantuml_pipeline/valid_diagrams_by_case/case_45_alarm_clock/qwen_2_5_7b_instruct__few_shot__run_01.png,5,5,5,4,N/A,N/A,N/A,User keyword not used in state names and text
Evaluation,2_responses,45,B,2,10,25,Qwen 2.5 7B Instruct,Few-shot,b.png,Evaluation/case_45_alarm_clock/b.png,qwen_2_5_7b_instruct__few_shot__run_01.png,results/plantuml_pipeline/valid_diagrams_by_case/case_45_alarm_clock/qwen_2_5_7b_instruct__few_shot__run_01.png,4,4,5,5,"One case of transition is missing in the diagram- he system shall ensure that the user shall be able to turn off the activated alarm.

The diagram shows no such path from ""Alarm Set"" to ""Off"" if the user wants to turn the alarm off before ringing.","Missed one logical behavior—the path from ""Alarm Set"" to ""Off"" if the user wants to turn off the alarm before it reaches the time to ring.",N/A,N/A
Evaluation,2_responses,47,A,1,14,7,Llama 3.1 8B Instruct,Few-shot,a.png,Evaluation/case_47_safehome_security_function/a.png,llama_3_1_8b_instruct__few_shot__run_01.png,results/plantuml_pipeline/valid_diagrams_by_case/case_47_safehome_security_function/llama_3_1_8b_instruct__few_shot__run_01.png,3,2,4,5,"Activate, turn off and reset doesn't lead to any end state. Cannot return from monitoring state. Normal state is the active state as mentioned previously","There is gap to fill in from the requirements as there is no end state of several states mentioned. LLM also did not understand if the normal state is the active state mentioned previously, and it is a bit hard to guess if the activate, turn off and reset count as normal. Ready state can also directly lead to monitoring which is not in requirement.",A bit hard to follow the progression and LLM took a lot of liberty here due to gap in requirement,N/A
Evaluation,2_responses,47,A,2,10,26,Llama 3.1 8B Instruct,Few-shot,a.png,Evaluation/case_47_safehome_security_function/a.png,llama_3_1_8b_instruct__few_shot__run_01.png,results/plantuml_pipeline/valid_diagrams_by_case/case_47_safehome_security_function/llama_3_1_8b_instruct__few_shot__run_01.png,3,4,4,5,"Missing transition in case of - The system shall continue monitoring if it turns out to be a false alarm or the time ends.
The current diagram transits the system to ""Normal"" instead of ""Monitoring""
Again, the system only should allow monitoring if it is activated. But the diagram shows a state tansition from ""Ready"" to ""Monitoring""","One misleading logic exists- The current diagram transits the system to ""Normal"" instead of ""Monitoring""
Again, the system only should allow monitoring if it is activated. But the diagram shows a state tansition from ""Ready"" to ""Monitoring""","Redundant loops with same labeling of state transition in case of ""Ready"" -> ""Reset"", ""Ready""-> ""Turn Off""",N/A
Evaluation,2_responses,47,B,1,14,8,Llama 3.1 8B Instruct,RAG,b.png,Evaluation/case_47_safehome_security_function/b.png,llama_3_1_8b_instruct__rag__run_01.png,results/plantuml_pipeline/valid_diagrams_by_case/case_47_safehome_security_function/llama_3_1_8b_instruct__rag__run_01.png,3,2,4,3,"No back transition, some states cannot lead to end states","Directly to power off is there is a system issue, not after ready. Reset can lead again to monitoring. Activate leads to monitoring. Password trigger absent. Deactovate bittpm o,agomed","Mostly understandable, although LLM again took liberty and made some awkward transitions","Its not deactivate, its turn off"
Evaluation,2_responses,47,B,2,10,27,Llama 3.1 8B Instruct,RAG,b.png,Evaluation/case_47_safehome_security_function/b.png,llama_3_1_8b_instruct__rag__run_01.png,results/plantuml_pipeline/valid_diagrams_by_case/case_47_safehome_security_function/llama_3_1_8b_instruct__rag__run_01.png,4,3,4,4,"Lacks some states and transitions such as- The system shall stop and return to normal when the user enters the password at any time

the state= Normal
transition case= user enters password

The system shall stop if there is a problem during startup.
No transition made for the system to stop if there is a problem during startup","Missing some behavior: Lacks some states and transitions such as- The system shall stop and return to normal when the user enters the password at any time

the state= Normal
transition case= user enters password

The system shall stop if there is a problem during startup.
No transition made for the system to stop if there is a problem during startup

Incorrect behavior: Monitoring state transition occur from the Activated state, but the diagram showing it from Ready state to Monitoring state","Some transitions seem like dead end, lacking the understandibility of next step/ phase
such as- Activate, Deactivate","Lacks some terminology: Normal, User password, Starting problem
Adding irrelevant states with irrelevant terminology: Deactivate, Power off"
Evaluation,2_responses,51,A,1,6,67,DeepSeek R1 14B,Few-shot,a.png,Evaluation/case_51_process_sale/a.png,deepseek_r1_14b__few_shot__run_01.png,results/plantuml_pipeline/valid_diagrams_by_case/case_51_process_sale/deepseek_r1_14b__few_shot__run_01.png,5,5,5,5,N/A,N/A,N/A,N/A
Evaluation,2_responses,51,A,2,4,158,DeepSeek R1 14B,Few-shot,a.png,Evaluation/case_51_process_sale/a.png,deepseek_r1_14b__few_shot__run_01.png,results/plantuml_pipeline/valid_diagrams_by_case/case_51_process_sale/deepseek_r1_14b__few_shot__run_01.png,5,4,5,5,N/A,There is no mention in description what will happen if the payment is declined.,N/A,N/A
Evaluation,2_responses,54,A,1,7,14,DeepSeek R1 14B,One-shot,a.png,Evaluation/case_54_weather_station_system/a.png,deepseek_r1_14b__one_shot__run_01.png,results/plantuml_pipeline/valid_diagrams_by_case/case_54_weather_station_system/deepseek_r1_14b__one_shot__run_01.png,3,3,3,4,"No transition from Shutdown to Configuration Mode, Summary or Status request to Running","Several transitions have incorrect source/target or contradict the requirements. For example, the diagram shows Configuration Mode being entered from Running, but the requirement states configuration mode is entered from the shut down condition, not from running","The diagram is generally readable but has layout issues. The label Remote control ? on the transition to Controlled Mode includes an unexplained question mark, which is confusing","Most terms match the requirement, with minor deviations."
Evaluation,2_responses,54,A,2,5,30,DeepSeek R1 14B,One-shot,a.png,Evaluation/case_54_weather_station_system/a.png,deepseek_r1_14b__one_shot__run_01.png,results/plantuml_pipeline/valid_diagrams_by_case/case_54_weather_station_system/deepseek_r1_14b__one_shot__run_01.png,4,3,3,4,"Most required states and transitions are present. However, activities such as data collection,
summary generation, and status checking are represented only as transitions rather than
explicit states or clearly defined behaviors","While the main transitions (shutdown ↔ running, configuration flow, controlled mode) are
generally aligned, there are logical inconsistencies. In particular, the handling of operational
activities (data collection, summary request, status request) is unclear and merged into a single
transition path.","The diagram is somewhat difficult to follow due to overlapping transitions and dense labeling
around the “Running” state. Multiple behaviors are compressed into a single line, reducing
clarity and making interpretation less straightforward.","Most state names and transitions (e.g., “Shutdown,” “Running,” “Configuration Mode”) align well
with the requirements. However, some labels like “Remote control ?” are ambiguous and not
clearly aligned with the phrasing used in the requirements."
Evaluation,2_responses,59,A,1,7,15,DeepSeek R1 14B,One-shot,a.png,Evaluation/case_59_atm_1/a.png,deepseek_r1_14b__one_shot__run_01.png,results/plantuml_pipeline/valid_diagrams_by_case/case_59_atm_1/deepseek_r1_14b__one_shot__run_01.png,4,4,4,3,"""canceltransaction"" state does not show a ""return card"" action or a subsequent state representing card return","""canceltransaction"" has no outgoing transition to the final state, missing a proper termination state in cancel scenario","State names are concatenated without spaces, making them harder to read at a glance","State names capture the right concepts but deviate from the requirement's wording such as ""choose or enter the amount"" is not present instead it says ""selectamount"""
Evaluation,2_responses,59,A,2,5,31,DeepSeek R1 14B,One-shot,a.png,Evaluation/case_59_atm_1/a.png,deepseek_r1_14b__one_shot__run_01.png,results/plantuml_pipeline/valid_diagrams_by_case/case_59_atm_1/deepseek_r1_14b__one_shot__run_01.png,4,4,4,3,"The diagram includes the main states for selecting predefined and custom amounts,
confirmation, and cancellation paths. However, the requirement that the system returns the card
after cancellation is not explicitly represented as a state or transition.","The diagram correctly models the ability to select or enter amounts and allows cancellation from
multiple points. However, cancellation leads back to “start” or a generic cancel state without
modeling the required behavior of stopping the transaction and returning the card.","The diagram is generally readable, but the presence of multiple crossing transitions and
somewhat inconsistent flow (e.g., cancel paths looping back to start) reduces clarity slightly.","Several state names (e.g., “selectamount”, “predefinedamountselected”,
“customamountentered”) do not closely follow the phrasing used in the requirements and
appear concatenated or implementation-oriented"
Evaluation,2_responses,60,A,1,7,28,DeepSeek R1 14B,Few-shot,a.png,Evaluation/case_60_atm_2/a.png,deepseek_r1_14b__few_shot__run_01.png,results/plantuml_pipeline/valid_diagrams_by_case/case_60_atm_2/deepseek_r1_14b__few_shot__run_01.png,4,4,5,5,No transition from ReEnterAmount offering the choice between predefined and custom amount again. Also there is no limit on how many times user can re-enter,"The ReEnterAmount to VerifyTransaction loop implies the amount is re-entered within ReEnterAmount and immediately re-verified, but it would be more accurate to route back to SelectAmount or EnterAmount. Also it creates can create an infinite loop.",N/A,Most terms align well with the requirement. Minor deviations exist. It would be better to give it a 4.5 score
Evaluation,2_responses,60,A,2,5,36,DeepSeek R1 14B,Few-shot,a.png,Evaluation/case_60_atm_2/a.png,deepseek_r1_14b__few_shot__run_01.png,results/plantuml_pipeline/valid_diagrams_by_case/case_60_atm_2/deepseek_r1_14b__few_shot__run_01.png,4,4,5,4,"Includes the main withdrawal flow, verification, rejection handling, and final state. Minor omission is the lack of an explicit successful cash dispensing step before termination.","The overall logic is valid, but the re-entry flow is slightly unclear because the diagram directly returns to verification without explicitly showing amount entry again.",N/A,"Most labels align with the requirements, though terms like EnterAmount are slightly less precise."
Evaluation,2_responses,60,B,1,7,29,DeepSeek R1 14B,RAG,b.png,Evaluation/case_60_atm_2/b.png,deepseek_r1_14b__rag__run_01.png,results/plantuml_pipeline/valid_diagrams_by_case/case_60_atm_2/deepseek_r1_14b__rag__run_01.png,5,5,5,4,N/A,N/A,"WaitingForAmountReentry could be removed by going directly from TransactionVerification back to WaitingForAmountSelection, which would simplify the diagram",Most terms align well with the requirement. Minor deviations exist.
Evaluation,2_responses,60,B,2,5,37,DeepSeek R1 14B,RAG,b.png,Evaluation/case_60_atm_2/b.png,deepseek_r1_14b__rag__run_01.png,results/plantuml_pipeline/valid_diagrams_by_case/case_60_atm_2/deepseek_r1_14b__rag__run_01.png,5,5,5,5,N/A,N/A,N/A,N/A
Evaluation,2_responses,60,C,1,7,32,Llama 3.1 8B Instruct,Few-shot,c.png,Evaluation/case_60_atm_2/c.png,llama_3_1_8b_instruct__few_shot__run_01.png,results/plantuml_pipeline/valid_diagrams_by_case/case_60_atm_2/llama_3_1_8b_instruct__few_shot__run_01.png,3,3,4,4,"No explicit transition for choosing ""enter custom value"", the user's choice between predefined and custom is hidden inside the SelectAmount state","The ""Transaction verified"" action on the transition from SelectAmount to VerifyTransaction state is logically wrong, verification hasn't happened yet when leaving SelectAmount state. One extra state given DispenseCash.",The transition between SelectAmount and VerifyTransaction state is confusing,Most terms align with the requirement. Minor deviations exist.
Evaluation,2_responses,60,C,2,5,38,Llama 3.1 8B Instruct,Few-shot,c.png,Evaluation/case_60_atm_2/c.png,llama_3_1_8b_instruct__few_shot__run_01.png,results/plantuml_pipeline/valid_diagrams_by_case/case_60_atm_2/llama_3_1_8b_instruct__few_shot__run_01.png,4,3,4,3,"Includes the major ATM withdrawal states and rejection loop, but does not clearly separate amount selection from custom amount entry.","Transition semantics are partially incorrect, particularly the use of [Transaction verified] before verification logically occurs.","The UML entry/do/exit structure is clean, but incorrect guard placement creates some confusion in the flow.","Some terms differ from the requirement wording, such as using “verified” instead of “verify transaction” or “transaction accepted.”"
Evaluation,2_responses,60,D,1,7,35,Qwen 2.5 7B Instruct,One-shot,d.png,Evaluation/case_60_atm_2/d.png,qwen_2_5_7b_instruct__one_shot__run_01.png,results/plantuml_pipeline/valid_diagrams_by_case/case_60_atm_2/qwen_2_5_7b_instruct__one_shot__run_01.png,3,2,2,3,"No dedicated verification state. No clear transition from SelectAmount directly to CustomEntry.  Menu, Idle, Success states and power on/initialize, power off/terminate, transaction completed transitions are all beyond the requirement scope","Several transitions create logically incorrect or confusing flows that contradict the requirements. 
1. The Verified state has ""do / process transaction"", but verification should check whether the transaction is valid, not process it.
2. SelectAmount has a re-enter amount transition to ReEnter on transaction rejected transition, but rejection can't happen at SelectAmount since verification hasn't completed yet.
3. It's unclear why re-entry would go directly to verification without going through amount selection first
4. CustomEntry has a transaction rejected transition to ReEnter, again, rejection can't happen at CustomEntry
5. The flow between ReEnter, CustomEntry, and Verified creates circular paths that don't match a logical ATM workflow","The diagram is difficult to follow due to excessive states, crossing edges, and confusing flow paths. Menu and Idle add states not required by the specification, increasing complexity without adding value for this scenario.","Several terms deviate from the requirement or use different concepts. Menu, Idle, Success — terms not from the requirement."
Evaluation,2_responses,60,D,2,5,39,Qwen 2.5 7B Instruct,One-shot,d.png,Evaluation/case_60_atm_2/d.png,qwen_2_5_7b_instruct__one_shot__run_01.png,results/plantuml_pipeline/valid_diagrams_by_case/case_60_atm_2/qwen_2_5_7b_instruct__one_shot__run_01.png,4,3,3,3,Covers all required functionality and includes additional ATM operational behavior such as menu and idle states.,"Several transitions are logically inconsistent, including rejection paths occurring before verification and ambiguous looping behavior.","The diagram becomes difficult to follow due to crossing transitions, redundant paths, and mixed abstraction levels.","Some state names and concepts diverge from the requirement wording, and extra operational terminology reduces alignment."
Evaluation,2_responses,65,A,1,8,40,Llama 3.1 8B Instruct,One-shot,a.png,Evaluation/case_65_plane/a.png,llama_3_1_8b_instruct__one_shot__run_01.png,results/plantuml_pipeline/valid_diagrams_by_case/case_65_plane/llama_3_1_8b_instruct__one_shot__run_01.png,4,4,5,4,Out of Service state missing,Out of Service state missing,N/A,"There is no ""Dead state"" in the requirements"
Evaluation,2_responses,65,A,2,9,42,Llama 3.1 8B Instruct,One-shot,a.png,Evaluation/case_65_plane/a.png,llama_3_1_8b_instruct__one_shot__run_01.png,results/plantuml_pipeline/valid_diagrams_by_case/case_65_plane/llama_3_1_8b_instruct__one_shot__run_01.png,3,4,5,4,"The diagram is missing the ""Out of service"" state and its associated transitions, entirely omitting Functional Requirement 7 (FR7).","The behavior logically matches the requirements for the elements that are present, but it falls short of perfect correctness due to the omitted FR7.",N/A,"Most labels match the text perfectly, but it uses the state name ""Dead,"" which is not a term used in the requirements (FR8 states it is ""permanently withdrawn from service"")."
Evaluation,2_responses,65,B,1,8,41,Qwen 2.5 7B Instruct,RAG,b.png,Evaluation/case_65_plane/b.png,qwen_2_5_7b_instruct__rag__run_01.png,results/plantuml_pipeline/valid_diagrams_by_case/case_65_plane/qwen_2_5_7b_instruct__rag__run_01.png,3,3,4,2,A lot of transitions are wrong,"Out of service doesn't lead to end state with ""plane restored"" transition, there is no ""Historic"" state, first two transitions are completely wrong",At a glance looks convoluted,There are a lot of wrong State names and transition labels
Evaluation,2_responses,65,B,2,9,43,Qwen 2.5 7B Instruct,RAG,b.png,Evaluation/case_65_plane/b.png,qwen_2_5_7b_instruct__rag__run_01.png,results/plantuml_pipeline/valid_diagrams_by_case/case_65_plane/qwen_2_5_7b_instruct__rag__run_01.png,3,2,3,2,"The diagram is missing the self-transition for the 'Operations' state required by FR4 (""keep a plane in the 'Operations' state if it still has scheduled flights"").","The diagram contains major logical contradictions. For example, it shows ""plane serviced"" transitioning from Preparation to Maintenance (contradicting FR6), and transitioning to the final state via ""plane restored"" is completely illogical.","While the visual layout is okay, the fundamentally flawed logic, arbitrary transitions, and crossing paths make the actual lifecycle confusing to follow.","The diagram ignores much of the source text's terminology, inventing its own labels (e.g., ""plane irrelevant,"" ""plane restored,"" ""Historic"") rather than using the exact terms like ""permanently withdrawn from service""."
