source_sheet,source_excel_row,timestamp,evaluator_id,affiliation,experience,case_number,diagram_name,llm_used,method,llm_key,method_key,completeness,completeness_justification,correctness,correctness_justification,understandability,understandability_justification,terminology_alignment,terminology_alignment_justification,consent
maymuna,16,,,,,41,llama_3_1_8b_instruct__rag_rules_only__run_01,Llama 3.1 8B Instruct,RAG PlantUML/rules only,llama_3_1_8b_instruct,rag_rules_only,5.0,,5.0,,5.0,,5.0,,
maymuna,17,,,,,41,mistral__rag_examples_only__run_01,Mistral,RAG examples only,mistral,rag_examples_only,5.0,,3.0,created a compositate state where it is not needed.,4.0,the diagram makes it like request video is the only state,5.0,,
maymuna,18,,,,,41,qwen25_7b_instruct__rag_rules_only__run_01,Qwen 2.5 7B Instruct,RAG PlantUML/rules only,qwen25_7b_instruct,rag_rules_only,4.0,"missed requesting video state, also added two new state (idle and processing)",3.0,"the flow is sequential but gather different types of videos simultaneously based on the user's profile or preferences, trending videos from the user’s area, videos with similar tags, videos from similar genres, and promoted videos these should be gathers at same level.",5.0,,5.0,,
maymuna,19,,,,,45,llama_3_1_8b_instruct__rag_rules_only__run_01,Llama 3.1 8B Instruct,RAG PlantUML/rules only,llama_3_1_8b_instruct,rag_rules_only,3.0,"missing requirement the user shall be able to turn off the activated alarm
alarm ringing when matches transition not given ",3.0,"setting alarm to idle state not logical
turning off flow is not logical, the system shall remain active for the next scheduled alarm time is not properly found ",5.0,,3.0,"idle, alarmactied state name not correct",
maymuna,20,,,,,45,qwen25_7b_instruct__rag_rules_only__run_01,Qwen 2.5 7B Instruct,RAG PlantUML/rules only,qwen25_7b_instruct,rag_rules_only,4.0,"missing requirement the user shall be able to turn off the activated alarm
alarm ringing when matches transition not given ",4.0,"turning off flow is not logical, the system shall remain active for the next scheduled alarm time is not properly found ",5.0,,5.0,,
maymuna,21,,,,,47,deepseek_r1_14b__rag_rules_only__run_01,DeepSeek R1 14B,RAG PlantUML/rules only,deepseek_r1_14b,rag_rules_only,4.0,after alarm the sending alert requirement is not completly shown,4.0,ready to end not logical,5.0,,5.0,,
maymuna,22,,,,,47,qwen25_7b_instruct__rag_rules_only__run_01,Qwen 2.5 7B Instruct,RAG PlantUML/rules only,qwen25_7b_instruct,rag_rules_only,3.0,"power check to stop transition missing, instead it shows a loop not present in the requirment.
reset must be a loop not found
",3.0,"logical flow not correct, 
enter password is not from the ready to use option",4.0,the flow is confusing,5.0,,
maymuna,23,,,,,52,llama_3_1_8b_instruct__rag_rules_only__run_01,Llama 3.1 8B Instruct,RAG PlantUML/rules only,llama_3_1_8b_instruct,rag_rules_only,5.0,,4.0,cancel cooking process flow is wornd. it should be from cooking state not display time,4.0,unnecessary state ( inactive + stope immedi) is making hte diagram big and confusing ,5.0,,
maymuna,24,,,,,52,qwen25_7b_instruct__rag_rules_only__run_01,Qwen 2.5 7B Instruct,RAG PlantUML/rules only,qwen25_7b_instruct,rag_rules_only,4.0,"power selection betwen half and full not specified, current time to display transition not found",5.0,,5.0,,5.0,,
maymuna,25,,,,,54,qwen25_7b_instruct__rag_rules_only__run_01,Qwen 2.5 7B Instruct,RAG PlantUML/rules only,qwen25_7b_instruct,rag_rules_only,5.0,,4.0,shutdown should be from running,5.0,,5.0,,
maymuna,26,,,,,65,deepseek_r1_14b__rag_rules_only__run_01,DeepSeek R1 14B,RAG PlantUML/rules only,deepseek_r1_14b,rag_rules_only,5.0,,5.0,,5.0,,5.0,,
maymuna,27,,,,,65,llama_3_1_8b_instruct__rag_examples_only__run_01,Llama 3.1 8B Instruct,RAG examples only,llama_3_1_8b_instruct,rag_examples_only,5.0,,3.0,"maintanance should be from preparation 
also double transition",4.0,,5.0,,
maymuna,28,,,,,65,llama_3_1_8b_instruct__rag_rules_only__run_01,Llama 3.1 8B Instruct,RAG PlantUML/rules only,llama_3_1_8b_instruct,rag_rules_only,5.0,,4.0,maintanance should be from preparation ,5.0,,5.0,,
maymuna,29,,,,,65,qwen25_7b_instruct__rag_rules_only__run_01,Qwen 2.5 7B Instruct,RAG PlantUML/rules only,qwen25_7b_instruct,rag_rules_only,5.0,,4.0,maintanance should be from preparation ,5.0,,5.0,,
maymuna,30,,,,,67,qwen25_7b_instruct__rag_rules_only__run_01,Qwen 2.5 7B Instruct,RAG PlantUML/rules only,qwen25_7b_instruct,rag_rules_only,5.0,,5.0,,5.0,,5.0,,
maymuna,31,,,,,70,deepseek_r1_14b__rag_rules_only__run_01,DeepSeek R1 14B,RAG PlantUML/rules only,deepseek_r1_14b,rag_rules_only,5.0,,4.0,"flow is confusing, like after keeping the card why it returns if user cancels it.",3.0,some state ( invalid ) not necessary ,5.0,,
maymuna,32,,,,,70,qwen25_7b_instruct__rag_rules_only__run_01,Qwen 2.5 7B Instruct,RAG PlantUML/rules only,qwen25_7b_instruct,rag_rules_only,5.0,,4.0,"flow is confusing, like after keeping the card why it returns if user cancels it.",5.0,,5.0,,
maymuna,33,,,,,75,deepseek_r1_14b__rag_examples_only__run_01,DeepSeek R1 14B,RAG examples only,deepseek_r1_14b,rag_examples_only,5.0,,5.0,,5.0,,5.0,,
maymuna,34,,,,,75,llama_3_1_8b_instruct__rag_rules_only__run_01,Llama 3.1 8B Instruct,RAG PlantUML/rules only,llama_3_1_8b_instruct,rag_rules_only,5.0,,4.0,there shouldn't be a flow from waiting to end state,5.0,,5.0,,
maymuna,35,,,,,75,qwen25_7b_instruct__rag_rules_only__run_01,Qwen 2.5 7B Instruct,RAG PlantUML/rules only,qwen25_7b_instruct,rag_rules_only,2.0,expired or remove state not found,5.0,,5.0,,5.0,,
maymuna,36,,,,,78,qwen25_7b_instruct__rag_examples_only__run_01,Qwen 2.5 7B Instruct,RAG examples only,qwen25_7b_instruct,rag_examples_only,2.0,"The system shall approve and schedule the adverts.
The system shall run the adverts.
The system shall allow extension or adjustment of the campaign while it is running.
The system shall complete the campaign and prepare a final statement after all adverts have finished.",3.0,some flow are hallucinated ,3.0,,3.0,,
maymuna,37,,,,,78,llama_3_1_8b_instruct__rag_examples_only__run_01,Llama 3.1 8B Instruct,RAG examples only,llama_3_1_8b_instruct,rag_examples_only,1.0,"requirement not found
The system shall activate the campaign once everything is approved and the contract is signed.
The system shall prepare adverts during the campaign.
The system shall approve and schedule the adverts.
The system shall run the adverts.
The system shall allow extension or adjustment of the campaign while it is running.
The system shall complete the campaign and prepare a final statement after all adverts have finished.",2.0,flow is taken from somewhere else,2.0,,2.0,,
maymuna,38,,,,,80,qwen25_7b_instruct__rag_examples_only__run_01,Qwen 2.5 7B Instruct,RAG examples only,qwen25_7b_instruct,rag_examples_only,5.0,,4.0,The transition from assigned to unassigned ( by removing) is missing.,5.0,,5.0,,
