status,assigned_folder,case_number,diagram_number,folder_has_diagram,excel_response_count,evaluator_ids,excel_rows,folder_case_name,folder_diagram_file,folder_relative_path
MATCHED,Evaluation,37,A,yes,2,"6, 4","64, 116",case_37_online_quiz_system,a.png,Evaluation/case_37_online_quiz_system/a.png
EXCEL_RESPONSE_BUT_NO_FOLDER_DIAGRAM,Evaluation,38,A,no,1,4,154,,,
MATCHED,Evaluation,39,A,yes,2,"6, 23","65, 134",case_39_website_development,a.png,Evaluation/case_39_website_development/a.png
MATCHED,Evaluation,39,B,yes,3,"6, 23, 4","66, 135, 156",case_39_website_development,b.png,Evaluation/case_39_website_development/b.png
MATCHED,Evaluation,41,A,yes,2,"14, 10","2, 21",case_41_video_suggestion_system,a.png,Evaluation/case_41_video_suggestion_system/a.png
MATCHED,Evaluation,41,B,yes,2,"10, 23","22, 136",case_41_video_suggestion_system,b.png,Evaluation/case_41_video_suggestion_system/b.png
MATCHED,Evaluation,41,C,yes,2,"14, 10","4, 23",case_41_video_suggestion_system,c.png,Evaluation/case_41_video_suggestion_system/c.png
MATCHED,Evaluation,45,A,yes,2,"14, 10","5, 24",case_45_alarm_clock,a.png,Evaluation/case_45_alarm_clock/a.png
MATCHED,Evaluation,45,B,yes,2,"14, 10","6, 25",case_45_alarm_clock,b.png,Evaluation/case_45_alarm_clock/b.png
MATCHED,Evaluation,47,A,yes,2,"14, 10","7, 26",case_47_safehome_security_function,a.png,Evaluation/case_47_safehome_security_function/a.png
MATCHED,Evaluation,47,B,yes,2,"14, 10","8, 27",case_47_safehome_security_function,b.png,Evaluation/case_47_safehome_security_function/b.png
MATCHED,Evaluation,51,A,yes,2,"6, 4","67, 158",case_51_process_sale,a.png,Evaluation/case_51_process_sale/a.png
MATCHED,Evaluation,54,A,yes,2,"7, 5","14, 30",case_54_weather_station_system,a.png,Evaluation/case_54_weather_station_system/a.png
MATCHED,Evaluation,59,A,yes,2,"7, 5","15, 31",case_59_atm_1,a.png,Evaluation/case_59_atm_1/a.png
MATCHED,Evaluation,60,A,yes,2,"7, 5","28, 36",case_60_atm_2,a.png,Evaluation/case_60_atm_2/a.png
MATCHED,Evaluation,60,B,yes,2,"7, 5","29, 37",case_60_atm_2,b.png,Evaluation/case_60_atm_2/b.png
MATCHED,Evaluation,60,C,yes,2,"7, 5","32, 38",case_60_atm_2,c.png,Evaluation/case_60_atm_2/c.png
MATCHED,Evaluation,60,D,yes,2,"7, 5","35, 39",case_60_atm_2,d.png,Evaluation/case_60_atm_2/d.png
MATCHED,Evaluation,65,A,yes,2,"8, 9","40, 42",case_65_plane,a.png,Evaluation/case_65_plane/a.png
MATCHED,Evaluation,65,B,yes,2,"8, 9","41, 43",case_65_plane,b.png,Evaluation/case_65_plane/b.png
MATCHED,Evaluation,67,A,yes,2,"7, 5","16, 33",case_67_atm_many_scenarios_1,a.png,Evaluation/case_67_atm_many_scenarios_1/a.png
MATCHED,Evaluation,70,A,yes,2,"8, 9","34, 44",case_70_atm_many_scenarios_7,a.png,Evaluation/case_70_atm_many_scenarios_7/a.png
MATCHED,Evaluation,75,A,yes,2,"8, 9","17, 45",case_75_graderate,a.png,Evaluation/case_75_graderate/a.png
MATCHED,Evaluation,75,B,yes,2,"8, 9","18, 46",case_75_graderate,b.png,Evaluation/case_75_graderate/b.png
MATCHED,Evaluation,75,C,yes,2,"8, 9","19, 47",case_75_graderate,c.png,Evaluation/case_75_graderate/c.png
MATCHED,Evaluation,75,D,yes,2,"8, 9","20, 49",case_75_graderate,d.png,Evaluation/case_75_graderate/d.png
FOLDER_DIAGRAM_BUT_NO_EXCEL_RESPONSE,Evaluation,78,A,yes,0,,,case_78_class_campaign_version_2,a.png,Evaluation/case_78_class_campaign_version_2/a.png
FOLDER_DIAGRAM_BUT_NO_EXCEL_RESPONSE,Evaluation,78,B,yes,0,,,case_78_class_campaign_version_2,b.png,Evaluation/case_78_class_campaign_version_2/b.png
FOLDER_DIAGRAM_BUT_NO_EXCEL_RESPONSE,Evaluation,78,C,yes,0,,,case_78_class_campaign_version_2,c.png,Evaluation/case_78_class_campaign_version_2/c.png
FOLDER_DIAGRAM_BUT_NO_EXCEL_RESPONSE,Evaluation,78,D,yes,0,,,case_78_class_campaign_version_2,d.png,Evaluation/case_78_class_campaign_version_2/d.png
FOLDER_DIAGRAM_BUT_NO_EXCEL_RESPONSE,Evaluation,80,A,yes,0,,,case_80_staff_member_class,a.png,Evaluation/case_80_staff_member_class/a.png
MATCHED,Evaluation B,15,A,yes,2,"11, 14","54, 150",case_15_e_ticketing_for_bus,a.png,Evaluation B/case_15_e_ticketing_for_bus/a.png
MATCHED,Evaluation B,41,A,yes,2,"11, 14","50, 151",case_41_video_suggestion_system,a.png,Evaluation B/case_41_video_suggestion_system/a.png
MATCHED,Evaluation B,51,A,yes,2,"11, 14","48, 152",case_51_process_sale,a.png,Evaluation B/case_51_process_sale/a.png
MATCHED,Evaluation B,60,A,yes,2,"11, 14","51, 153",case_60_atm_2,a.png,Evaluation B/case_60_atm_2/a.png
MATCHED,Evaluation B,60,B,yes,2,"11, 14","52, 155",case_60_atm_2,b.png,Evaluation B/case_60_atm_2/b.png
MATCHED,Evaluation B,75,A,yes,2,"11, 14","53, 157",case_75_graderate,a.png,Evaluation B/case_75_graderate/a.png
MATCHED,Evaluation B,80,A,yes,2,"11, 14","55, 159",case_80_staff_member_class,a.png,Evaluation B/case_80_staff_member_class/a.png
MATCHED,Evaluation C,1,A,yes,3,"19, 2, 18","83, 96, 98",case_01_healthcare_portal,a.png,Evaluation C/case_01_healthcare_portal/a.png
MATCHED,Evaluation C,1,B,yes,3,"19, 2, 18","88, 97, 99",case_01_healthcare_portal,b.png,Evaluation C/case_01_healthcare_portal/b.png
MATCHED,Evaluation C,2,A,yes,2,"20, 22","9, 107",case_02_inventory,a.png,Evaluation C/case_02_inventory/a.png
MATCHED,Evaluation C,2,B,yes,2,"20, 22","10, 108",case_02_inventory,b.png,Evaluation C/case_02_inventory/b.png
MATCHED,Evaluation C,12,A,yes,2,"19, 18","89, 100",case_12_business_process_outsourcing_bpo_management_system_2,a.png,Evaluation C/case_12_business_process_outsourcing_bpo_management_system_2/a.png
MATCHED,Evaluation C,15,A,yes,2,"20, 22","11, 109",case_15_e_ticketing_for_bus,a.png,Evaluation C/case_15_e_ticketing_for_bus/a.png
MATCHED,Evaluation C,16,A,yes,2,"19, 18","90, 101",case_16_weather_monitoring_system,a.png,Evaluation C/case_16_weather_monitoring_system/a.png
MATCHED,Evaluation C,16,B,yes,2,"19, 18","91, 102",case_16_weather_monitoring_system,b.png,Evaluation C/case_16_weather_monitoring_system/b.png
MATCHED,Evaluation C,18,A,yes,2,"19, 18","92, 103",case_18_digidoclocker,a.png,Evaluation C/case_18_digidoclocker/a.png
MATCHED,Evaluation C,28,A,yes,2,"26, 14","71, 124",case_28_ott_based_system_mini_reel,a.png,Evaluation C/case_28_ott_based_system_mini_reel/a.png
MATCHED,Evaluation C,32,A,yes,2,"22, 27","111, 137",case_32_e_visa_processing_and_follow_up_system,a.png,Evaluation C/case_32_e_visa_processing_and_follow_up_system/a.png
MATCHED,Evaluation C,32,B,yes,2,"22, 27","112, 138",case_32_e_visa_processing_and_follow_up_system,b.png,Evaluation C/case_32_e_visa_processing_and_follow_up_system/b.png
MATCHED,Evaluation C,33,A,yes,2,"23, 27","117, 148",case_33_farm_management_system,a.png,Evaluation C/case_33_farm_management_system/a.png
MATCHED,Evaluation C,34,A,yes,2,"23, 27","118, 147",case_34_green_rides,a.png,Evaluation C/case_34_green_rides/a.png
MATCHED,Evaluation C,37,A,yes,2,"23, 27","119, 143",case_37_online_quiz_system,a.png,Evaluation C/case_37_online_quiz_system/a.png
MATCHED,Evaluation C,37,B,yes,2,"23, 27","120, 141",case_37_online_quiz_system,b.png,Evaluation C/case_37_online_quiz_system/b.png
MATCHED,Evaluation C,39,A,yes,2,"23, 28","121, 166",case_39_website_development,a.png,Evaluation C/case_39_website_development/a.png
MATCHED,Evaluation C,41,A,yes,2,"26, 14","84, 125",case_41_video_suggestion_system,a.png,Evaluation C/case_41_video_suggestion_system/a.png
MATCHED,Evaluation C,45,A,yes,2,"23, 27","122, 139",case_45_alarm_clock,a.png,Evaluation C/case_45_alarm_clock/a.png
MATCHED,Evaluation C,45,B,yes,2,"23, 27","123, 140",case_45_alarm_clock,b.png,Evaluation C/case_45_alarm_clock/b.png
MATCHED,Evaluation C,46,A,yes,2,"14, 27","126, 145",case_46_digital_watch,a.png,Evaluation C/case_46_digital_watch/a.png
MATCHED,Evaluation C,46,B,yes,2,"14, 27","127, 146",case_46_digital_watch,b.png,Evaluation C/case_46_digital_watch/b.png
MATCHED,Evaluation C,47,A,yes,2,"26, 14","85, 128",case_47_safehome_security_function,a.png,Evaluation C/case_47_safehome_security_function/a.png
MATCHED,Evaluation C,51,A,yes,2,"26, 14","86, 129",case_51_process_sale,a.png,Evaluation C/case_51_process_sale/a.png
MATCHED,Evaluation C,52,A,yes,3,"25, 28, 2","76, 165, 171",case_52_microwave_oven,a.png,Evaluation C/case_52_microwave_oven/a.png
MATCHED,Evaluation C,54,A,yes,2,"25, 2","77, 142",case_54_weather_station_system,a.png,Evaluation C/case_54_weather_station_system/a.png
MATCHED,Evaluation C,54,B,yes,2,"25, 2","78, 144",case_54_weather_station_system,b.png,Evaluation C/case_54_weather_station_system/b.png
MATCHED,Evaluation C,59,A,yes,3,"25, 28, 2","79, 149, 167",case_59_atm_1,a.png,Evaluation C/case_59_atm_1/a.png
MATCHED,Evaluation C,59,B,yes,3,"25, 28, 2","80, 160, 168",case_59_atm_1,b.png,Evaluation C/case_59_atm_1/b.png
MATCHED,Evaluation C,59,C,yes,3,"25, 28, 2","81, 161, 169",case_59_atm_1,c.png,Evaluation C/case_59_atm_1/c.png
MATCHED,Evaluation C,65,A,yes,3,"25, 28, 2","82, 164, 170",case_65_plane,a.png,Evaluation C/case_65_plane/a.png
MATCHED,Evaluation C,67,A,yes,2,"26, 14","87, 130",case_67_atm_many_scenarios_1,a.png,Evaluation C/case_67_atm_many_scenarios_1/a.png
MATCHED,Evaluation C,70,A,yes,2,"22, 28","113, 163",case_70_atm_many_scenarios_7,a.png,Evaluation C/case_70_atm_many_scenarios_7/a.png
MATCHED,Evaluation C,70,B,yes,2,"22, 28","114, 162",case_70_atm_many_scenarios_7,b.png,Evaluation C/case_70_atm_many_scenarios_7/b.png
MATCHED,Evaluation C,80,A,yes,2,"19, 18","93, 104",case_80_staff_member_class,a.png,Evaluation C/case_80_staff_member_class/a.png
MATCHED,Evaluation C,80,B,yes,2,"19, 18","94, 105",case_80_staff_member_class,b.png,Evaluation C/case_80_staff_member_class/b.png
