assigned_folder,response_count_group,case_number,diagram_number,evaluator_ids,excel_rows,folder_relative_path,source_valid_diagram_folder,source_case_folder,renamed_evaluation_file,original_unbiased_diagram_name,llm_used,method,original_unbiased_relative_path,original_name_match_status
Evaluation,2_responses,47,B,"14, 10","8, 27",Evaluation/case_47_safehome_security_function/b.png,results/plantuml_pipeline/valid_diagrams_by_case,case_47_safehome_security_function,b.png,llama_3_1_8b_instruct__rag__run_01.png,Llama 3.1 8B Instruct,RAG,results/plantuml_pipeline/valid_diagrams_by_case/case_47_safehome_security_function/llama_3_1_8b_instruct__rag__run_01.png,matched_by_hash
Evaluation,2_responses,51,A,"6, 4","67, 158",Evaluation/case_51_process_sale/a.png,results/plantuml_pipeline/valid_diagrams_by_case,case_51_process_sale,a.png,deepseek_r1_14b__few_shot__run_01.png,DeepSeek R1 14B,Few-shot,results/plantuml_pipeline/valid_diagrams_by_case/case_51_process_sale/deepseek_r1_14b__few_shot__run_01.png,matched_by_hash
Evaluation,2_responses,54,A,"7, 5","14, 30",Evaluation/case_54_weather_station_system/a.png,results/plantuml_pipeline/valid_diagrams_by_case,case_54_weather_station_system,a.png,deepseek_r1_14b__one_shot__run_01.png,DeepSeek R1 14B,One-shot,results/plantuml_pipeline/valid_diagrams_by_case/case_54_weather_station_system/deepseek_r1_14b__one_shot__run_01.png,matched_by_hash
Evaluation,2_responses,59,A,"7, 5","15, 31",Evaluation/case_59_atm_1/a.png,results/plantuml_pipeline/valid_diagrams_by_case,case_59_atm_1,a.png,deepseek_r1_14b__one_shot__run_01.png,DeepSeek R1 14B,One-shot,results/plantuml_pipeline/valid_diagrams_by_case/case_59_atm_1/deepseek_r1_14b__one_shot__run_01.png,matched_by_hash
Evaluation,2_responses,60,A,"7, 5","28, 36",Evaluation/case_60_atm_2/a.png,results/plantuml_pipeline/valid_diagrams_by_case,case_60_atm_2,a.png,deepseek_r1_14b__few_shot__run_01.png,DeepSeek R1 14B,Few-shot,results/plantuml_pipeline/valid_diagrams_by_case/case_60_atm_2/deepseek_r1_14b__few_shot__run_01.png,matched_by_hash
Evaluation,2_responses,60,B,"7, 5","29, 37",Evaluation/case_60_atm_2/b.png,results/plantuml_pipeline/valid_diagrams_by_case,case_60_atm_2,b.png,deepseek_r1_14b__rag__run_01.png,DeepSeek R1 14B,RAG,results/plantuml_pipeline/valid_diagrams_by_case/case_60_atm_2/deepseek_r1_14b__rag__run_01.png,matched_by_hash
Evaluation,2_responses,60,C,"7, 5","32, 38",Evaluation/case_60_atm_2/c.png,results/plantuml_pipeline/valid_diagrams_by_case,case_60_atm_2,c.png,llama_3_1_8b_instruct__few_shot__run_01.png,Llama 3.1 8B Instruct,Few-shot,results/plantuml_pipeline/valid_diagrams_by_case/case_60_atm_2/llama_3_1_8b_instruct__few_shot__run_01.png,matched_by_hash
Evaluation,2_responses,60,D,"7, 5","35, 39",Evaluation/case_60_atm_2/d.png,results/plantuml_pipeline/valid_diagrams_by_case,case_60_atm_2,d.png,qwen_2_5_7b_instruct__one_shot__run_01.png,Qwen 2.5 7B Instruct,One-shot,results/plantuml_pipeline/valid_diagrams_by_case/case_60_atm_2/qwen_2_5_7b_instruct__one_shot__run_01.png,matched_by_hash
Evaluation,2_responses,65,A,"8, 9","40, 42",Evaluation/case_65_plane/a.png,results/plantuml_pipeline/valid_diagrams_by_case,case_65_plane,a.png,llama_3_1_8b_instruct__one_shot__run_01.png,Llama 3.1 8B Instruct,One-shot,results/plantuml_pipeline/valid_diagrams_by_case/case_65_plane/llama_3_1_8b_instruct__one_shot__run_01.png,matched_by_hash
Evaluation,2_responses,65,B,"8, 9","41, 43",Evaluation/case_65_plane/b.png,results/plantuml_pipeline/valid_diagrams_by_case,case_65_plane,b.png,qwen_2_5_7b_instruct__rag__run_01.png,Qwen 2.5 7B Instruct,RAG,results/plantuml_pipeline/valid_diagrams_by_case/case_65_plane/qwen_2_5_7b_instruct__rag__run_01.png,matched_by_hash
Evaluation,2_responses,67,A,"7, 5","16, 33",Evaluation/case_67_atm_many_scenarios_1/a.png,results/plantuml_pipeline/valid_diagrams_by_case,case_67_atm_many_scenarios_1,a.png,llama_3_1_8b_instruct__few_shot__run_01.png,Llama 3.1 8B Instruct,Few-shot,results/plantuml_pipeline/valid_diagrams_by_case/case_67_atm_many_scenarios_1/llama_3_1_8b_instruct__few_shot__run_01.png,matched_by_hash
Evaluation,2_responses,70,A,"8, 9","34, 44",Evaluation/case_70_atm_many_scenarios_7/a.png,results/plantuml_pipeline/valid_diagrams_by_case,case_70_atm_many_scenarios_7,a.png,llama_3_1_8b_instruct__one_shot__run_01.png,Llama 3.1 8B Instruct,One-shot,results/plantuml_pipeline/valid_diagrams_by_case/case_70_atm_many_scenarios_7/llama_3_1_8b_instruct__one_shot__run_01.png,matched_by_hash
Evaluation,2_responses,75,A,"8, 9","17, 45",Evaluation/case_75_graderate/a.png,results/plantuml_pipeline/valid_diagrams_by_case,case_75_graderate,a.png,deepseek_r1_14b__few_shot__run_01.png,DeepSeek R1 14B,Few-shot,results/plantuml_pipeline/valid_diagrams_by_case/case_75_graderate/deepseek_r1_14b__few_shot__run_01.png,matched_by_hash
Evaluation,2_responses,75,B,"8, 9","18, 46",Evaluation/case_75_graderate/b.png,results/plantuml_pipeline/valid_diagrams_by_case,case_75_graderate,b.png,llama_3_1_8b_instruct__few_shot__run_01.png,Llama 3.1 8B Instruct,Few-shot,results/plantuml_pipeline/valid_diagrams_by_case/case_75_graderate/llama_3_1_8b_instruct__few_shot__run_01.png,matched_by_hash
Evaluation,2_responses,75,C,"8, 9","19, 47",Evaluation/case_75_graderate/c.png,results/plantuml_pipeline/valid_diagrams_by_case,case_75_graderate,c.png,llama_3_1_8b_instruct__one_shot__run_01.png,Llama 3.1 8B Instruct,One-shot,results/plantuml_pipeline/valid_diagrams_by_case/case_75_graderate/llama_3_1_8b_instruct__one_shot__run_01.png,matched_by_hash
Evaluation,2_responses,75,D,"8, 9","20, 49",Evaluation/case_75_graderate/d.png,results/plantuml_pipeline/valid_diagrams_by_case,case_75_graderate,d.png,qwen_2_5_7b_instruct__rag__run_01.png,Qwen 2.5 7B Instruct,RAG,results/plantuml_pipeline/valid_diagrams_by_case/case_75_graderate/qwen_2_5_7b_instruct__rag__run_01.png,matched_by_hash
Evaluation,3_responses,1,A,"15, 1, 3","56, 68, 106",Evaluation/case_01_healthcare_portal/a.png,results/plantuml_pipeline/valid_diagrams_by_case,case_01_healthcare_portal,a.png,llama_3_1_8b_instruct__few_shot__run_01.png,Llama 3.1 8B Instruct,Few-shot,results/plantuml_pipeline/valid_diagrams_by_case/case_01_healthcare_portal/llama_3_1_8b_instruct__few_shot__run_01.png,matched_by_hash
Evaluation,3_responses,12,A,"15, 1, 3","57, 69, 131",Evaluation/case_12_business_process_outsourcing_bpo_management_system_2/a.png,results/plantuml_pipeline/valid_diagrams_by_case,case_12_business_process_outsourcing_bpo_management_system_2,a.png,llama_3_1_8b_instruct__few_shot__run_01.png,Llama 3.1 8B Instruct,Few-shot,results/plantuml_pipeline/valid_diagrams_by_case/case_12_business_process_outsourcing_bpo_management_system_2/llama_3_1_8b_instruct__few_shot__run_01.png,matched_by_hash
Evaluation,3_responses,39,B,"6, 23, 4","66, 135, 156",Evaluation/case_39_website_development/b.png,results/plantuml_pipeline/valid_diagrams_by_case,case_39_website_development,b.png,llama_3_1_8b_instruct__few_shot__run_01.png,Llama 3.1 8B Instruct,Few-shot,results/plantuml_pipeline/valid_diagrams_by_case/case_39_website_development/llama_3_1_8b_instruct__few_shot__run_01.png,matched_by_hash
Evaluation B,2_responses,15,A,"11, 14","54, 150",Evaluation B/case_15_e_ticketing_for_bus/a.png,results/plantuml_pipeline/valid_diagrams_by_case_mistral,case_15_e_ticketing_for_bus,a.png,mistral__few_shot__run_01.png,Mistral,Few-shot,results/plantuml_pipeline/valid_diagrams_by_case_mistral/case_15_e_ticketing_for_bus/mistral__few_shot__run_01.png,matched_by_hash
Evaluation B,2_responses,41,A,"11, 14","50, 151",Evaluation B/case_41_video_suggestion_system/a.png,results/plantuml_pipeline/valid_diagrams_by_case_mistral,case_41_video_suggestion_system,a.png,mistral__rag__run_01.png,Mistral,RAG,results/plantuml_pipeline/valid_diagrams_by_case_mistral/case_41_video_suggestion_system/mistral__rag__run_01.png,matched_by_hash
Evaluation B,2_responses,51,A,"11, 14","48, 152",Evaluation B/case_51_process_sale/a.png,results/plantuml_pipeline/valid_diagrams_by_case_mistral,case_51_process_sale,a.png,mistral__rag__run_01.png,Mistral,RAG,results/plantuml_pipeline/valid_diagrams_by_case_mistral/case_51_process_sale/mistral__rag__run_01.png,matched_by_hash
Evaluation B,2_responses,60,A,"11, 14","51, 153",Evaluation B/case_60_atm_2/a.png,results/plantuml_pipeline/valid_diagrams_by_case_mistral,case_60_atm_2,a.png,mistral__one_shot__run_01.png,Mistral,One-shot,results/plantuml_pipeline/valid_diagrams_by_case_mistral/case_60_atm_2/mistral__one_shot__run_01.png,matched_by_hash
Evaluation B,2_responses,60,B,"11, 14","52, 155",Evaluation B/case_60_atm_2/b.png,results/plantuml_pipeline/valid_diagrams_by_case_mistral,case_60_atm_2,b.png,mistral__rag__run_01.png,Mistral,RAG,results/plantuml_pipeline/valid_diagrams_by_case_mistral/case_60_atm_2/mistral__rag__run_01.png,matched_by_hash
Evaluation B,2_responses,75,A,"11, 14","53, 157",Evaluation B/case_75_graderate/a.png,results/plantuml_pipeline/valid_diagrams_by_case_mistral,case_75_graderate,a.png,mistral__rag__run_01.png,Mistral,RAG,results/plantuml_pipeline/valid_diagrams_by_case_mistral/case_75_graderate/mistral__rag__run_01.png,matched_by_hash
Evaluation B,2_responses,80,A,"11, 14","55, 159",Evaluation B/case_80_staff_member_class/a.png,results/plantuml_pipeline/valid_diagrams_by_case_mistral,case_80_staff_member_class,a.png,mistral__few_shot__run_01.png,Mistral,Few-shot,results/plantuml_pipeline/valid_diagrams_by_case_mistral/case_80_staff_member_class/mistral__few_shot__run_01.png,matched_by_hash
Evaluation C,2_responses,2,A,"20, 22","9, 107",Evaluation C/case_02_inventory/a.png,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed,case_02_inventory,a.png,deepseek_r1_14b__few_shot_repair__run_01.png,DeepSeek R1 14B,Repair,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed/case_02_inventory/deepseek_r1_14b__few_shot_repair__run_01.png,matched_by_hash
Evaluation C,2_responses,2,B,"20, 22","10, 108",Evaluation C/case_02_inventory/b.png,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed,case_02_inventory,b.png,llama_3_1_8b_instruct__few_shot_repair__run_01.png,Llama 3.1 8B Instruct,Repair,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed/case_02_inventory/llama_3_1_8b_instruct__few_shot_repair__run_01.png,matched_by_hash
Evaluation C,2_responses,12,A,"19, 18","89, 100",Evaluation C/case_12_business_process_outsourcing_bpo_management_system_2/a.png,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed,case_12_business_process_outsourcing_bpo_management_system_2,a.png,deepseek_r1_14b__few_shot_repair__run_01.png,DeepSeek R1 14B,Repair,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed/case_12_business_process_outsourcing_bpo_management_system_2/deepseek_r1_14b__few_shot_repair__run_01.png,matched_by_hash
Evaluation C,2_responses,15,A,"20, 22","11, 109",Evaluation C/case_15_e_ticketing_for_bus/a.png,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed,case_15_e_ticketing_for_bus,a.png,deepseek_r1_14b__few_shot_repair__run_01.png,DeepSeek R1 14B,Repair,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed/case_15_e_ticketing_for_bus/deepseek_r1_14b__few_shot_repair__run_01.png,matched_by_hash
Evaluation C,2_responses,16,A,"19, 18","90, 101",Evaluation C/case_16_weather_monitoring_system/a.png,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed,case_16_weather_monitoring_system,a.png,deepseek_r1_14b__few_shot_repair__run_01.png,DeepSeek R1 14B,Repair,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed/case_16_weather_monitoring_system/deepseek_r1_14b__few_shot_repair__run_01.png,matched_by_hash
Evaluation C,2_responses,16,B,"19, 18","91, 102",Evaluation C/case_16_weather_monitoring_system/b.png,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed,case_16_weather_monitoring_system,b.png,qwen25_7b_instruct__rag_repair__run_01.png,Qwen 2.5 7B Instruct,Repair,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed/case_16_weather_monitoring_system/qwen25_7b_instruct__rag_repair__run_01.png,matched_by_hash
Evaluation C,2_responses,18,A,"19, 18","92, 103",Evaluation C/case_18_digidoclocker/a.png,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed,case_18_digidoclocker,a.png,llama_3_1_8b_instruct__few_shot_repair__run_01.png,Llama 3.1 8B Instruct,Repair,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed/case_18_digidoclocker/llama_3_1_8b_instruct__few_shot_repair__run_01.png,matched_by_hash
Evaluation C,2_responses,28,A,"26, 14","71, 124",Evaluation C/case_28_ott_based_system_mini_reel/a.png,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed,case_28_ott_based_system_mini_reel,a.png,deepseek_r1_14b__few_shot_repair__run_01.png,DeepSeek R1 14B,Repair,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed/case_28_ott_based_system_mini_reel/deepseek_r1_14b__few_shot_repair__run_01.png,matched_by_hash
Evaluation C,2_responses,32,A,"22, 27","111, 137",Evaluation C/case_32_e_visa_processing_and_follow_up_system/a.png,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed,case_32_e_visa_processing_and_follow_up_system,a.png,deepseek_r1_14b__few_shot_repair__run_01.png,DeepSeek R1 14B,Repair,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed/case_32_e_visa_processing_and_follow_up_system/deepseek_r1_14b__few_shot_repair__run_01.png,matched_by_hash
Evaluation C,2_responses,32,B,"22, 27","112, 138",Evaluation C/case_32_e_visa_processing_and_follow_up_system/b.png,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed,case_32_e_visa_processing_and_follow_up_system,b.png,mistral__rag_repair__run_01.png,Mistral,Repair,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed/case_32_e_visa_processing_and_follow_up_system/mistral__rag_repair__run_01.png,matched_by_hash
Evaluation C,2_responses,33,A,"23, 27","117, 148",Evaluation C/case_33_farm_management_system/a.png,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed,case_33_farm_management_system,a.png,mistral__rag_repair__run_01.png,Mistral,Repair,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed/case_33_farm_management_system/mistral__rag_repair__run_01.png,matched_by_hash
Evaluation C,2_responses,34,A,"23, 27","118, 147",Evaluation C/case_34_green_rides/a.png,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed,case_34_green_rides,a.png,deepseek_r1_14b__few_shot_repair__run_01.png,DeepSeek R1 14B,Repair,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed/case_34_green_rides/deepseek_r1_14b__few_shot_repair__run_01.png,matched_by_hash
Evaluation C,2_responses,37,A,"23, 27","119, 143",Evaluation C/case_37_online_quiz_system/a.png,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed,case_37_online_quiz_system,a.png,deepseek_r1_14b__few_shot_repair__run_01.png,DeepSeek R1 14B,Repair,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed/case_37_online_quiz_system/deepseek_r1_14b__few_shot_repair__run_01.png,matched_by_hash
Evaluation C,2_responses,37,B,"23, 27","120, 141",Evaluation C/case_37_online_quiz_system/b.png,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed,case_37_online_quiz_system,b.png,qwen25_7b_instruct__rag_repair__run_01.png,Qwen 2.5 7B Instruct,Repair,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed/case_37_online_quiz_system/qwen25_7b_instruct__rag_repair__run_01.png,matched_by_hash
Evaluation C,2_responses,39,A,"23, 28","121, 166",Evaluation C/case_39_website_development/a.png,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed,case_39_website_development,a.png,deepseek_r1_14b__few_shot_repair__run_01.png,DeepSeek R1 14B,Repair,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed/case_39_website_development/deepseek_r1_14b__few_shot_repair__run_01.png,matched_by_hash
Evaluation C,2_responses,41,A,"26, 14","84, 125",Evaluation C/case_41_video_suggestion_system/a.png,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed,case_41_video_suggestion_system,a.png,llama_3_1_8b_instruct__few_shot_repair__run_01.png,Llama 3.1 8B Instruct,Repair,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed/case_41_video_suggestion_system/llama_3_1_8b_instruct__few_shot_repair__run_01.png,matched_by_hash
Evaluation C,2_responses,45,A,"23, 27","122, 139",Evaluation C/case_45_alarm_clock/a.png,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed,case_45_alarm_clock,a.png,deepseek_r1_14b__few_shot_repair__run_01.png,DeepSeek R1 14B,Repair,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed/case_45_alarm_clock/deepseek_r1_14b__few_shot_repair__run_01.png,matched_by_hash
Evaluation C,2_responses,45,B,"23, 27","123, 140",Evaluation C/case_45_alarm_clock/b.png,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed,case_45_alarm_clock,b.png,llama_3_1_8b_instruct__few_shot_repair__run_01.png,Llama 3.1 8B Instruct,Repair,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed/case_45_alarm_clock/llama_3_1_8b_instruct__few_shot_repair__run_01.png,matched_by_hash
Evaluation C,2_responses,46,A,"14, 27","126, 145",Evaluation C/case_46_digital_watch/a.png,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed,case_46_digital_watch,a.png,deepseek_r1_14b__few_shot_repair__run_01.png,DeepSeek R1 14B,Repair,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed/case_46_digital_watch/deepseek_r1_14b__few_shot_repair__run_01.png,matched_by_hash
Evaluation C,2_responses,46,B,"14, 27","127, 146",Evaluation C/case_46_digital_watch/b.png,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed,case_46_digital_watch,b.png,qwen25_7b_instruct__rag_repair__run_01.png,Qwen 2.5 7B Instruct,Repair,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed/case_46_digital_watch/qwen25_7b_instruct__rag_repair__run_01.png,matched_by_hash
