excel_row,evaluator_id,original_evaluator_id,case_number,diagram_number,assigned_folder,reason,evaluator_14_response_number,evaluator_23_last5,normalized_from
127,14,14.0,46.0,B,Evaluation C,evaluator 14 middle 7 responses,11,no,
128,14,14.0,47.0,A,Evaluation C,evaluator 14 middle 7 responses,12,no,
129,14,14.0,51.0,A,Evaluation C,evaluator 14 middle 7 responses,13,no,
130,14,14.0,67.0,A,Evaluation C,evaluator 14 middle 7 responses,14,no,
131,3,03,12.0,A,Evaluation,all other response,,no,
132,23,23.0,18.0,B,Evaluation,evaluator 23 last 5 responses,,yes,
133,23,23.0,33.0,A,Evaluation,evaluator 23 last 5 responses,,yes,
134,23,23.0,39.0,A,Evaluation,evaluator 23 last 5 responses,,yes,
135,23,23.0,39.0,B,Evaluation,evaluator 23 last 5 responses,,yes,
136,23,23.0,41.0,B,Evaluation,evaluator 23 last 5 responses,,yes,
137,27,27.0,32.0,A,Evaluation C,evaluator 2 or 18-28,,no,
138,27,27.0,32.0,B,Evaluation C,evaluator 2 or 18-28,,no,
139,27,27.0,45.0,A,Evaluation C,evaluator 2 or 18-28,,no,
140,27,27.0,45.0,B,Evaluation C,evaluator 2 or 18-28,,no,
141,27,27.0,37.0,B,Evaluation C,evaluator 2 or 18-28,,no,
142,2,Sifat Islam,54.0,A,Evaluation C,evaluator 2 or 18-28,,no,Sifat Islam
143,27,27.0,37.0,A,Evaluation C,evaluator 2 or 18-28,,no,
144,2,Sifat Islam,54.0,B,Evaluation C,evaluator 2 or 18-28,,no,Sifat Islam
145,27,27.0,46.0,A,Evaluation C,evaluator 2 or 18-28,,no,
146,27,27.0,46.0,B,Evaluation C,evaluator 2 or 18-28,,no,
147,27,27.0,34.0,A,Evaluation C,evaluator 2 or 18-28,,no,
148,27,27.0,33.0,A,Evaluation C,evaluator 2 or 18-28,,no,
149,28,28.0,59.0,A,Evaluation C,evaluator 2 or 18-28,,no,
150,14,14.0,15.0,A,Evaluation B,evaluator 14 last 7 responses,15,no,
151,14,14.0,41.0,A,Evaluation B,evaluator 14 last 7 responses,16,no,
152,14,14.0,51.0,A,Evaluation B,evaluator 14 last 7 responses,17,no,
153,14,14.0,60.0,A,Evaluation B,evaluator 14 last 7 responses,18,no,
154,4,04,38.0,A,Evaluation,all other response,,no,
155,14,14.0,60.0,B,Evaluation B,evaluator 14 last 7 responses,19,no,
156,4,04,39.0,B,Evaluation,all other response,,no,
157,14,14.0,75.0,A,Evaluation B,evaluator 14 last 7 responses,20,no,
158,4,04,51.0,A,Evaluation,all other response,,no,
159,14,14.0,80.0,A,Evaluation B,evaluator 14 last 7 responses,21,no,
160,28,28.0,59.0,B,Evaluation C,evaluator 2 or 18-28,,no,
161,28,28.0,59.0,C,Evaluation C,evaluator 2 or 18-28,,no,
162,28,28.0,70.0,B,Evaluation C,evaluator 2 or 18-28,,no,
163,28,28.0,70.0,A,Evaluation C,evaluator 2 or 18-28,,no,
164,28,28.0,65.0,A,Evaluation C,evaluator 2 or 18-28,,no,
165,28,28.0,52.0,A,Evaluation C,evaluator 2 or 18-28,,no,
166,28,28.0,39.0,A,Evaluation C,evaluator 2 or 18-28,,no,
167,2,02,59.0,A,Evaluation C,evaluator 2 or 18-28,,no,
168,2,02,59.0,B,Evaluation C,evaluator 2 or 18-28,,no,
169,2,02,59.0,C,Evaluation C,evaluator 2 or 18-28,,no,
170,2,02,65.0,A,Evaluation C,evaluator 2 or 18-28,,no,
171,2,02,52.0,A,Evaluation C,evaluator 2 or 18-28,,no,
