model,method,run_id,case_id,initial_plantuml_valid,final_plantuml_valid,initial_structural_valid,final_structural_valid,repair_success,validity_recovered,structurally_improved,structurally_worsened,unchanged_violation_count,initial_violation_count,final_violation_count,violation_reduction,violation_reduction_percent,regressed_new_violation_type,new_violation_type_count,new_violation_types,eliminated_violation_types,attempted_repair_iterations,accepted_repair_iterations,added_states_count,deleted_states_count,added_transitions_count,deleted_transitions_count,added_transition_edges_count,deleted_transition_edges_count,modified_transition_labels_count,total_graph_change_count,added_states,deleted_states,initial_path,final_path
DeepSeek R1 14B,Few-shot + Repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair,case_37_online_quiz_system,True,True,False,True,True,True,True,False,False,1,0,1,100.0,False,0,,missing_final_state,1,1,0,0,0,0,0,0,0,0,,,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_37_online_quiz_system/run_01.initial.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_37_online_quiz_system/run_01.puml
DeepSeek R1 14B,Few-shot + Repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair,case_39_website_development,True,True,False,True,True,True,True,False,False,1,0,1,100.0,False,0,,missing_initial_state,1,1,0,0,0,0,0,0,0,0,,,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_39_website_development/run_01.initial.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_39_website_development/run_01.puml
DeepSeek R1 14B,Few-shot + Repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair,case_41_video_suggestion_system,True,True,False,False,False,False,False,False,True,1,1,0,0.0,False,0,,,5,5,0,0,0,0,0,0,0,0,,,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_41_video_suggestion_system/run_01.initial.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_41_video_suggestion_system/run_01.puml
DeepSeek R1 14B,Few-shot + Repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair,case_45_alarm_clock,True,True,False,True,True,True,True,False,False,1,0,1,100.0,False,0,,missing_final_state,1,1,0,0,0,0,0,0,0,0,,,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_45_alarm_clock/run_01.initial.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_45_alarm_clock/run_01.puml
DeepSeek R1 14B,Few-shot + Repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair,case_46_digital_watch,True,True,False,True,True,True,True,False,False,1,0,1,100.0,False,0,,missing_final_state,3,3,0,0,0,2,0,2,0,2,,,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_46_digital_watch/run_01.initial.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_46_digital_watch/run_01.puml
DeepSeek R1 14B,Few-shot + Repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair,case_47_safehome_security_function,True,True,False,True,True,True,True,False,False,2,0,2,100.0,False,0,,missing_final_state;missing_initial_state,1,1,0,0,0,0,0,0,0,0,,,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_47_safehome_security_function/run_01.initial.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_47_safehome_security_function/run_01.puml
DeepSeek R1 14B,Few-shot + Repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair,case_51_process_sale,True,True,True,True,True,False,False,False,True,0,0,0,0.0,False,0,,,0,0,0,0,0,0,0,0,0,0,,,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_51_process_sale/run_01.initial.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_51_process_sale/run_01.puml
DeepSeek R1 14B,Few-shot + Repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair,case_52_microwave_oven,True,True,False,True,True,True,True,False,False,1,0,1,100.0,False,0,,missing_final_state,1,1,0,0,0,0,0,0,0,0,,,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_52_microwave_oven/run_01.initial.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_52_microwave_oven/run_01.puml
DeepSeek R1 14B,Few-shot + Repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair,case_54_weather_station_system,True,True,False,True,True,True,True,False,False,2,0,2,100.0,False,0,,missing_final_state;missing_initial_state,1,1,0,0,0,0,0,0,0,0,,,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_54_weather_station_system/run_01.initial.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_54_weather_station_system/run_01.puml
DeepSeek R1 14B,Few-shot + Repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair,case_59_atm_1,True,True,False,True,True,True,True,False,False,1,0,1,100.0,False,0,,missing_initial_state,2,2,0,0,0,0,0,0,0,0,,,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_59_atm_1/run_01.initial.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_59_atm_1/run_01.puml
DeepSeek R1 14B,Few-shot + Repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair,case_60_atm_2,True,True,True,True,True,False,False,False,True,0,0,0,0.0,False,0,,,0,0,0,0,0,0,0,0,0,0,,,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_60_atm_2/run_01.initial.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_60_atm_2/run_01.puml
DeepSeek R1 14B,Few-shot + Repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair,case_65_plane,True,True,False,True,True,True,True,False,False,1,0,1,100.0,False,0,,missing_final_state,1,1,0,0,0,0,0,0,0,0,,,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_65_plane/run_01.initial.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_65_plane/run_01.puml
DeepSeek R1 14B,Few-shot + Repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair,case_67_atm_many_scenarios_1,True,True,False,True,True,True,True,False,False,1,0,1,100.0,False,0,,missing_final_state,4,4,0,0,2,2,1,1,1,5,,,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_67_atm_many_scenarios_1/run_01.initial.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_67_atm_many_scenarios_1/run_01.puml
DeepSeek R1 14B,Few-shot + Repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair,case_70_atm_many_scenarios_7,True,True,False,True,True,True,True,False,False,2,0,2,100.0,False,0,,missing_final_state;missing_initial_state,1,1,4,0,3,0,3,0,0,7,CheckPin;DisplayOptions;InsertCard;ProcessRequest,,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_70_atm_many_scenarios_7/run_01.initial.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_70_atm_many_scenarios_7/run_01.puml
DeepSeek R1 14B,Few-shot + Repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair,case_75_graderate,True,True,True,True,True,False,False,False,True,0,0,0,0.0,False,0,,,0,0,0,0,0,0,0,0,0,0,,,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_75_graderate/run_01.initial.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_75_graderate/run_01.puml
DeepSeek R1 14B,Few-shot + Repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair,case_78_class_campaign_version_2,True,True,True,True,True,False,False,False,True,0,0,0,0.0,False,0,,,0,0,0,0,0,0,0,0,0,0,,,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_78_class_campaign_version_2/run_01.initial.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_78_class_campaign_version_2/run_01.puml
DeepSeek R1 14B,Few-shot + Repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair,case_80_staff_member_class,True,True,False,True,True,True,True,False,False,1,0,1,100.0,False,0,,missing_final_state,1,1,0,0,0,0,0,0,0,0,,,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_80_staff_member_class/run_01.initial.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_80_staff_member_class/run_01.puml
Llama 3.1 8B Instruct,Few-shot + Repair,open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair,case_01_healthcare_portal,True,True,True,True,True,False,False,False,True,0,0,0,0.0,False,0,,,0,0,0,0,0,0,0,0,0,0,,,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair/case_01_healthcare_portal/run_01.initial.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair/case_01_healthcare_portal/run_01.puml
Llama 3.1 8B Instruct,Few-shot + Repair,open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair,case_02_inventory,True,True,False,True,True,True,True,False,False,1,0,1,100.0,False,0,,missing_final_state,1,1,0,0,0,1,0,1,0,1,,,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair/case_02_inventory/run_01.initial.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair/case_02_inventory/run_01.puml
Llama 3.1 8B Instruct,Few-shot + Repair,open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair,case_12_business_process_outsourcing_bpo_management_system_2,True,True,True,True,True,False,False,False,True,0,0,0,0.0,False,0,,,0,0,0,0,0,0,0,0,0,0,,,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair/case_12_business_process_outsourcing_bpo_management_system_2/run_01.initial.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair/case_12_business_process_outsourcing_bpo_management_system_2/run_01.puml
Llama 3.1 8B Instruct,Few-shot + Repair,open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair,case_15_e_ticketing_for_bus,True,True,False,False,False,False,False,False,True,1,1,0,0.0,False,0,,,5,5,0,0,0,0,0,0,0,0,,,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair/case_15_e_ticketing_for_bus/run_01.initial.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair/case_15_e_ticketing_for_bus/run_01.puml
Llama 3.1 8B Instruct,Few-shot + Repair,open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair,case_16_weather_monitoring_system,True,True,False,False,False,False,False,False,True,7,7,0,0.0,False,0,,,5,5,0,0,0,0,0,0,0,0,,,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair/case_16_weather_monitoring_system/run_01.initial.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair/case_16_weather_monitoring_system/run_01.puml
Llama 3.1 8B Instruct,Few-shot + Repair,open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair,case_18_digidoclocker,True,True,False,True,True,True,True,False,False,1,0,1,100.0,False,0,,unreachable_states,1,1,0,0,1,0,1,0,0,1,,,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair/case_18_digidoclocker/run_01.initial.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair/case_18_digidoclocker/run_01.puml
Llama 3.1 8B Instruct,Few-shot + Repair,open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair,case_28_ott_based_system_mini_reel,True,True,False,False,False,False,True,False,False,3,1,2,66.67,False,0,,missing_final_state;orphan_states,5,2,0,0,0,0,0,0,0,0,,,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair/case_28_ott_based_system_mini_reel/run_01.initial.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair/case_28_ott_based_system_mini_reel/run_01.puml
Llama 3.1 8B Instruct,Few-shot + Repair,open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair,case_32_e_visa_processing_and_follow_up_system,True,True,False,False,False,False,True,False,False,14,2,12,85.71,True,2,duplicate_transitions;multiple_initial_states,invalid_choice_node;missing_final_state;orphan_states;unreachable_states,5,5,0,0,19,6,13,0,6,31,,,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair/case_32_e_visa_processing_and_follow_up_system/run_01.initial.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair/case_32_e_visa_processing_and_follow_up_system/run_01.puml
Llama 3.1 8B Instruct,Few-shot + Repair,open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair,case_33_farm_management_system,True,True,False,False,False,False,True,False,False,2,1,1,50.0,True,1,multiple_initial_states,missing_final_state;unreachable_states,5,3,0,0,1,0,1,0,0,1,,,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair/case_33_farm_management_system/run_01.initial.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair/case_33_farm_management_system/run_01.puml
Llama 3.1 8B Instruct,Few-shot + Repair,open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair,case_34_green_rides,True,True,True,True,True,False,False,False,True,0,0,0,0.0,False,0,,,0,0,0,0,0,0,0,0,0,0,,,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair/case_34_green_rides/run_01.initial.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair/case_34_green_rides/run_01.puml
Llama 3.1 8B Instruct,Few-shot + Repair,open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair,case_37_online_quiz_system,True,True,False,False,False,False,False,False,True,2,2,0,0.0,False,0,,,5,5,0,0,0,0,0,0,0,0,,,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair/case_37_online_quiz_system/run_01.initial.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair/case_37_online_quiz_system/run_01.puml
Llama 3.1 8B Instruct,Few-shot + Repair,open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair,case_39_website_development,True,True,True,True,True,False,False,False,True,0,0,0,0.0,False,0,,,0,0,0,0,0,0,0,0,0,0,,,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair/case_39_website_development/run_01.initial.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair/case_39_website_development/run_01.puml
Llama 3.1 8B Instruct,Few-shot + Repair,open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair,case_41_video_suggestion_system,True,True,False,True,True,True,True,False,False,1,0,1,100.0,False,0,,missing_final_state,1,1,0,0,0,0,0,0,0,0,,,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair/case_41_video_suggestion_system/run_01.initial.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair/case_41_video_suggestion_system/run_01.puml
Llama 3.1 8B Instruct,Few-shot + Repair,open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair,case_45_alarm_clock,True,True,False,True,True,True,True,False,False,1,0,1,100.0,False,0,,missing_final_state,1,1,0,0,0,0,0,0,0,0,,,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair/case_45_alarm_clock/run_01.initial.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair/case_45_alarm_clock/run_01.puml
